Schl,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic,,
000008094,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,Historically Underperforming,11,40,0.0,37.5,55.0,7.5,,
000008087,CORNELL SD,CORNELL HS,Algebra I,All Students,11,46,2.2,32.6,47.8,17.4,,
000008087,CORNELL SD,CORNELL HS,Algebra I,Historically Underperforming,11,46,2.2,32.6,47.8,17.4,,
000008087,CORNELL SD,CORNELL HS,Biology,All Students,11,46,15.2,32.6,32.6,19.6,,
000008087,CORNELL SD,CORNELL HS,Biology,Historically Underperforming,11,46,15.2,32.6,32.6,19.6,,
000008087,CORNELL SD,CORNELL HS,Literature,All Students,11,46,0.0,58.7,32.6,8.7,,
000008087,CORNELL SD,CORNELL HS,Literature,Historically Underperforming,11,46,0.0,58.7,32.6,8.7,,
000000513,DEER LAKES SD,DEER LAKES HS,Algebra I,All Students,11,155,17.4,41.3,32.9,8.4,,
000000513,DEER LAKES SD,DEER LAKES HS,Algebra I,Historically Underperforming,11,59,5.1,30.5,49.2,15.3,,
000000513,DEER LAKES SD,DEER LAKES HS,Biology,All Students,11,157,34.4,33.1,25.5,7.0,,
000000513,DEER LAKES SD,DEER LAKES HS,Biology,Historically Underperforming,11,61,16.4,31.1,37.7,14.8,,
000000513,DEER LAKES SD,DEER LAKES HS,Literature,All Students,11,153,9.2,65.4,18.3,7.2,,
000000513,DEER LAKES SD,DEER LAKES HS,Literature,Historically Underperforming,11,58,3.4,51.7,29.3,15.5,,
000008340,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,All Students,11,106,10.4,34.0,33.0,22.6,,
000008340,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,11,63,3.2,33.3,38.1,25.4,,
000008340,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,All Students,11,109,16.5,25.7,30.3,27.5,,
000008340,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,11,65,12.3,20.0,32.3,35.4,,
000008340,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,All Students,11,107,1.9,43.0,37.4,17.8,,
000008340,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,Historically Underperforming,11,62,3.2,32.3,40.3,24.2,,
000000144,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,All Students,11,194,9.3,59.3,26.8,4.6,,
000000144,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,Historically Underperforming,11,75,2.7,45.3,40.0,12.0,,
000000144,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,All Students,11,192,18.8,53.6,19.8,7.8,,
000000144,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,Historically Underperforming,11,74,10.8,39.2,32.4,17.6,,
000000144,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,All Students,11,185,6.5,66.5,18.9,8.1,,
000000144,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,Historically Underperforming,11,70,0.0,47.1,32.9,20.0,,
000000156,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,All Students,11,334,39.8,50.6,9.3,0.3,,
000000156,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,Historically Underperforming,11,79,20.3,51.9,26.6,1.3,,
000000156,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,All Students,11,332,57.8,33.1,6.6,2.4,,
000000156,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,Historically Underperforming,11,77,29.9,45.5,16.9,7.8,,
000000156,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,All Students,11,332,25.6,70.8,3.0,0.6,,
000000156,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,Historically Underperforming,11,77,3.9,81.8,11.7,2.6,,
000000170,GATEWAY SD,GATEWAY SHS,Algebra I,All Students,11,250,16.0,61.6,18.8,3.6,,
000000170,GATEWAY SD,GATEWAY SHS,Algebra I,Historically Underperforming,11,85,7.1,55.3,30.6,7.1,,
000000170,GATEWAY SD,GATEWAY SHS,Biology,All Students,11,248,35.9,40.7,17.3,6.0,,
000000170,GATEWAY SD,GATEWAY SHS,Biology,Historically Underperforming,11,85,21.2,36.5,30.6,11.8,,
000000170,GATEWAY SD,GATEWAY SHS,Literature,All Students,11,250,15.6,72.4,10.0,2.0,,
000000170,GATEWAY SD,GATEWAY SHS,Literature,Historically Underperforming,11,85,2.4,71.8,21.2,4.7,,
000005190,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,All Students,11,256,35.5,53.1,10.5,0.8,,
000005190,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,Historically Underperforming,11,27,7.4,48.1,37.0,7.4,,
000005190,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,All Students,11,258,45.3,41.9,10.5,2.3,,
000005190,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,Historically Underperforming,11,29,10.3,51.7,24.1,13.8,,
000005190,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,All Students,11,258,20.5,75.2,3.5,0.8,,
000005190,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,Historically Underperforming,11,29,3.4,65.5,24.1,6.9,,
000005153,HIGHLANDS SD,HIGHLANDS HS,Algebra I,All Students,11,163,6.7,46.0,35.0,12.3,,
000005153,HIGHLANDS SD,HIGHLANDS HS,Algebra I,Historically Underperforming,11,104,1.0,42.3,38.5,18.3,,
000005153,HIGHLANDS SD,HIGHLANDS HS,Biology,All Students,11,158,15.8,35.4,34.2,14.6,,
000005153,HIGHLANDS SD,HIGHLANDS HS,Biology,Historically Underperforming,11,99,9.1,34.3,38.4,18.2,,
000005153,HIGHLANDS SD,HIGHLANDS HS,Literature,All Students,11,158,3.8,44.3,37.3,14.6,,
000005153,HIGHLANDS SD,HIGHLANDS HS,Literature,Historically Underperforming,11,99,0.0,36.4,43.4,20.2,,
000008308,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,All Students,11,45,0.0,4.4,64.4,31.1,,
000008308,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Algebra I,Historically Underperforming,11,40,0.0,5.0,62.5,32.5,,
000008308,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Biology,All Students,11,44,0.0,0.0,20.5,79.5,,
000008308,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Biology,Historically Underperforming,11,39,0.0,0.0,17.9,82.1,,
000008308,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Literature,All Students,11,42,0.0,21.4,54.8,23.8,,
000008308,HILL HOUSE PASSPORT ACADEMY CS,HILL HOUSE PASSPORT ACADEMY CS,Literature,Historically Underperforming,11,38,0.0,23.7,52.6,23.7,,
000005112,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,All Students,11,140,23.6,50.7,20.7,5.0,,
000005112,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,Historically Underperforming,11,54,18.5,33.3,35.2,13.0,,
000005112,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,All Students,11,140,20.7,51.4,18.6,9.3,,
000005112,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,Historically Underperforming,11,54,16.7,37.0,25.9,20.4,,
000005112,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,All Students,11,139,7.2,74.8,12.2,5.8,,
000005112,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,Historically Underperforming,11,53,0.0,60.4,26.4,13.2,,
000006105,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,All Students,11,227,5.3,29.1,37.9,27.8,,
000006105,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,Historically Underperforming,11,129,2.3,24.0,36.4,37.2,,
000006105,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,All Students,11,225,10.7,24.0,22.2,43.1,,
000006105,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,Historically Underperforming,11,127,7.9,18.9,19.7,53.5,,
000006105,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,All Students,11,223,3.1,46.2,33.2,17.5,,
000006105,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,Historically Underperforming,11,124,0.8,34.7,41.1,23.4,,
000005017,MONTOUR SD,MONTOUR HS,Algebra I,All Students,11,257,28.0,55.3,14.8,1.9,,
000005017,MONTOUR SD,MONTOUR HS,Algebra I,Historically Underperforming,11,63,12.7,47.6,31.7,7.9,,
000005017,MONTOUR SD,MONTOUR HS,Biology,All Students,11,257,38.1,45.5,12.1,4.3,,
000005017,MONTOUR SD,MONTOUR HS,Biology,Historically Underperforming,11,63,22.2,38.1,27.0,12.7,,
000005017,MONTOUR SD,MONTOUR HS,Literature,All Students,11,257,5.8,77.4,15.6,1.2,,
000005017,MONTOUR SD,MONTOUR HS,Literature,Historically Underperforming,11,63,3.2,54.0,38.1,4.8,,
000004951,MOON AREA SD,MOON SHS,Algebra I,All Students,11,283,26.5,56.5,14.8,2.1,,
000004951,MOON AREA SD,MOON SHS,Algebra I,Historically Underperforming,11,78,9.0,48.7,35.9,6.4,,
000004951,MOON AREA SD,MOON SHS,Biology,All Students,11,281,49.8,36.7,10.3,3.2,,
000004951,MOON AREA SD,MOON SHS,Biology,Historically Underperforming,11,76,13.2,51.3,23.7,11.8,,
000004951,MOON AREA SD,MOON SHS,Literature,All Students,11,282,11.7,79.4,7.1,1.8,,
000004951,MOON AREA SD,MOON SHS,Literature,Historically Underperforming,11,76,2.6,75.0,15.8,6.6,,
000000254,MT LEBANON SD,MT LEBANON SHS,Algebra I,All Students,11,431,43.4,49.9,4.6,2.1,,
