AUN,Schl,County,District Name,School Name,Subject,Group,Grade,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH HS,Biology,IEP,11,18,0.0,11.1,55.6,33.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH HS,Literature,All Students,11,84,4.8,59.5,27.4,8.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH HS,Literature,Economically Disadvantaged,11,9,,,,
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH HS,Literature,ELL,11,1,,,,
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH HS,Literature,IEP,11,17,0.0,11.8,64.7,23.5
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,11,95,26.3,15.8,31.6,26.3
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Economically Disadvantaged,11,31,12.9,9.7,48.4,29.0
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,ELL,11,3,,,,
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,IEP,11,23,0.0,0.0,56.5,43.5
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,11,41,0.0,17.1,36.6,46.3
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Economically Disadvantaged,11,19,0.0,26.3,31.6,42.1
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,ELL,11,3,,,,
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,IEP,11,15,0.0,13.3,33.3,53.3
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,All Students,11,333,7.8,67.0,18.9,6.3
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,Economically Disadvantaged,11,106,4.7,62.3,20.8,12.3
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,ELL,11,11,0.0,18.2,63.6,18.2
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,IEP,11,33,0.0,30.3,39.4,30.3
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Algebra I,All Students,11,195,54.4,36.4,5.6,3.6
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Algebra I,Economically Disadvantaged,11,20,50.0,30.0,10.0,10.0
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Algebra I,IEP,11,16,31.3,12.5,18.8,37.5
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Biology,All Students,11,201,16.9,45.8,30.3,7.0
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Biology,Economically Disadvantaged,11,36,13.9,41.7,33.3,11.1
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Biology,IEP,11,33,0.0,36.4,36.4,27.3
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Literature,All Students,11,321,18.4,70.4,10.0,1.2
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Literature,Economically Disadvantaged,11,47,12.8,61.7,19.1,6.4
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK HS,Literature,IEP,11,38,5.3,44.7,42.1,7.9
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,11,40,32.5,37.5,25.0,5.0
