Schl,Subject,Group,N Scored,Pct. Advanced,Pct. Proficient,Pct. Basic,Pct. Below Basic
0156,Algebra I,All Students,336,54.8,34.8,6.5,3.9
0156,Algebra I,Historically Underperforming,109,27.5,45.0,16.5,11.0
0156,Biology,All Students,335,54.0,36.1,6.9,3.0
0156,Biology,Historically Underperforming,108,28.7,47.2,14.8,9.3
0156,Literature,All Students,332,34.9,55.4,5.4,4.2
0156,Literature,Historically Underperforming,106,11.3,62.3,13.2,13.2
0170,Algebra I,All Students,214,21.5,51.9,21.5,5.1
0170,Algebra I,Historically Underperforming,108,13.9,41.7,35.2,9.3
0170,Biology,All Students,215,43.7,36.7,11.2,8.4
0170,Biology,Historically Underperforming,109,29.4,37.6,17.4,15.6
0170,Literature,All Students,212,12.7,71.2,10.4,5.7
0170,Literature,Historically Underperforming,106,8.5,62.3,17.9,11.3
5190,Algebra I,All Students,231,51.5,39.8,7.8,0.9
5190,Algebra I,Historically Underperforming,39,35.9,35.9,23.1,5.1
5190,Biology,All Students,231,53.7,34.2,10.8,1.3
5190,Biology,Historically Underperforming,39,33.3,30.8,28.2,7.7
5190,Literature,All Students,231,45.0,48.5,5.6,0.9
5190,Literature,Historically Underperforming,39,23.1,48.7,23.1,5.1
5153,Algebra I,All Students,145,9.7,51.0,34.5,4.8
5153,Algebra I,Historically Underperforming,69,5.8,39.1,44.9,10.1
5153,Biology,All Students,142,4.2,33.8,44.4,17.6
5153,Biology,Historically Underperforming,69,1.4,24.6,43.5,30.4
5153,Literature,All Students,144,4.9,69.4,21.5,4.2
5153,Literature,Historically Underperforming,69,0.0,60.9,30.4,8.7
8308,Algebra I,All Students,39,0.0,2.6,33.3,64.1
8308,Algebra I,Historically Underperforming,33,0.0,3.0,36.4,60.6
8308,Biology,All Students,35,0.0,2.9,11.4,85.7
8308,Biology,Historically Underperforming,29,0.0,3.4,13.8,82.8
8308,Literature,All Students,34,0.0,8.8,32.4,58.8
8308,Literature,Historically Underperforming,27,0.0,7.4,29.6,63.0
5112,Algebra I,All Students,138,23.2,57.2,15.9,3.6
5112,Algebra I,Historically Underperforming,51,11.8,43.1,37.3,7.8
5112,Biology,All Students,140,12.1,39.3,37.1,11.4
5112,Biology,Historically Underperforming,52,5.8,26.9,46.2,21.2
5112,Literature,All Students,138,8.0,65.2,21.7,5.1
5112,Literature,Historically Underperforming,50,2.0,56.0,28.0,14.0
6105,Algebra I,All Students,211,6.2,21.8,36.0,36.0
6105,Algebra I,Historically Underperforming,131,1.5,18.3,34.4,45.8
6105,Biology,All Students,206,9.2,23.8,23.3,43.7
6105,Biology,Historically Underperforming,125,3.2,20.0,19.2,57.6
6105,Literature,All Students,215,4.2,45.1,32.6,18.1
6105,Literature,Historically Underperforming,135,0.7,34.1,38.5,26.7
6672,Algebra I,All Students,6,,,,
6672,Algebra I,Historically Underperforming,4,,,,
6672,Biology,All Students,6,,,,
6672,Biology,Historically Underperforming,4,,,,
6672,Literature,All Students,6,,,,
6672,Literature,Historically Underperforming,4,,,,
5017,Algebra I,All Students,237,24.5,48.5,20.7,6.3
5017,Algebra I,Historically Underperforming,79,13.9,36.7,31.6,17.7
5017,Biology,All Students,238,29.8,38.7,23.1,8.4
5017,Biology,Historically Underperforming,81,16.0,27.2,42.0,14.8
5017,Literature,All Students,240,15.8,70.8,10.0,3.3
5017,Literature,Historically Underperforming,82,11.0,59.8,20.7,8.5
4951,Algebra I,All Students,267,30.7,52.1,14.2,3.0
4951,Algebra I,Historically Underperforming,61,13.1,37.7,36.1,13.1
4951,Biology,All Students,265,45.7,37.7,10.2,6.4
4951,Biology,Historically Underperforming,60,18.3,41.7,13.3,26.7
4951,Literature,All Students,266,23.3,65.8,7.1,3.8
4951,Literature,Historically Underperforming,61,6.6,55.7,21.3,16.4
0254,Algebra I,All Students,422,45.7,44.5,8.8,0.9
0254,Algebra I,Historically Underperforming,95,22.1,44.2,29.5,4.2
0254,Biology,All Students,418,52.9,37.1,6.9,3.1
0254,Biology,Historically Underperforming,94,27.7,39.4,22.3,10.6
0254,Literature,All Students,421,32.5,61.0,5.2,1.2
0254,Literature,Historically Underperforming,94,12.8,64.9,18.1,4.3
8305,Algebra I,All Students,639,47.7,37.9,11.6,2.8
8305,Algebra I,Historically Underperforming,98,19.4,33.7,30.6,16.3
8305,Biology,All Students,636,50.3,33.5,10.5,5.7
8305,Biology,Historically Underperforming,95,17.9,32.6,20.0,29.5
8305,Literature,All Students,635,35.4,56.2,6.3,2.0
8305,Literature,Historically Underperforming,95,15.8,47.4,24.2,12.6
7101,Algebra I,All Students,268,41.0,39.6,16.8,2.6
7101,Algebra I,Historically Underperforming,74,23.0,36.5,32.4,8.1
7101,Biology,All Students,269,34.9,39.8,20.1,5.2
7101,Biology,Historically Underperforming,76,15.8,38.2,31.6,14.5
7101,Literature,All Students,268,22.8,61.6,10.1,5.6
7101,Literature,Historically Underperforming,76,9.2,53.9,19.7,17.1
0053,Algebra I,All Students,63,12.7,33.3,44.4,9.5
0053,Algebra I,Historically Underperforming,30,6.7,26.7,50.0,16.7
0053,Biology,All Students,64,12.5,50.0,32.8,4.7
0053,Biology,Historically Underperforming,31,6.5,41.9,41.9,9.7
0053,Literature,All Students,63,14.3,54.0,23.8,7.9
0053,Literature,Historically Underperforming,31,3.2,41.9,38.7,16.1
5274,Algebra I,All Students,3,,,,
5274,Algebra I,Historically Underperforming,2,,,,
5274,Biology,All Students,3,,,,
5274,Biology,Historically Underperforming,2,,,,
5274,Literature,All Students,3,,,,
5274,Literature,Historically Underperforming,2,,,,
0309,Algebra I,All Students,256,3.9,24.2,41.8,30.1
0309,Algebra I,Historically Underperforming,166,3.0,16.9,39.2,41.0
0309,Biology,All Students,256,8.2,30.5,25.0,36.3
0309,Biology,Historically Underperforming,162,4.3,21.0,27.8,46.9
0309,Literature,All Students,277,1.1,45.5,33.2,20.2
0309,Literature,Historically Underperforming,178,0.6,33.7,38.2,27.5
7821,Algebra I,All Students,64,6.3,18.8,43.8,31.3
7821,Algebra I,Historically Underperforming,24,0.0,16.7,37.5,45.8
7821,Biology,All Students,63,1.6,22.2,39.7,36.5
7821,Biology,Historically Underperforming,24,0.0,25.0,29.2,45.8
7821,Literature,All Students,63,3.2,44.4,30.2,22.2
7821,Literature,Historically Underperforming,24,0.0,41.7,25.0,33.3
0315,Algebra I,All Students,343,41.7,49.0,7.9,1.5
0315,Algebra I,Historically Underperforming,59,22.0,39.0,30.5,8.5
0315,Biology,All Students,341,34.9,49.6,12.0,3.5
0315,Biology,Historically Underperforming,58,22.4,32.8,25.9,19.0
0315,Literature,All Students,342,18.7,73.4,6.7,1.2
0315,Literature,Historically Underperforming,59,6.8,61.0,27.1,5.1
8203,Algebra I,All Students,106,0.0,17.9,47.2,34.9
8203,Algebra I,Historically Underperforming,100,0.0,16.0,48.0,36.0
8203,Biology,All Students,99,0.0,10.1,28.3,61.6
8203,Biology,Historically Underperforming,93,0.0,7.5,30.1,62.4
8203,Literature,All Students,101,0.0,30.7,38.6,30.7
8203,Literature,Historically Underperforming,95,0.0,28.4,40.0,31.6
0409,Algebra I,All Students,334,20.7,42.8,29.9,6.6
0409,Algebra I,Historically Underperforming,154,7.8,37.7,41.6,13.0
0409,Biology,All Students,337,22.3,35.3,25.5,16.9
0409,Biology,Historically Underperforming,158,7.0,26.6,36.7,29.7
0409,Literature,All Students,338,11.2,58.3,24.0,6.5
0409,Literature,Historically Underperforming,159,4.4,44.0,40.3,11.3
6915,Algebra I,All Students,252,5.2,27.4,40.9,26.6
6915,Algebra I,Historically Underperforming,192,3.6,21.9,41.7,32.8
6915,Biology,All Students,252,0.0,21.4,31.0,47.6
6915,Biology,Historically Underperforming,191,0.0,15.2,27.2,57.6
6915,Literature,All Students,248,2.4,37.5,29.0,31.0
6915,Literature,Historically Underperforming,189,0.5,31.7,27.5,40.2
8106,Algebra I,All Students,128,26.6,47.7,21.9,3.9
8106,Algebra I,Historically Underperforming,40,22.5,37.5,32.5,7.5
