2013-14 Percent of Low Income by School,,,,
Private and Nonpublic Schools,,,,
,,,,
AUN,School Name,County Name,School District,Percent
202025745,St Bede School,Allegheny,Pittsburgh SD,9.2
202027885,St Benedict the Moor,Allegheny,Pittsburgh SD,81.8
203025785,St Bernadette School,Allegheny,Gateway SD,22.3
203025805,St Bernard School,Allegheny,Mt Lebanon SD,14.5
203025825,St Bonaventure School,Allegheny,Shaler Area SD,18.4
202026165,St Edmunds Academy,Allegheny,Pittsburgh SD,0
203026195,St Elizabeth Elementary School,Allegheny,Baldwin-Whitehall SD,14.6
202026345,St Gabriel School,Allegheny,Baldwin-Whitehall SD,11.3
203026505,St Irenaeus,Allegheny,Riverview SD,32.3
203026565,St James School,Allegheny,Quaker Valley SD,18.8
203026685,St John the Baptist School,Allegheny,Plum Borough SD,11.4
203026785,St Joseph High School,Allegheny,Highlands SD,58.5
203026945,St Joseph School,Allegheny,Riverview SD,33.3
202027085,St Louise De Marillac School,Allegheny,Upper Saint Clair SD,5
203027105,St Malachy School,Allegheny,Montour SD,45.6
202027125,St Margaret of Scotland School,Allegheny,Keystone Oaks SD,13.9
203027365,St Mary School,Allegheny,Fox Chapel Area SD,31
203027745,St Philip Grade School,Allegheny,Carlynton SD,36.2
202027825,St Raphael Elementary School,Allegheny,Pittsburgh SD,48.4
202027945,St Rosalia Academy,Allegheny,Pittsburgh SD,64.9
202027985,St Sebastian School,Allegheny,North Hills SD,11.7
203028025,St Sylvester School,Allegheny,Brentwood Borough SD,33.6
203028065,St Teresa of Avila School,Allegheny,North Hills SD,10.5
203028045,St Therese School,Allegheny,Steel Valley SD,32.6
203028105,St Thomas More School,Allegheny,Bethel Park SD,9.1
203028125,St Ursula School,Allegheny,Hampton Township SD,6.6
300028525,Therapeutic Learning Center,Allegheny,Pittsburgh SD,78.1
300029420,Tolatr Academy,Allegheny,Pittsburgh SD,38.9
203021355,Trinity Christian School,Allegheny,Woodland Hills SD,0
202023515,Universal Academy of Pittsburgh,Allegheny,Woodland Hills SD,78.8
300028890,University School,Allegheny,Pittsburgh SD,0
202029605,Vincentian Academy,Allegheny,North Allegheny SD,18.5
203020009,Virtuous Academy,Allegheny,Duquesne City SD,100
300028690,Waldorf School of Pittsburgh,Allegheny,Pittsburgh SD,52.9
203029635,Walnut Grove Christian School,Allegheny,West Mifflin Area SD,0
