,aun,percent
275,226511122.0,0.0
276,224151662.0,0.0
277,203027965.0,45.8
278,207652605.0,18.0
279,226511102.0,8.8
280,225231652.0,22.6
281,206611404.0,27.9
282,208050655.0,0.0
283,215211502.0,0.0
284,215221583.0,0.0
285,212672503.0,13.6
286,206160001.0,33.3
287,300651860.0,0.0
288,207650000.0,27.3
289,211441083.0,0.0
290,213361062.0,0.0
291,300151904.0,87.1
292,300671370.0,22.5
293,226514095.0,0.0
294,212281197.0,0.0
295,202025886.0,0.0
296,226515832.0,58.5
297,226519094.0,54.3
298,226517510.0,44.0
299,206160788.0,0.0
300,326510169.0,0.0
301,215502103.0,0.0
302,210171534.0,100.0
303,212280723.0,0.0
304,211441103.0,0.0
305,213368902.0,0.0
306,213361082.0,0.0
307,213361122.0,0.0
308,207651505.0,50.0
309,228325893.0,0.0
310,224150027.0,0.0
311,206611454.0,0.0
312,211340002.0,0.0
313,211440009.0,0.0
314,213362083.0,0.0
315,213361222.0,0.0
316,216190700.0,0.0
317,326512995.0,100.0
318,300250800.0,100.0
319,202021405.0,9.3
320,326510079.0,100.0
321,213361112.0,0.0
322,300091245.0,0.0
323,300151120.0,0.0
324,213361162.0,11.3
325,213361172.0,0.0
326,213361182.0,0.0
327,201261505.0,34.5
328,212280953.0,0.0
329,222091252.0,0.7
330,300512880.0,0.0
331,224361192.0,0.0
332,300151300.0,0.0
333,314060003.0,100.0
334,300272000.0,0.0
335,300280100.0,95.6
336,312280000.0,95.8
337,300512620.0,90.9
338,300029770.0,83.1
339,213360081.0,0.0
340,212281003.0,2.2
341,223460802.0,1.8
342,205250003.0,25.0
343,204371004.0,0.0
344,206160004.0,0.0
345,223460902.0,0.0
346,224151572.0,0.0
347,213360087.0,0.0
348,216609516.0,0.0
349,210180002.0,0.0
350,213369536.0,0.0
351,210180007.0,0.0
352,215210015.0,0.0
353,213361225.0,0.0
354,217410005.0,0.0
355,213361232.0,0.0
356,208075430.0,0.0
357,204430004.0,0.0
358,213381703.0,0.0
359,211441183.0,0.0
360,208071255.0,0.0
361,215221753.0,0.0
362,220480852.0,0.0
363,223460942.0,19.0
364,215210653.0,0.0
365,210180005.0,0.0
366,205250009.0,0.0
367,300021860.0,0.0
368,300021850.0,0.0
369,205201504.0,29.9
370,304376697.0,100.0
371,224151852.0,0.0
372,300461670.0,0.0
373,204430007.0,47.3
374,226513837.0,100.0
375,213361212.0,0.0
376,216470001.0,0.0
377,226514122.0,0.0
378,228320005.0,0.0
379,226510080.0,100.0
380,206164246.0,0.0
381,208561255.0,0.0
382,208561265.0,0.0
383,304430003.0,100.0
384,304430004.0,100.0
385,213360962.0,0.0
386,212281603.0,0.0
387,205206788.0,0.0
388,300421500.0,100.0
389,300404030.0,0.0
390,300471041.0,0.0
391,316470000.0,0.0
392,300231780.0,69.2
393,300024910.0,16.0
394,228030000.0,0.0
395,213361242.0,12.9
396,222091802.0,100.0
397,213361252.0,0.0
398,210181003.0,0.0
399,204430001.0,0.0
400,228030002.0,0.0
401,225231672.0,6.8
402,224150022.0,13.9
403,211340006.0,0.0
404,223460982.0,5.6
405,212012003.0,13.8
406,300513270.0,0.0
407,226517602.0,21.9
408,300022250.0,0.0
409,300351650.0,27.1
410,300222030.0,0.0
411,300151903.0,100.0
412,300151900.0,1.7
413,300151902.0,100.0
414,224152002.0,0.0
415,315210043.0,0.0
416,319354679.0,16.7
417,303020409.0,0.0
418,203025785.0,36.9
419,208112338.0,17.9
420,208117305.0,32.7
421,208115005.0,32.3
422,228032504.0,25.0
423,223460782.0,11.3
424,223465472.0,10.0
425,300091340.0,4.4
426,300250603.0,0.0
427,300250600.0,65.2
428,225230008.0,0.0
429,228031004.0,0.0
430,213360068.0,0.0
431,206177004.0,34.8
432,206171504.0,26.6
433,206171554.0,0.0
434,213360017.0,0.0
435,206200000.0,0.0
436,204430734.0,0.0
437,205250014.0,0.0
438,213367316.0,0.0
439,215221872.0,0.0
440,213363344.0,0.0
441,206331250.0,0.0
442,305620002.0,0.0
443,213361372.0,0.0
444,210189925.0,0.0
445,216601153.0,0.0
446,213361382.0,0.0
447,213361362.0,0.0
448,211341683.0,0.0
449,300091500.0,0.0
450,300462440.0,100.0
