,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
1295,3808.0,112,108,96.43%,108,96.43%,109,97.32%,1,0.89%,0,0.00%
1296,3816.0,180,114,63.33%,102,56.67%,122,67.78%,8,4.44%,12,6.67%
1297,3818.0,145,41,28.28%,40,27.59%,42,28.97%,1,0.69%,1,0.69%
1298,3841.0,144,84,58.33%,76,52.78%,93,64.58%,9,6.25%,8,5.56%
1299,3842.0,83,33,39.76%,24,28.92%,40,48.19%,7,8.43%,9,10.84%
1300,3843.0,157,130,82.80%,126,80.25%,132,84.08%,2,1.27%,4,2.55%
1301,3844.0,105,51,48.57%,43,40.95%,65,61.90%,14,13.33%,8,7.62%
1302,3845.0,334,222,66.47%,181,54.19%,240,71.86%,18,5.39%,41,12.28%
1303,3847.0,107,22,20.56%,22,20.56%,22,20.56%,0,0.00%,0,0.00%
1304,3848.0,564,402,71.28%,398,70.57%,405,71.81%,3,0.53%,4,0.71%
1305,3849.0,164,61,37.20%,50,30.49%,69,42.07%,8,4.88%,11,6.71%
1306,3850.0,162,75,46.30%,70,43.21%,80,49.38%,5,3.09%,5,3.09%
1307,3851.0,80,47,58.75%,40,50.00%,52,65.00%,5,6.25%,7,8.75%
1308,3855.0,625,466,74.56%,441,70.56%,479,76.64%,13,2.08%,25,4.00%
1309,3857.0,78,46,58.97%,43,55.13%,50,64.10%,4,5.13%,3,3.85%
1310,3859.0,107,39,36.45%,38,35.51%,41,38.32%,2,1.87%,1,0.93%
1311,3860.0,107,73,68.22%,67,62.62%,79,73.83%,6,5.61%,6,5.61%
1312,3861.0,119,88,73.95%,79,66.39%,95,79.83%,7,5.88%,9,7.56%
1313,6527.0,308,146,47.40%,134,43.51%,153,49.68%,7,2.27%,12,3.90%
1314,6548.0,51,29,56.86%,27,52.94%,30,58.82%,1,1.96%,2,3.92%
1315,6675.0,78,40,51.28%,34,43.59%,47,60.26%,7,8.97%,6,7.69%
1316,6822.0,186,128,68.82%,123,66.13%,136,73.12%,8,4.30%,5,2.69%
1317,6996.0,186,103,55.38%,101,54.30%,106,56.99%,3,1.61%,2,1.08%
1318,7023.0,182,172,94.51%,167,91.76%,174,95.60%,2,1.10%,5,2.75%
1319,7070.0,138,115,83.33%,111,80.43%,117,84.78%,2,1.45%,4,2.90%
1320,7072.0,146,88,60.27%,76,52.05%,98,67.12%,10,6.85%,12,8.22%
1321,7229.0,79,41,51.90%,39,49.37%,41,51.90%,0,0.00%,2,2.53%
1322,7245.0,71,35,49.30%,30,42.25%,42,59.15%,7,9.86%,5,7.04%
1323,7255.0,45,3,6.67%,3,6.67%,3,6.67%,0,0.00%,0,0.00%
1324,7664.0,61,53,86.89%,51,83.61%,54,88.52%,1,1.64%,2,3.28%
1325,7780.0,72,51,70.83%,44,61.11%,57,79.17%,6,8.33%,7,9.72%
1326,7782.0,97,87,89.69%,85,87.63%,88,90.72%,1,1.03%,2,2.06%
1327,7808.0,53,41,77.36%,36,67.92%,45,84.91%,4,7.55%,5,9.43%
1328,7811.0,79,64,81.01%,60,75.95%,68,86.08%,4,5.06%,4,5.06%
1329,7813.0,71,15,21.13%,12,16.90%,18,25.35%,3,4.23%,3,4.23%
