,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
37,1335.0,145,84,57.9%,71,91,62.8%,7,4.8%,13
38,9999.0,3,1,33.3%,1,1,33.3%,0,0.0%,0
39,50.0,344,281,81.7%,273,291,84.6%,10,2.9%,8
40,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
41,3434.0,263,185,70.3%,184,185,70.3%,0,0.0%,1
42,7847.0,23,9,39.1%,9,11,47.8%,2,8.7%,0
43,640.0,171,139,81.3%,138,144,84.2%,5,2.9%,1
44,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
45,726.0,169,89,52.7%,88,95,56.2%,6,3.6%,1
46,4930.0,196,151,77.0%,140,155,79.1%,4,2.0%,11
47,1343.0,225,142,63.1%,138,144,64.0%,2,0.9%,4
48,917.0,93,69,74.2%,69,70,75.3%,1,1.1%,0
49,9999.0,10,0,0.0%,0,0,0.0%,0,0.0%,0
50,5116.0,473,368,77.8%,355,385,81.4%,17,3.6%,13
51,1595.0,52,35,67.3%,34,39,75.0%,4,7.7%,1
52,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
53,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
54,4188.0,91,76,83.5%,63,76,83.5%,0,0.0%,13
55,6207.0,69,48,69.6%,48,48,69.6%,0,0.0%,0
56,3.0,148,92,62.2%,78,95,64.2%,3,2.0%,14
57,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
58,1605.0,220,154,70.0%,146,165,75.0%,11,5.0%,8
59,62.0,435,392,90.1%,381,393,90.3%,1,0.2%,11
60,9999.0,7,1,14.3%,1,1,14.3%,0,0.0%,0
61,4957.0,443,382,86.2%,376,386,87.1%,4,0.9%,6
62,3465.0,608,459,75.5%,452,461,75.8%,2,0.3%,7
63,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
64,4181.0,88,60,68.2%,57,74,84.1%,14,15.9%,3
65,649.0,111,59,53.2%,48,59,53.2%,0,0.0%,11
66,1677.0,200,120,60.0%,112,124,62.0%,4,2.0%,8
67,6707.0,214,176,82.2%,164,177,82.7%,1,0.5%,12
68,5135.0,55,31,56.4%,27,32,58.2%,1,1.8%,4
69,4706.0,81,56,69.1%,53,57,70.4%,1,1.2%,3
70,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
71,2353.0,66,51,77.3%,44,55,83.3%,4,6.1%,7
72,1612.0,106,79,74.5%,76,84,79.2%,5,4.7%,3
73,3891.0,227,159,70.0%,137,160,70.5%,1,0.4%,22
74,4034.0,75,46,61.3%,38,51,68.0%,5,6.7%,8
75,9999.0,6,1,16.7%,0,1,16.7%,0,0.0%,1
76,6306.0,523,374,71.5%,353,374,71.5%,0,0.0%,21
77,7981.0,76,71,93.4%,71,71,93.4%,0,0.0%,0
78,4691.0,172,113,65.7%,104,119,69.2%,6,3.5%,9
79,9999.0,9,2,22.2%,2,2,22.2%,0,0.0%,0
80,6308.0,141,108,76.6%,104,112,79.4%,4,2.8%,4
81,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
82,70.0,113,94,83.2%,85,99,87.6%,5,4.4%,9
83,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
84,1014.0,61,47,77.0%,45,48,78.7%,1,1.6%,2
85,9999.0,40,1,2.5%,0,1,2.5%,0,0.0%,1
86,1029.0,311,224,72.0%,208,229,73.6%,5,1.6%,16
87,2362.0,69,42,60.9%,40,48,69.6%,6,8.7%,2
88,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
89,6162.0,106,54,50.9%,52,56,52.8%,2,1.9%,2
90,4818.0,141,82,58.2%,71,88,62.4%,6,4.3%,11
91,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
92,1030.0,309,169,54.7%,141,169,54.7%,0,0.0%,28
93,4195.0,109,82,75.2%,76,84,77.1%,2,1.8%,6
94,4340.0,137,113,82.5%,112,114,83.2%,1,0.7%,1
95,9999.0,14,3,21.4%,3,4,28.6%,1,7.1%,0
96,1147.0,627,524,83.6%,490,535,85.3%,11,1.8%,34
97,4203.0,81,59,72.8%,51,61,75.3%,2,2.5%,8
98,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
99,5212.0,142,88,62.0%,83,101,71.1%,13,9.2%,5
100,1299.0,68,43,63.2%,43,45,66.2%,2,2.9%,0
101,1682.0,78,75,96.2%,75,75,96.2%,0,0.0%,0
102,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
103,4217.0,335,269,80.3%,247,273,81.5%,4,1.2%,22
104,988.0,62,33,53.2%,32,34,54.8%,1,1.6%,1
105,4870.0,74,17,23.0%,17,27,36.5%,10,13.5%,0
106,2420.0,90,59,65.6%,53,62,68.9%,3,3.3%,6
107,7577.0,50,23,46.0%,15,26,52.0%,3,6.0%,8
108,1694.0,299,198,66.2%,187,201,67.2%,3,1.0%,11
109,9999.0,14,0,0.0%,0,0,0.0%,0,0.0%,0
110,79.0,87,68,78.2%,61,69,79.3%,1,1.1%,7
111,9999.0,7,1,14.3%,1,1,14.3%,0,0.0%,0
112,7112.0,72,45,62.5%,35,45,62.5%,0,0.0%,10
113,2798.0,120,88,73.3%,85,91,75.8%,3,2.5%,3
114,9999.0,8,0,0.0%,0,0,0.0%,0,0.0%,0
115,1040.0,453,381,84.1%,379,399,88.1%,18,4.0%,2
116,7726.0,32,18,56.3%,18,22,68.8%,4,12.5%,0
117,5133.0,541,501,92.6%,500,507,93.7%,6,1.1%,1
118,7790.0,610,563,92.3%,563,569,93.3%,6,1.0%,0
119,1043.0,464,416,89.7%,416,420,90.5%,4,0.9%,0
120,9999.0,15,0,0.0%,0,0,0.0%,0,0.0%,0
121,1208.0,136,92,67.6%,91,100,73.5%,8,5.9%,1
122,9999.0,8,0,0.0%,0,0,0.0%,0,0.0%,0
123,1619.0,148,116,78.4%,114,121,81.8%,5,3.4%,2
124,1746.0,311,218,70.1%,210,222,71.4%,4,1.3%,8
125,9999.0,7,0,0.0%,0,0,0.0%,0,0.0%,0
126,1745.0,456,383,84.0%,380,389,85.3%,6,1.3%,3
127,6252.0,44,30,68.2%,28,30,68.2%,0,0.0%,2
128,9999.0,9,1,11.1%,1,1,11.1%,0,0.0%,0
129,5118.0,140,78,55.7%,72,90,64.3%,12,8.6%,6
130,7720.0,13,6,46.2%,6,6,46.2%,0,0.0%,0
131,8044.0,170,129,75.9%,122,132,77.6%,3,1.8%,7
132,4545.0,411,340,82.7%,320,347,84.4%,7,1.7%,20
133,9999.0,17,7,41.2%,7,10,58.8%,3,17.6%,0
134,8244.0,83,7,8.4%,7,7,8.4%,0,0.0%,0
135,9999.0,6,0,0.0%,0,0,0.0%,0,0.0%,0
136,2191.0,504,272,54.0%,271,284,56.3%,12,2.4%,1
137,4715.0,117,86,73.5%,75,91,77.8%,5,4.3%,11
138,7578.0,132,108,81.8%,107,108,81.8%,0,0.0%,1
139,6706.0,265,231,87.2%,227,238,89.8%,7,2.6%,4
140,9999.0,9,0,0.0%,0,0,0.0%,0,0.0%,0
141,4235.0,113,83,73.5%,77,85,75.2%,2,1.8%,6
142,3260.0,347,301,86.7%,295,301,86.7%,0,0.0%,6
143,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
144,7293.0,175,87,49.7%,85,94,53.7%,7,4.0%,2
145,6492.0,126,0,0.0%,0,0,0.0%,0,0.0%,0
146,8250.0,88,78,88.6%,71,82,93.2%,4,4.5%,7
147,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
148,732.0,108,64,59.3%,47,68,63.0%,4,3.7%,17
149,1849.0,221,144,65.2%,132,152,68.8%,8,3.6%,12
150,7727.0,117,98,83.8%,98,98,83.8%,0,0.0%,0
151,9999.0,10,1,10.0%,1,2,20.0%,1,10.0%,0
152,8094.0,59,39,66.1%,38,43,72.9%,4,6.8%,1
153,1475.0,80,52,65.0%,51,54,67.5%,2,2.5%,1
154,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
155,1480.0,61,32,52.5%,30,40,65.6%,8,13.1%,2
156,921.0,57,37,64.9%,25,38,66.7%,1,1.8%,12
157,6236.0,171,102,59.6%,93,108,63.2%,6,3.5%,9
158,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
159,5012.0,503,348,69.2%,348,406,80.7%,58,11.5%,0
160,6290.0,257,172,66.9%,144,175,68.1%,3,1.2%,28
161,7628.0,33,28,84.8%,28,30,90.9%,2,6.1%,0
162,3333.0,366,325,88.8%,321,336,91.8%,11,3.0%,4
163,9999.0,2,1,50.0%,1,1,50.0%,0,0.0%,0
164,2515.0,60,34,56.7%,25,41,68.3%,7,11.7%,9
165,5178.0,147,38,25.9%,37,45,30.6%,7,4.8%,1
166,6122.0,46,32,69.6%,24,32,69.6%,0,0.0%,8
167,7774.0,559,245,43.8%,235,268,47.9%,23,4.1%,10
168,7510.0,136,100,73.5%,100,114,83.8%,14,10.3%,0
169,3978.0,63,39,61.9%,38,50,79.4%,11,17.5%,1
170,5136.0,70,44,62.9%,44,47,67.1%,3,4.3%,0
171,2532.0,307,205,66.8%,184,206,67.1%,1,0.3%,21
172,9999.0,16,5,31.3%,5,6,37.5%,1,6.3%,0
173,17.0,290,201,69.3%,175,201,69.3%,0,0.0%,26
174,8224.0,182,101,55.5%,101,102,56.0%,1,0.5%,0
175,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
176,6643.0,119,34,28.6%,24,59,49.6%,25,21.0%,10
177,5228.0,239,174,72.8%,167,186,77.8%,12,5.0%,7
178,9999.0,7,2,28.6%,1,3,42.9%,1,14.3%,1
179,777.0,209,148,70.8%,139,162,77.5%,14,6.7%,9
180,8087.0,50,40,80.0%,40,40,80.0%,0,0.0%,0
181,4800.0,361,252,69.8%,240,260,72.0%,8,2.2%,12
182,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
183,1998.0,170,84,49.4%,73,103,60.6%,19,11.2%,11
184,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
185,3869.0,56,30,53.6%,29,34,60.7%,4,7.1%,1
186,5096.0,502,473,94.2%,473,481,95.8%,8,1.6%,0
187,7749.0,500,480,96.0%,480,489,97.8%,9,1.8%,0
188,9999.0,18,3,16.7%,3,7,38.9%,4,22.2%,0
189,4098.0,90,67,74.4%,56,69,76.7%,2,2.2%,11
190,1632.0,61,35,57.4%,32,36,59.0%,1,1.6%,3
191,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
192,1654.0,198,118,59.6%,100,123,62.1%,5,2.5%,18
193,2860.0,255,221,86.7%,219,227,89.0%,6,2.4%,2
194,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
195,7624.0,33,7,21.2%,3,8,24.2%,1,3.0%,4
196,1701.0,567,459,81.0%,456,466,82.2%,7,1.2%,3
197,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
198,1529.0,115,81,70.4%,75,81,70.4%,0,0.0%,6
199,2869.0,196,175,89.3%,172,178,90.8%,3,1.5%,3
200,9999.0,13,5,38.5%,5,6,46.2%,1,7.7%,0
201,4553.0,457,373,81.6%,359,385,84.2%,12,2.6%,14
202,4810.0,253,0,0.0%,0,0,0.0%,0,0.0%,0
203,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
204,3425.0,160,120,75.0%,115,125,78.1%,5,3.1%,5
205,5278.0,192,94,49.0%,76,94,49.0%,0,0.0%,18
206,513.0,159,122,76.7%,122,133,83.6%,11,6.9%,0
207,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
208,7671.0,162,162,100.0%,162,162,100.0%,0,0.0%,0
209,5261.0,460,356,77.4%,356,386,83.9%,30,6.5%,0
210,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
211,4352.0,181,136,75.1%,124,138,76.2%,2,1.1%,12
212,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
213,4801.0,286,255,89.2%,253,256,89.5%,1,0.3%,2
214,2539.0,216,142,65.7%,126,149,69.0%,7,3.2%,16
215,4558.0,248,152,61.3%,145,167,67.3%,15,6.0%,7
216,9999.0,13,6,46.2%,6,7,53.8%,1,7.7%,0
217,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
218,7759.0,480,446,92.9%,441,448,93.3%,2,0.4%,5
219,1387.0,373,331,88.7%,330,342,91.7%,11,2.9%,1
220,7550.0,40,20,50.0%,20,22,55.0%,2,5.0%,0
221,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
222,6156.0,268,150,56.0%,141,161,60.1%,11,4.1%,9
223,2429.0,107,87,81.3%,86,93,86.9%,6,5.6%,1
224,5193.0,122,93,76.2%,84,96,78.7%,3,2.5%,9
225,9999.0,15,0,0.0%,0,0,0.0%,0,0.0%,0
226,6364.0,115,82,71.3%,72,82,71.3%,0,0.0%,10
227,2809.0,618,470,76.1%,462,476,77.0%,6,1.0%,8
228,1707.0,181,141,77.9%,136,141,77.9%,0,0.0%,5
229,7641.0,273,0,0.0%,0,0,0.0%,0,0.0%,0
230,6935.0,374,0,0.0%,0,0,0.0%,0,0.0%,0
231,9999.0,2,1,50.0%,0,1,50.0%,0,0.0%,1
232,2554.0,267,148,55.4%,145,166,62.2%,18,6.7%,3
233,2740.0,175,110,62.9%,110,110,62.9%,0,0.0%,0
234,8127.0,54,54,100.0%,52,54,100.0%,0,0.0%,2
235,4564.0,186,134,72.0%,112,140,75.3%,6,3.2%,22
236,9999.0,12,0,0.0%,0,1,8.3%,1,8.3%,0
237,3482.0,648,544,84.0%,540,557,86.0%,13,2.0%,4
238,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
239,144.0,210,138,65.7%,135,141,67.1%,3,1.4%,3
240,9999.0,6,0,0.0%,0,0,0.0%,0,0.0%,0
241,2562.0,307,194,63.2%,190,205,66.8%,11,3.6%,4
242,6418.0,101,51,50.5%,51,56,55.4%,5,5.0%,0
243,2675.0,143,92,64.3%,92,102,71.3%,10,7.0%,0
244,9999.0,9,0,0.0%,0,0,0.0%,0,0.0%,0
245,6293.0,284,182,64.1%,177,196,69.0%,14,4.9%,5
246,7294.0,198,113,57.1%,82,118,59.6%,5,2.5%,31
247,2026.0,184,98,53.3%,98,98,53.3%,0,0.0%,0
248,7515.0,195,195,100.0%,195,195,100.0%,0,0.0%,0
249,2027.0,165,122,73.9%,107,122,73.9%,0,0.0%,15
250,7665.0,174,139,79.9%,122,142,81.6%,3,1.7%,17
251,7897.0,102,63,61.8%,63,68,66.7%,5,4.9%,0
252,7866.0,8,5,62.5%,5,6,75.0%,1,12.5%,0
253,9999.0,8,0,0.0%,0,0,0.0%,0,0.0%,0
254,788.0,309,255,82.5%,253,268,86.7%,13,4.2%,2
255,6269.0,99,79,79.8%,72,81,81.8%,2,2.0%,7
256,6737.0,150,118,78.7%,118,127,84.7%,9,6.0%,0
257,2201.0,47,24,51.1%,24,26,55.3%,2,4.3%,0
258,5248.0,55,34,61.8%,32,43,78.2%,9,16.4%,2
259,1225.0,55,38,69.1%,36,38,69.1%,0,0.0%,2
260,5023.0,196,144,73.5%,142,153,78.1%,9,4.6%,2
261,2246.0,25,14,56.0%,14,14,56.0%,0,0.0%,0
262,6159.0,16,12,75.0%,12,12,75.0%,0,0.0%,0
263,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
264,6161.0,19,6,31.6%,6,6,31.6%,0,0.0%,0
265,6419.0,51,35,68.6%,24,35,68.6%,0,0.0%,11
266,1191.0,162,108,66.7%,101,113,69.8%,5,3.1%,7
267,4242.0,78,56,71.8%,56,57,73.1%,1,1.3%,0
268,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
269,2037.0,185,111,60.0%,102,121,65.4%,10,5.4%,9
270,156.0,348,317,91.1%,317,320,92.0%,3,0.9%,0
271,9999.0,8,1,12.5%,1,1,12.5%,0,0.0%,0
272,4106.0,132,83,62.9%,75,90,68.2%,7,5.3%,8
273,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
274,4360.0,305,1,0.3%,0,1,0.3%,0,0.0%,1
275,7666.0,227,198,87.2%,197,211,93.0%,13,5.7%,1
276,2126.0,91,62,68.1%,55,62,68.1%,0,0.0%,7
277,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
278,6563.0,120,84,70.0%,84,85,70.8%,1,0.8%,0
279,594.0,132,118,89.4%,109,120,90.9%,2,1.5%,9
280,7586.0,102,95,93.1%,95,96,94.1%,1,1.0%,0
281,6223.0,19,9,47.4%,9,9,47.4%,0,0.0%,0
282,1869.0,367,337,91.8%,334,340,92.6%,3,0.8%,3
283,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
284,9999.0,4,4,100.0%,0,4,100.0%,0,0.0%,4
285,170.0,317,283,89.3%,266,304,95.9%,21,6.6%,17
286,2040.0,176,121,68.8%,112,125,71.0%,4,2.3%,9
287,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
288,6271.0,237,175,73.8%,166,176,74.3%,1,0.4%,9
289,9999.0,7,2,28.6%,2,2,28.6%,0,0.0%,0
290,2043.0,140,85,60.7%,76,89,63.6%,4,2.9%,9
291,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
292,5219.0,64,38,59.4%,34,39,60.9%,1,1.6%,4
293,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
294,802.0,348,258,74.1%,244,272,78.2%,14,4.0%,14
295,1424.0,309,297,96.1%,297,298,96.4%,1,0.3%,0
296,9999.0,16,0,0.0%,0,0,0.0%,0,0.0%,0
297,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
298,1251.0,200,183,91.5%,179,183,91.5%,0,0.0%,4
299,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
300,4845.0,305,244,80.0%,240,253,83.0%,9,3.0%,4
301,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
302,5242.0,166,107,64.5%,105,112,67.5%,5,3.0%,2
303,2206.0,231,145,62.8%,141,155,67.1%,10,4.3%,4
304,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
305,4373.0,207,168,81.2%,155,172,83.1%,4,1.9%,13
306,3137.0,91,50,54.9%,49,55,60.4%,5,5.5%,1
307,6341.0,61,43,70.5%,40,43,70.5%,0,0.0%,3
308,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
309,6125.0,53,39,73.6%,39,41,77.4%,2,3.8%,0
310,3145.0,182,141,77.5%,139,153,84.1%,12,6.6%,2
311,6330.0,74,52,70.3%,52,54,73.0%,2,2.7%,0
312,808.0,188,131,69.7%,111,138,73.4%,7,3.7%,20
313,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
314,5190.0,274,239,87.2%,238,245,89.4%,6,2.2%,1
315,2891.0,133,110,82.7%,107,111,83.5%,1,0.8%,3
316,9999.0,14,0,0.0%,0,0,0.0%,0,0.0%,0
317,4571.0,94,56,59.6%,51,56,59.6%,0,0.0%,5
318,7948.0,151,109,72.2%,108,116,76.8%,7,4.6%,1
319,1547.0,24,14,58.3%,10,14,58.3%,0,0.0%,4
320,6333.0,205,114,55.6%,111,119,58.0%,5,2.4%,3
321,7902.0,70,0,0.0%,0,0,0.0%,0,0.0%,0
322,9999.0,6,0,0.0%,0,0,0.0%,0,0.0%,0
323,3272.0,383,342,89.3%,337,343,89.6%,1,0.3%,5
324,1879.0,435,406,93.3%,395,410,94.3%,4,0.9%,11
325,9999.0,12,2,16.7%,2,4,33.3%,2,16.7%,0
326,7348.0,744,515,69.2%,491,529,71.1%,14,1.9%,24
327,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
328,9999.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
329,2578.0,540,411,76.1%,394,416,77.0%,5,0.9%,17
330,7747.0,4,0,0.0%,0,0,0.0%,0,0.0%,0
331,9999.0,18,0,0.0%,0,0,0.0%,0,0.0%,0
332,4404.0,489,413,84.5%,403,435,89.0%,22,4.5%,10
333,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
334,3150.0,171,143,83.6%,131,144,84.2%,1,0.6%,12
335,5153.0,179,114,63.7%,114,133,74.3%,19,10.6%,0
336,5207.0,257,152,59.1%,147,158,61.5%,6,2.3%,5
337,2331.0,68,44,64.7%,40,47,69.1%,3,4.4%,4
338,7723.0,14,14,100.0%,14,14,100.0%,0,0.0%,0
339,8154.0,21,6,28.6%,6,6,28.6%,0,0.0%,0
340,9999.0,5,0,0.0%,0,0,0.0%,0,0.0%,0
341,675.0,202,151,74.8%,141,163,80.7%,12,5.9%,10
342,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
343,2305.0,163,99,60.7%,89,107,65.6%,8,4.9%,10
344,8155.0,67,57,85.1%,57,59,88.1%,2,3.0%,0
345,7542.0,121,112,92.6%,112,113,93.4%,1,0.8%,0
346,2325.0,202,159,78.7%,150,164,81.2%,5,2.5%,9
347,9999.0,6,0,0.0%,0,0,0.0%,0,0.0%,0
348,1885.0,290,233,80.3%,222,246,84.8%,13,4.5%,11
349,4817.0,72,54,75.0%,48,54,75.0%,0,0.0%,6
350,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
351,6126.0,40,24,60.0%,20,24,60.0%,0,0.0%,4
352,4412.0,76,53,69.7%,53,53,69.7%,0,0.0%,0
353,5180.0,82,17,20.7%,14,18,22.0%,1,1.2%,3
354,2280.0,62,26,41.9%,24,30,48.4%,4,6.5%,2
355,8049.0,53,47,88.7%,47,47,88.7%,0,0.0%,0
356,3034.0,169,105,62.1%,99,111,65.7%,6,3.6%,6
357,1307.0,123,89,72.4%,84,91,74.0%,2,1.6%,5
358,9999.0,7,0,0.0%,0,0,0.0%,0,0.0%,0
359,6218.0,51,35,68.6%,30,35,68.6%,0,0.0%,5
360,2394.0,85,52,61.2%,48,52,61.2%,0,0.0%,4
361,6255.0,134,79,59.0%,56,83,61.9%,4,3.0%,23
362,2308.0,69,44,63.8%,44,44,63.8%,0,0.0%,0
363,5245.0,91,53,58.2%,52,53,58.2%,0,0.0%,1
364,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
365,1154.0,112,76,67.9%,59,79,70.5%,3,2.7%,17
366,9999.0,9,0,0.0%,0,0,0.0%,0,0.0%,0
367,6482.0,291,229,78.7%,228,235,80.8%,6,2.1%,1
368,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
369,1486.0,79,59,74.7%,56,61,77.2%,2,2.5%,3
370,6241.0,34,20,58.8%,20,24,70.6%,4,11.8%,0
371,7589.0,313,187,59.7%,166,188,60.1%,1,0.3%,21
372,7506.0,47,11,23.4%,3,17,36.2%,6,12.8%,8
373,5112.0,175,138,78.9%,124,141,80.6%,3,1.7%,14
374,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
375,7776.0,5,4,80.0%,4,5,100.0%,1,20.0%,0
376,4431.0,318,283,89.0%,243,285,89.6%,2,0.6%,40
377,816.0,133,86,64.7%,85,90,67.7%,4,3.0%,1
378,7538.0,22,17,77.3%,13,21,95.5%,4,18.2%,4
379,4528.0,88,67,76.1%,67,67,76.1%,0,0.0%,0
380,6404.0,111,82,73.9%,80,83,74.8%,1,0.9%,2
381,2924.0,144,113,78.5%,112,115,79.9%,2,1.4%,1
382,3155.0,99,65,65.7%,51,66,66.7%,1,1.0%,14
383,9999.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
384,2607.0,252,210,83.3%,197,211,83.7%,1,0.4%,13
385,9999.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
386,2596.0,567,442,78.0%,428,450,79.4%,8,1.4%,14
387,7922.0,128,87,68.0%,85,104,81.3%,17,13.3%,2
388,6600.0,229,150,65.5%,148,166,72.5%,16,7.0%,2
389,2680.0,107,87,81.3%,87,87,81.3%,0,0.0%,0
390,4940.0,132,57,43.2%,56,60,45.5%,3,2.3%,1
391,9999.0,16,0,0.0%,0,0,0.0%,0,0.0%,0
392,5155.0,241,96,39.8%,81,97,40.2%,1,0.4%,15
393,7923.0,41,36,87.8%,31,36,87.8%,0,0.0%,5
394,7681.0,35,33,94.3%,33,33,94.3%,0,0.0%,0
395,7634.0,106,92,86.8%,90,93,87.7%,1,0.9%,2
396,1315.0,142,107,75.4%,107,114,80.3%,7,4.9%,0
397,4807.0,200,84,42.0%,74,100,50.0%,16,8.0%,10
398,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
399,4085.0,129,116,89.9%,116,117,90.7%,1,0.8%,0
400,4442.0,109,82,75.2%,82,94,86.2%,12,11.0%,0
401,7859.0,131,108,82.4%,107,112,85.5%,4,3.1%,1
402,3532.0,73,49,67.1%,40,50,68.5%,1,1.4%,9
403,9999.0,1,0,0.0%,0,0,0.0%,0,0.0%,0
404,14.0,152,82,53.9%,81,88,57.9%,6,3.9%,1
405,1776.0,268,171,63.8%,167,173,64.6%,2,0.7%,4
406,7844.0,5,0,0.0%,0,0,0.0%,0,0.0%,0
