,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
115,6236.0,174,119,68.4%,100,126,72.4%,7,4.0%,19
116,5012.0,521,341,65.5%,341,408,78.3%,67,12.9%,0
117,6290.0,294,153,52.0%,141,168,57.1%,15,5.1%,12
118,7628.0,18,18,100.0%,18,18,100.0%,0,0.0%,0
119,3333.0,384,349,90.9%,342,355,92.4%,6,1.6%,7
120,2515.0,74,28,37.8%,27,38,51.4%,10,13.5%,1
121,5178.0,148,39,26.4%,38,43,29.1%,4,2.7%,1
122,6122.0,60,39,65.0%,35,44,73.3%,5,8.3%,4
123,7774.0,357,197,55.2%,195,234,65.5%,37,10.4%,2
124,7510.0,130,89,68.5%,89,101,77.7%,12,9.2%,0
125,3978.0,104,79,76.0%,76,84,80.8%,5,4.8%,3
126,5136.0,60,34,56.7%,31,40,66.7%,6,10.0%,3
127,2532.0,290,191,65.9%,183,199,68.6%,8,2.8%,8
128,17.0,299,198,66.2%,198,198,66.2%,0,0.0%,0
129,1637.0,72,40,55.6%,39,50,69.4%,10,13.9%,1
130,1639.0,59,37,62.7%,37,38,64.4%,1,1.7%,0
131,1644.0,80,47,58.8%,47,47,58.8%,0,0.0%,0
132,6643.0,122,0,0.0%,0,5,4.1%,5,4.1%,0
133,5228.0,278,218,78.4%,212,234,84.2%,16,5.8%,6
134,777.0,225,180,80.0%,169,185,82.2%,5,2.2%,11
135,8087.0,71,51,71.8%,49,54,76.1%,3,4.2%,2
136,4800.0,357,277,77.6%,257,287,80.4%,10,2.8%,20
137,1998.0,189,101,53.4%,101,121,64.0%,20,10.6%,0
138,3869.0,75,50,66.7%,48,53,70.7%,3,4.0%,2
139,5096.0,536,499,93.1%,499,507,94.6%,8,1.5%,0
140,7749.0,513,478,93.2%,478,481,93.8%,3,0.6%,0
141,4098.0,97,60,61.9%,55,63,64.9%,3,3.1%,5
142,1632.0,63,27,42.9%,27,29,46.0%,2,3.2%,0
143,1654.0,225,147,65.3%,140,152,67.6%,5,2.2%,7
144,2860.0,240,202,84.2%,195,203,84.6%,1,0.4%,7
145,7624.0,51,0,0.0%,0,0,0.0%,0,0.0%,0
146,1701.0,598,502,83.9%,493,508,84.9%,6,1.0%,9
147,1529.0,102,68,66.7%,56,69,67.6%,1,1.0%,12
148,2869.0,209,176,84.2%,176,179,85.6%,3,1.4%,0
149,4553.0,426,312,73.2%,298,320,75.1%,8,1.9%,14
150,4810.0,285,211,74.0%,211,211,74.0%,0,0.0%,0
151,3425.0,178,137,77.0%,131,143,80.3%,6,3.4%,6
152,5278.0,180,97,53.9%,86,101,56.1%,4,2.2%,11
153,513.0,161,123,76.4%,123,136,84.5%,13,8.1%,0
154,7671.0,477,477,100.0%,477,477,100.0%,0,0.0%,0
155,5261.0,431,356,82.6%,349,375,87.0%,19,4.4%,7
156,4352.0,207,164,79.2%,137,164,79.2%,0,0.0%,27
157,4801.0,299,234,78.3%,234,238,79.6%,4,1.3%,0
158,2539.0,210,139,66.2%,129,141,67.1%,2,1.0%,10
159,4558.0,230,144,62.6%,134,151,65.7%,7,3.0%,10
160,7759.0,475,419,88.2%,410,420,88.4%,1,0.2%,9
161,1387.0,439,371,84.5%,368,386,87.9%,15,3.4%,3
162,7550.0,43,7,16.3%,7,9,20.9%,2,4.7%,0
163,6156.0,299,183,61.2%,163,189,63.2%,6,2.0%,20
164,2429.0,138,123,89.1%,122,124,89.9%,1,0.7%,1
165,5193.0,152,121,79.6%,116,123,80.9%,2,1.3%,5
166,6364.0,131,87,66.4%,87,94,71.8%,7,5.3%,0
167,2809.0,667,502,75.3%,500,520,78.0%,18,2.7%,2
168,1707.0,209,157,75.1%,156,160,76.6%,3,1.4%,1
169,7641.0,275,183,66.5%,183,216,78.5%,33,12.0%,0
170,6935.0,336,250,74.4%,250,269,80.1%,19,5.7%,0
171,2554.0,257,153,59.5%,138,156,60.7%,3,1.2%,15
172,2740.0,186,141,75.8%,139,141,75.8%,0,0.0%,2
173,4564.0,182,132,72.5%,126,147,80.8%,15,8.2%,6
174,3482.0,715,570,79.7%,565,586,82.0%,16,2.2%,5
175,144.0,231,185,80.1%,176,187,81.0%,2,0.9%,9
176,2562.0,314,221,70.4%,217,227,72.3%,6,1.9%,4
177,6418.0,114,65,57.0%,65,68,59.6%,3,2.6%,0
178,2675.0,140,104,74.3%,104,106,75.7%,2,1.4%,0
179,6293.0,278,181,65.1%,172,196,70.5%,15,5.4%,9
180,8104.0,12,5,41.7%,3,5,41.7%,0,0.0%,2
181,7294.0,159,69,43.4%,62,86,54.1%,17,10.7%,7
182,2026.0,145,95,65.5%,85,96,66.2%,1,0.7%,10
183,7515.0,179,175,97.8%,175,177,98.9%,2,1.1%,0
184,2027.0,235,156,66.4%,148,167,71.1%,11,4.7%,8
185,7665.0,177,151,85.3%,151,171,96.6%,20,11.3%,0
186,7897.0,97,58,59.8%,58,64,66.0%,6,6.2%,0
187,7866.0,13,10,76.9%,10,11,84.6%,1,7.7%,0
188,788.0,324,260,80.2%,256,279,86.1%,19,5.9%,4
189,6269.0,82,51,62.2%,46,54,65.9%,3,3.7%,5
190,6737.0,150,121,80.7%,121,131,87.3%,10,6.7%,0
191,2201.0,52,24,46.2%,22,24,46.2%,0,0.0%,2
192,5248.0,44,19,43.2%,19,24,54.5%,5,11.4%,0
193,1225.0,52,35,67.3%,32,36,69.2%,1,1.9%,3
194,5023.0,183,128,69.9%,126,141,77.0%,13,7.1%,2
195,2246.0,45,26,57.8%,26,26,57.8%,0,0.0%,0
196,6159.0,20,12,60.0%,10,13,65.0%,1,5.0%,2
197,6161.0,35,21,60.0%,17,21,60.0%,0,0.0%,4
198,6419.0,71,43,60.6%,43,44,62.0%,1,1.4%,0
199,1191.0,179,123,68.7%,100,133,74.3%,10,5.6%,23
200,4242.0,72,51,70.8%,51,51,70.8%,0,0.0%,0
201,2037.0,190,119,62.6%,109,131,68.9%,12,6.3%,10
202,156.0,344,310,90.1%,304,312,90.7%,2,0.6%,6
203,4106.0,156,78,50.0%,66,91,58.3%,13,8.3%,12
204,4360.0,331,307,92.7%,304,312,94.3%,5,1.5%,3
205,7666.0,244,224,91.8%,200,224,91.8%,0,0.0%,24
206,2126.0,81,44,54.3%,40,45,55.6%,1,1.2%,4
207,6563.0,153,111,72.5%,111,112,73.2%,1,0.7%,0
208,594.0,144,130,90.3%,117,130,90.3%,0,0.0%,13
209,7586.0,48,44,91.7%,44,48,100.0%,4,8.3%,0
210,6223.0,35,23,65.7%,22,24,68.6%,1,2.9%,1
211,1869.0,369,332,90.0%,332,344,93.2%,12,3.3%,0
212,170.0,350,313,89.4%,308,318,90.9%,5,1.4%,5
213,2040.0,169,131,77.5%,124,131,77.5%,0,0.0%,7
214,6271.0,257,189,73.5%,181,192,74.7%,3,1.2%,8
215,2043.0,157,93,59.2%,88,96,61.1%,3,1.9%,5
216,5219.0,61,36,59.0%,36,42,68.9%,6,9.8%,0
217,802.0,374,217,58.0%,213,221,59.1%,4,1.1%,4
218,1424.0,286,265,92.7%,265,266,93.0%,1,0.3%,0
219,1251.0,218,149,68.3%,149,150,68.8%,1,0.5%,0
220,4845.0,330,252,76.4%,235,264,80.0%,12,3.6%,17
221,5242.0,166,110,66.3%,108,117,70.5%,7,4.2%,2
222,2206.0,219,147,67.1%,143,150,68.5%,3,1.4%,4
223,4373.0,223,194,87.0%,186,200,89.7%,6,2.7%,8
224,3137.0,107,65,60.7%,61,70,65.4%,5,4.7%,4
225,6341.0,64,56,87.5%,56,57,89.1%,1,1.6%,0
226,6125.0,58,53,91.4%,49,53,91.4%,0,0.0%,4
227,3145.0,158,131,82.9%,129,139,88.0%,8,5.1%,2
228,6330.0,89,71,79.8%,68,71,79.8%,0,0.0%,3
229,808.0,186,132,71.0%,126,150,80.6%,18,9.7%,6
230,5190.0,259,239,92.3%,229,239,92.3%,0,0.0%,10
231,2891.0,145,106,73.1%,105,109,75.2%,3,2.1%,1
232,4571.0,87,53,60.9%,49,55,63.2%,2,2.3%,4
233,7948.0,139,97,69.8%,97,98,70.5%,1,0.7%,0
234,1547.0,31,11,35.5%,9,14,45.2%,3,9.7%,2
235,6333.0,237,136,57.4%,133,139,58.6%,3,1.3%,3
236,7902.0,83,78,94.0%,78,78,94.0%,0,0.0%,0
237,3272.0,430,379,88.1%,378,383,89.1%,4,0.9%,1
238,1879.0,453,318,70.2%,318,319,70.4%,1,0.2%,0
239,7348.0,803,529,65.9%,507,539,67.1%,10,1.2%,22
240,2578.0,544,420,77.2%,386,441,81.1%,21,3.9%,34
241,7747.0,5,3,60.0%,3,4,80.0%,1,20.0%,0
242,4404.0,475,412,86.7%,405,421,88.6%,9,1.9%,7
243,3150.0,150,121,80.7%,117,126,84.0%,5,3.3%,4
244,5153.0,212,117,55.2%,117,133,62.7%,16,7.5%,0
245,5207.0,293,221,75.4%,221,241,82.3%,20,6.8%,0
246,2331.0,70,54,77.1%,48,55,78.6%,1,1.4%,6
247,7723.0,74,67,90.5%,67,67,90.5%,0,0.0%,0
248,675.0,226,172,76.1%,160,174,77.0%,2,0.9%,12
249,2305.0,158,98,62.0%,91,104,65.8%,6,3.8%,7
250,7542.0,102,101,99.0%,101,102,100.0%,1,1.0%,0
251,2325.0,218,168,77.1%,159,176,80.7%,8,3.7%,9
252,1885.0,314,261,83.1%,261,287,91.4%,26,8.3%,0
253,4817.0,95,58,61.1%,47,61,64.2%,3,3.2%,11
254,6126.0,46,31,67.4%,25,31,67.4%,0,0.0%,6
255,4412.0,83,61,73.5%,61,65,78.3%,4,4.8%,0
256,5180.0,69,23,33.3%,18,25,36.2%,2,2.9%,5
257,2280.0,59,40,67.8%,35,44,74.6%,4,6.8%,5
258,8049.0,48,45,93.8%,45,45,93.8%,0,0.0%,0
259,3034.0,182,111,61.0%,110,119,65.4%,8,4.4%,1
260,1307.0,124,106,85.5%,105,109,87.9%,3,2.4%,1
261,6218.0,52,35,67.3%,28,35,67.3%,0,0.0%,7
262,2394.0,89,0,0.0%,0,0,0.0%,0,0.0%,0
263,6255.0,144,81,56.3%,56,81,56.3%,0,0.0%,25
264,2308.0,60,38,63.3%,34,42,70.0%,4,6.7%,4
265,5245.0,88,58,65.9%,58,58,65.9%,0,0.0%,0
266,1154.0,127,85,66.9%,74,100,78.7%,15,11.8%,11
267,6482.0,313,240,76.7%,240,250,79.9%,10,3.2%,0
268,1486.0,71,50,70.4%,48,53,74.6%,3,4.2%,2
269,6241.0,32,18,56.3%,16,18,56.3%,0,0.0%,2
270,7589.0,299,80,26.8%,74,84,28.1%,4,1.3%,6
271,7506.0,32,5,15.6%,4,7,21.9%,2,6.3%,1
272,5112.0,165,145,87.9%,135,147,89.1%,2,1.2%,10
273,4431.0,314,258,82.2%,236,263,83.8%,5,1.6%,22
274,816.0,153,113,73.9%,111,117,76.5%,4,2.6%,2
275,7538.0,8,4,50.0%,4,4,50.0%,0,0.0%,0
276,4528.0,93,68,73.1%,67,74,79.6%,6,6.5%,1
277,6404.0,126,106,84.1%,106,106,84.1%,0,0.0%,0
278,2924.0,154,129,83.8%,128,131,85.1%,2,1.3%,1
279,3155.0,102,69,67.6%,62,69,67.6%,0,0.0%,7
280,2607.0,256,202,78.9%,181,203,79.3%,1,0.4%,21
281,7403.0,15,4,26.7%,4,4,26.7%,0,0.0%,0
282,2596.0,541,376,69.5%,337,382,70.6%,6,1.1%,39
283,7922.0,106,60,56.6%,60,60,56.6%,0,0.0%,0
284,6600.0,228,156,68.4%,142,174,76.3%,18,7.9%,14
285,2680.0,105,75,71.4%,70,84,80.0%,9,8.6%,5
286,4940.0,104,61,58.7%,51,67,64.4%,6,5.8%,10
287,5155.0,217,125,57.6%,104,134,61.8%,9,4.1%,21
288,7923.0,56,44,78.6%,41,47,83.9%,3,5.4%,3
289,7681.0,30,29,96.7%,29,29,96.7%,0,0.0%,0
290,7634.0,110,104,94.5%,104,106,96.4%,2,1.8%,0
291,1315.0,144,100,69.4%,92,102,70.8%,2,1.4%,8
292,4807.0,201,98,48.8%,90,117,58.2%,19,9.5%,8
293,4085.0,146,122,83.6%,121,124,84.9%,2,1.4%,1
294,4442.0,128,86,67.2%,82,97,75.8%,11,8.6%,4
295,7859.0,136,112,82.4%,105,116,85.3%,4,2.9%,7
296,3532.0,72,49,68.1%,48,53,73.6%,4,5.6%,1
297,14.0,154,100,64.9%,91,106,68.8%,6,3.9%,9
298,1776.0,282,213,75.5%,198,216,76.6%,3,1.1%,15
299,7844.0,3,0,0.0%,0,1,33.3%,1,33.3%,0
300,3296.0,211,204,96.7%,203,204,96.7%,0,0.0%,1
301,3295.0,359,335,93.3%,335,336,93.6%,1,0.3%,0
302,4960.0,163,160,98.2%,159,160,98.2%,0,0.0%,1
303,4828.0,99,78,78.8%,78,78,78.8%,0,0.0%,0
304,7012.0,74,58,78.4%,54,64,86.5%,6,8.1%,4
305,2618.0,190,160,84.2%,158,164,86.3%,4,2.1%,2
306,2623.0,430,330,76.7%,320,332,77.2%,2,0.5%,10
307,7672.0,85,62,72.9%,62,76,89.4%,14,16.5%,0
308,2339.0,119,77,64.7%,69,84,70.6%,7,5.9%,8
309,7777.0,55,55,100.0%,55,55,100.0%,0,0.0%,0
310,1902.0,297,248,83.5%,247,253,85.2%,5,1.7%,1
311,1159.0,267,243,91.0%,238,248,92.9%,5,1.9%,5
312,7574.0,96,83,86.5%,83,87,90.6%,4,4.2%,0
313,7678.0,81,78,96.3%,76,80,98.8%,2,2.5%,2
314,7909.0,91,90,98.9%,90,90,98.9%,0,0.0%,0
315,7910.0,81,76,93.8%,70,80,98.8%,4,4.9%,6
316,7582.0,78,78,100.0%,74,78,100.0%,0,0.0%,4
317,4249.0,167,119,71.3%,93,121,72.5%,2,1.2%,26
318,6105.0,254,183,72.0%,172,195,76.8%,12,4.7%,11
319,5098.0,281,242,86.1%,238,243,86.5%,1,0.4%,4
320,3158.0,97,58,59.8%,58,64,66.0%,6,6.2%,0
321,3305.0,451,404,89.6%,402,407,90.2%,3,0.7%,2
322,3994.0,70,38,54.3%,34,43,61.4%,5,7.1%,4
323,7890.0,126,73,57.9%,70,73,57.9%,0,0.0%,3
324,1790.0,170,131,77.1%,118,136,80.0%,5,2.9%,13
325,3962.0,174,106,60.9%,106,106,60.9%,0,0.0%,0
326,7170.0,235,133,56.6%,115,146,62.1%,13,5.5%,18
327,6887.0,152,86,56.6%,71,90,59.2%,4,2.6%,15
328,4091.0,175,111,63.4%,110,115,65.7%,4,2.3%,1
329,8071.0,555,413,74.4%,402,424,76.4%,11,2.0%,11
330,7995.0,29,11,37.9%,10,11,37.9%,0,0.0%,1
331,7471.0,10,2,20.0%,2,2,20.0%,0,0.0%,0
332,1794.0,55,37,67.3%,35,42,76.4%,5,9.1%,2
333,1623.0,48,35,72.9%,35,35,72.9%,0,0.0%,0
334,3541.0,167,105,62.9%,92,106,63.5%,1,0.6%,13
335,6583.0,100,72,72.0%,58,74,74.0%,2,2.0%,14
336,2686.0,137,97,70.8%,92,102,74.5%,5,3.6%,5
337,6181.0,63,50,79.4%,50,50,79.4%,0,0.0%,0
338,1164.0,121,77,63.6%,70,84,69.4%,7,5.8%,7
339,3040.0,66,48,72.7%,35,48,72.7%,0,0.0%,13
340,5017.0,234,211,90.2%,206,218,93.2%,7,3.0%,5
341,3045.0,158,109,69.0%,108,114,72.2%,5,3.2%,1
342,4044.0,148,101,68.2%,100,108,73.0%,7,4.7%,1
343,4951.0,272,254,93.4%,242,256,94.1%,2,0.7%,12
344,8114.0,57,48,84.2%,48,50,87.7%,2,3.5%,0
345,1550.0,66,34,51.5%,31,36,54.5%,2,3.0%,3
346,6936.0,129,68,52.7%,62,70,54.3%,2,1.6%,6
347,4458.0,167,125,74.9%,116,128,76.6%,3,1.8%,9
348,7944.0,102,53,52.0%,43,57,55.9%,4,3.9%,10
349,4049.0,100,73,73.0%,70,77,77.0%,4,4.0%,3
350,254.0,408,387,94.9%,387,392,96.1%,5,1.2%,0
351,6610.0,279,207,74.2%,185,210,75.3%,3,1.1%,22
352,7546.0,38,38,100.0%,38,38,100.0%,0,0.0%,0
353,3048.0,76,47,61.8%,45,47,61.8%,0,0.0%,2
354,3495.0,378,319,84.4%,318,322,85.2%,3,0.8%,1
355,6455.0,721,594,82.4%,592,641,88.9%,47,6.5%,2
356,2689.0,93,81,87.1%,79,84,90.3%,3,3.2%,2
357,695.0,121,99,81.8%,84,102,84.3%,3,2.5%,15
358,2704.0,196,129,65.8%,120,130,66.3%,1,0.5%,9
359,7762.0,40,9,22.5%,6,15,37.5%,6,15.0%,3
360,7942.0,31,26,83.9%,20,26,83.9%,0,0.0%,6
361,1084.0,124,118,95.2%,118,119,96.0%,1,0.8%,0
362,4469.0,131,106,80.9%,96,109,83.2%,3,2.3%,10
363,7829.0,81,77,95.1%,74,77,95.1%,0,0.0%,3
364,7930.0,79,50,63.3%,40,50,63.3%,0,0.0%,10
365,3321.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
366,6729.0,360,291,80.8%,268,291,80.8%,0,0.0%,23
367,6998.0,28,16,57.1%,15,18,64.3%,2,7.1%,1
368,6793.0,603,575,95.4%,568,577,95.7%,2,0.3%,7
369,1489.0,60,44,73.3%,44,44,73.3%,0,0.0%,0
370,6145.0,140,105,75.0%,103,107,76.4%,2,1.4%,2
371,7101.0,352,293,83.2%,292,301,85.5%,8,2.3%,1
372,4958.0,246,0,0.0%,0,0,0.0%,0,0.0%,0
373,5345.0,983,879,89.4%,866,887,90.2%,8,0.8%,13
374,2446.0,258,197,76.4%,187,205,79.5%,8,3.1%,10
375,3883.0,159,126,79.2%,101,126,79.2%,0,0.0%,25
376,3988.0,104,58,55.8%,42,62,59.6%,4,3.8%,16
377,3505.0,472,394,83.5%,372,394,83.5%,0,0.0%,22
378,964.0,58,36,62.1%,36,37,63.8%,1,1.7%,0
379,4577.0,205,144,70.2%,128,159,77.6%,15,7.3%,16
380,747.0,84,50,59.5%,43,59,70.2%,9,10.7%,7
381,6201.0,96,67,69.8%,62,70,72.9%,3,3.1%,5
382,2760.0,205,151,73.7%,123,156,76.1%,5,2.4%,28
383,2818.0,159,128,80.5%,126,130,81.8%,2,1.3%,2
384,3875.0,39,17,43.6%,17,19,48.7%,2,5.1%,0
385,4058.0,57,38,66.7%,36,43,75.4%,5,8.8%,2
386,6372.0,47,23,48.9%,23,25,53.2%,2,4.3%,0
387,6373.0,70,40,57.1%,39,45,64.3%,5,7.1%,1
388,6345.0,266,200,75.2%,184,205,77.1%,5,1.9%,16
389,53.0,99,75,75.8%,64,83,83.8%,8,8.1%,11
390,7562.0,33,33,100.0%,33,33,100.0%,0,0.0%,0
391,2958.0,78,63,80.8%,63,64,82.1%,1,1.3%,0
392,6745.0,133,77,57.9%,61,97,72.9%,20,15.0%,16
393,2821.0,174,143,82.2%,134,145,83.3%,2,1.1%,9
394,4717.0,424,362,85.4%,345,362,85.4%,0,0.0%,17
395,1414.0,202,140,69.3%,123,153,75.7%,13,6.4%,17
396,4931.0,171,99,57.9%,90,104,60.8%,5,2.9%,9
397,2449.0,84,70,83.3%,70,78,92.9%,8,9.5%,0
398,6318.0,155,116,74.8%,112,120,77.4%,4,2.6%,4
399,3877.0,56,28,50.0%,28,32,57.1%,4,7.1%,0
400,3107.0,55,32,58.2%,26,35,63.6%,3,5.5%,6
401,1406.0,357,315,88.2%,314,325,91.0%,10,2.8%,1
402,1420.0,270,199,73.7%,184,201,74.4%,2,0.7%,15
403,7690.0,78,54,69.2%,45,54,69.2%,0,0.0%,9
404,1094.0,152,111,73.0%,110,111,73.0%,0,0.0%,1
405,4734.0,119,91,76.5%,89,96,80.7%,5,4.2%,2
406,2766.0,222,155,69.8%,147,156,70.3%,1,0.5%,8
