,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
91,5112.0,126,94,74.60%,93,73.81%,97,76.98%,3,2.38%,1,0.79%
92,,126,94,74.60%,93,73.81%,97,76.98%,3,2.38%,1,0.79%
93,6105.0,192,113,58.85%,111,57.81%,119,61.98%,6,3.13%,2,1.04%
94,,192,113,58.85%,111,57.81%,119,61.98%,6,3.13%,2,1.04%
95,5017.0,217,147,67.74%,146,67.28%,150,69.12%,3,1.38%,1,0.46%
96,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
97,,218,147,67.43%,146,66.97%,150,68.81%,3,1.38%,1,0.46%
98,4951.0,280,220,78.57%,220,78.57%,232,82.86%,12,4.29%,0,0.00%
99,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
100,,283,220,77.74%,220,77.74%,232,81.98%,12,4.24%,0,0.00%
101,254.0,410,388,94.63%,387,94.39%,389,94.88%,1,0.24%,1,0.24%
102,,410,388,94.63%,387,94.39%,389,94.88%,1,0.24%,1,0.24%
103,8305.0,635,577,90.87%,577,90.87%,579,91.18%,2,0.31%,0,0.00%
104,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
105,,641,577,90.02%,577,90.02%,579,90.33%,2,0.31%,0,0.00%
106,53.0,50,30,60.00%,30,60.00%,31,62.00%,1,2.00%,0,0.00%
107,9999.0,3,1,33.33%,1,33.33%,1,33.33%,0,0.00%,0,0.00%
108,,53,31,58.49%,31,58.49%,32,60.38%,1,1.89%,0,0.00%
109,7101.0,314,232,73.89%,228,72.61%,244,77.71%,12,3.82%,4,1.27%
110,,314,232,73.89%,228,72.61%,244,77.71%,12,3.82%,4,1.27%
111,309.0,269,73,27.14%,72,26.77%,76,28.25%,3,1.12%,1,0.37%
112,,269,73,27.14%,72,26.77%,76,28.25%,3,1.12%,1,0.37%
113,435.0,287,197,68.64%,186,64.81%,212,73.87%,15,5.23%,11,3.83%
114,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
115,,289,197,68.17%,186,64.36%,212,73.36%,15,5.19%,11,3.81%
116,448.0,156,117,75.00%,116,74.36%,118,75.64%,1,0.64%,1,0.64%
117,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
118,,159,117,73.58%,116,72.96%,118,74.21%,1,0.63%,1,0.63%
119,6928.0,55,44,80.00%,44,80.00%,44,80.00%,0,0.00%,0,0.00%
120,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
121,,59,44,74.58%,44,74.58%,44,74.58%,0,0.00%,0,0.00%
122,460.0,284,205,72.18%,197,69.37%,210,73.94%,5,1.76%,8,2.82%
123,9999.0,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
124,,292,205,70.21%,197,67.47%,210,71.92%,5,1.71%,8,2.74%
125,8392.0,52,29,55.77%,24,46.15%,29,55.77%,0,0.00%,5,9.62%
126,,52,29,55.77%,24,46.15%,29,55.77%,0,0.00%,5,9.62%
127,8459.0,103,51,49.51%,49,47.57%,51,49.51%,0,0.00%,2,1.94%
128,9999.0,2,1,50.00%,1,50.00%,1,50.00%,0,0.00%,0,0.00%
129,,105,52,49.52%,50,47.62%,52,49.52%,0,0.00%,2,1.90%
130,470.0,254,224,88.19%,224,88.19%,233,91.73%,9,3.54%,0,0.00%
131,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
132,,257,224,87.16%,224,87.16%,233,90.66%,9,3.50%,0,0.00%
133,467.0,141,87,61.70%,86,60.99%,87,61.70%,0,0.00%,1,0.71%
134,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
135,,144,87,60.42%,86,59.72%,87,60.42%,0,0.00%,1,0.69%
136,196.0,90,35,38.89%,35,38.89%,36,40.00%,1,1.11%,0,0.00%
137,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
138,,92,35,38.04%,35,38.04%,36,39.13%,1,1.09%,0,0.00%
139,477.0,66,33,50.00%,29,43.94%,33,50.00%,0,0.00%,4,6.06%
140,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
141,,67,33,49.25%,29,43.28%,33,49.25%,0,0.00%,4,5.97%
142,492.0,376,342,90.96%,342,90.96%,352,93.62%,10,2.66%,0,0.00%
143,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
144,,379,342,90.24%,342,90.24%,352,92.88%,10,2.64%,0,0.00%
145,509.0,251,204,81.27%,197,78.49%,204,81.27%,0,0.00%,7,2.79%
146,,251,204,81.27%,197,78.49%,204,81.27%,0,0.00%,7,2.79%
147,523.0,218,156,71.56%,153,70.18%,157,72.02%,1,0.46%,3,1.38%
148,9999.0,3,2,66.67%,2,66.67%,2,66.67%,0,0.00%,0,0.00%
149,,221,158,71.49%,155,70.14%,159,71.95%,1,0.45%,3,1.36%
150,536.0,220,134,60.91%,131,59.55%,139,63.18%,5,2.27%,3,1.36%
151,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
152,,226,134,59.29%,131,57.96%,139,61.50%,5,2.21%,3,1.33%
153,9999.0,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
154,,14,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
155,107.0,221,134,60.63%,134,60.63%,151,68.33%,17,7.69%,0,0.00%
156,9999.0,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
157,,229,134,58.52%,134,58.52%,151,65.94%,17,7.42%,0,0.00%
158,7821.0,69,37,53.62%,36,52.17%,39,56.52%,2,2.90%,1,1.45%
159,,69,37,53.62%,36,52.17%,39,56.52%,2,2.90%,1,1.45%
160,8129.0,59,37,62.71%,34,57.63%,46,77.97%,9,15.25%,3,5.08%
161,9999.0,2,0,0.00%,0,0.00%,2,100.00%,2,100.00%,0,0.00%
162,,61,37,60.66%,34,55.74%,48,78.69%,11,18.03%,3,4.92%
163,,"10,212","6,860",67.18%,"6,738",65.98%,"7,071",69.24%,211,2.07%,122,1.19%
164,2320.0,70,42,60.00%,40,57.14%,44,62.86%,2,2.86%,2,2.86%
165,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
166,,74,42,56.76%,40,54.05%,44,59.46%,2,2.70%,2,2.70%
167,7640.0,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
168,8342.0,202,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
169,9999.0,40,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
170,,307,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
171,594.0,142,117,82.39%,107,75.35%,120,84.51%,3,2.11%,10,7.04%
172,9999.0,5,1,20.00%,0,0.00%,2,40.00%,1,20.00%,1,20.00%
173,,147,118,80.27%,107,72.79%,122,82.99%,4,2.72%,11,7.48%
174,7923.0,31,15,48.39%,14,45.16%,18,58.06%,3,9.68%,1,3.23%
175,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
176,,33,15,45.45%,14,42.42%,18,54.55%,3,9.09%,1,3.03%
177,4807.0,160,58,36.25%,58,36.25%,64,40.00%,6,3.75%,0,0.00%
178,,160,58,36.25%,58,36.25%,64,40.00%,6,3.75%,0,0.00%
179,,721,233,32.32%,219,30.37%,248,34.40%,15,2.08%,14,1.94%
180,7859.0,143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
181,,143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
182,8086.0,61,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
183,,61,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
184,6555.0,182,123,67.58%,116,63.74%,126,69.23%,3,1.65%,7,3.85%
185,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
186,,183,123,67.21%,116,63.39%,126,68.85%,3,1.64%,7,3.83%
187,640.0,162,105,64.81%,103,63.58%,108,66.67%,3,1.85%,2,1.23%
188,,162,105,64.81%,103,63.58%,108,66.67%,3,1.85%,2,1.23%
189,649.0,113,51,45.13%,51,45.13%,59,52.21%,8,7.08%,0,0.00%
190,,113,51,45.13%,51,45.13%,59,52.21%,8,7.08%,0,0.00%
191,6707.0,180,130,72.22%,123,68.33%,135,75.00%,5,2.78%,7,3.89%
192,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
193,,181,130,71.82%,123,67.96%,135,74.59%,5,2.76%,7,3.87%
194,8044.0,139,106,76.26%,102,73.38%,106,76.26%,0,0.00%,4,2.88%
195,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
196,,140,106,75.71%,102,72.86%,106,75.71%,0,0.00%,4,2.86%
197,6563.0,92,55,59.78%,55,59.78%,66,71.74%,11,11.96%,0,0.00%
198,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
199,,95,55,57.89%,55,57.89%,66,69.47%,11,11.58%,0,0.00%
200,7650.0,"1,148",463,40.33%,399,34.76%,484,42.16%,21,1.83%,64,5.57%
201,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
202,,"1,149",463,40.30%,399,34.73%,484,42.12%,21,1.83%,64,5.57%
203,675.0,149,97,65.10%,91,61.07%,100,67.11%,3,2.01%,6,4.03%
204,,149,97,65.10%,91,61.07%,100,67.11%,3,2.01%,6,4.03%
205,695.0,83,44,53.01%,44,53.01%,46,55.42%,2,2.41%,0,0.00%
206,,83,44,53.01%,44,53.01%,46,55.42%,2,2.41%,0,0.00%
207,700.0,101,67,66.34%,65,64.36%,67,66.34%,0,0.00%,2,1.98%
208,,101,67,66.34%,65,64.36%,67,66.34%,0,0.00%,2,1.98%
209,8000.0,51,27,52.94%,26,50.98%,27,52.94%,0,0.00%,1,1.96%
210,,51,27,52.94%,26,50.98%,27,52.94%,0,0.00%,1,1.96%
211,714.0,71,46,64.79%,46,64.79%,46,64.79%,0,0.00%,0,0.00%
212,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
213,,73,46,63.01%,46,63.01%,46,63.01%,0,0.00%,0,0.00%
214,719.0,51,22,43.14%,22,43.14%,25,49.02%,3,5.88%,0,0.00%
215,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
216,,53,22,41.51%,22,41.51%,25,47.17%,3,5.66%,0,0.00%
217,,"2,737","1,336",48.81%,"1,243",45.41%,"1,395",50.97%,59,2.16%,93,3.40%
218,726.0,141,71,50.35%,65,46.10%,72,51.06%,1,0.71%,6,4.26%
219,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
220,,142,71,50.00%,65,45.77%,72,50.70%,1,0.70%,6,4.23%
221,732.0,98,49,50.00%,45,45.92%,49,50.00%,0,0.00%,4,4.08%
222,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
223,,99,49,49.49%,45,45.45%,49,49.49%,0,0.00%,4,4.04%
224,7897.0,92,40,43.48%,40,43.48%,47,51.09%,7,7.61%,0,0.00%
225,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
226,,93,40,43.01%,40,43.01%,47,50.54%,7,7.53%,0,0.00%
227,8436.0,67,33,49.25%,28,41.79%,33,49.25%,0,0.00%,5,7.46%
228,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
229,,69,33,47.83%,28,40.58%,33,47.83%,0,0.00%,5,7.25%
230,8154.0,19,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
231,,19,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
232,753.0,61,29,47.54%,28,45.90%,31,50.82%,2,3.28%,1,1.64%
233,,61,29,47.54%,28,45.90%,31,50.82%,2,3.28%,1,1.64%
234,,483,222,45.96%,206,42.65%,232,48.03%,10,2.07%,16,3.31%
235,820.0,50,20,40.00%,20,40.00%,23,46.00%,3,6.00%,0,0.00%
236,9999.0,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
237,,54,21,38.89%,21,38.89%,24,44.44%,3,5.56%,0,0.00%
238,6306.0,525,335,63.81%,334,63.62%,341,64.95%,6,1.14%,1,0.19%
239,9999.0,8,2,25.00%,2,25.00%,2,25.00%,0,0.00%,0,0.00%
240,,533,337,63.23%,336,63.04%,343,64.35%,6,1.13%,1,0.19%
241,6308.0,99,58,58.59%,55,55.56%,58,58.59%,0,0.00%,3,3.03%
242,,99,58,58.59%,55,55.56%,58,58.59%,0,0.00%,3,3.03%
243,777.0,196,132,67.35%,120,61.22%,137,69.90%,5,2.55%,12,6.12%
244,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
245,,200,132,66.00%,120,60.00%,137,68.50%,5,2.50%,12,6.00%
246,4810.0,251,165,65.74%,165,65.74%,167,66.53%,2,0.80%,0,0.00%
247,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
248,,255,165,64.71%,165,64.71%,167,65.49%,2,0.78%,0,0.00%
249,788.0,327,194,59.33%,191,58.41%,203,62.08%,9,2.75%,3,0.92%
250,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
251,,328,194,59.15%,191,58.23%,203,61.89%,9,2.74%,3,0.91%
252,5023.0,193,119,61.66%,118,61.14%,126,65.28%,7,3.63%,1,0.52%
253,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
254,,194,119,61.34%,118,60.82%,126,64.95%,7,3.61%,1,0.52%
255,802.0,354,205,57.91%,205,57.91%,208,58.76%,3,0.85%,0,0.00%
256,,354,205,57.91%,205,57.91%,208,58.76%,3,0.85%,0,0.00%
257,808.0,149,81,54.36%,76,51.01%,81,54.36%,0,0.00%,5,3.36%
258,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
259,,152,81,53.29%,76,50.00%,81,53.29%,0,0.00%,5,3.29%
260,816.0,96,59,61.46%,59,61.46%,59,61.46%,0,0.00%,0,0.00%
261,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
262,,97,59,60.82%,59,60.82%,59,60.82%,0,0.00%,0,0.00%
263,6610.0,301,193,64.12%,181,60.13%,202,67.11%,9,2.99%,12,3.99%
264,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
265,,304,193,63.49%,181,59.54%,202,66.45%,9,2.96%,12,3.95%
266,6318.0,135,93,68.89%,92,68.15%,93,68.89%,0,0.00%,1,0.74%
267,9999.0,3,1,33.33%,0,0.00%,2,66.67%,1,33.33%,1,33.33%
268,,138,94,68.12%,92,66.67%,95,68.84%,1,0.72%,2,1.45%
269,8116.0,920,255,27.72%,254,27.61%,272,29.57%,17,1.85%,1,0.11%
270,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
271,,926,255,27.54%,254,27.43%,272,29.37%,17,1.84%,1,0.11%
272,864.0,130,91,70.00%,89,68.46%,95,73.08%,4,3.08%,2,1.54%
273,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
274,,132,91,68.94%,89,67.42%,95,71.97%,4,3.03%,2,1.52%
275,4670.0,101,37,36.63%,37,36.63%,39,38.61%,2,1.98%,0,0.00%
276,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
277,,102,37,36.27%,37,36.27%,39,38.24%,2,1.96%,0,0.00%
278,873.0,238,184,77.31%,172,72.27%,187,78.57%,3,1.26%,12,5.04%
279,9999.0,13,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
280,,251,184,73.31%,172,68.53%,187,74.50%,3,1.20%,12,4.78%
281,6980.0,518,274,52.90%,274,52.90%,282,54.44%,8,1.54%,0,0.00%
282,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
283,,522,274,52.49%,274,52.49%,282,54.02%,8,1.53%,0,0.00%
284,887.0,161,116,72.05%,116,72.05%,123,76.40%,7,4.35%,0,0.00%
285,9999.0,3,2,66.67%,2,66.67%,2,66.67%,0,0.00%,0,0.00%
286,,164,118,71.95%,118,71.95%,125,76.22%,7,4.27%,0,0.00%
287,,"4,805","2,617",54.46%,"2,563",53.34%,"2,703",56.25%,86,1.79%,54,1.12%
288,7720.0,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
289,,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
290,913.0,502,261,51.99%,247,49.20%,300,59.76%,39,7.77%,14,2.79%
291,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
292,,503,261,51.89%,247,49.11%,300,59.64%,39,7.75%,14,2.78%
293,917.0,95,68,71.58%,68,71.58%,68,71.58%,0,0.00%,0,0.00%
294,,95,68,71.58%,68,71.58%,68,71.58%,0,0.00%,0,0.00%
295,921.0,76,33,43.42%,28,36.84%,37,48.68%,4,5.26%,5,6.58%
296,,76,33,43.42%,28,36.84%,37,48.68%,4,5.26%,5,6.58%
297,5207.0,264,140,53.03%,137,51.89%,162,61.36%,22,8.33%,3,1.14%
298,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
299,,265,140,52.83%,137,51.70%,162,61.13%,22,8.30%,3,1.13%
300,941.0,114,66,57.89%,63,55.26%,69,60.53%,3,2.63%,3,2.63%
301,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
302,,115,66,57.39%,63,54.78%,69,60.00%,3,2.61%,3,2.61%
303,949.0,132,82,62.12%,81,61.36%,87,65.91%,5,3.79%,1,0.76%
304,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
305,,133,82,61.65%,81,60.90%,87,65.41%,5,3.76%,1,0.75%
306,951.0,43,19,44.19%,19,44.19%,19,44.19%,0,0.00%,0,0.00%
307,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
308,,44,19,43.18%,19,43.18%,19,43.18%,0,0.00%,0,0.00%
309,,"1,242",669,53.86%,643,51.77%,742,59.74%,73,5.88%,26,2.09%
310,958.0,144,77,53.47%,76,52.78%,83,57.64%,6,4.17%,1,0.69%
311,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
312,,145,77,53.10%,76,52.41%,83,57.24%,6,4.14%,1,0.69%
313,988.0,65,31,47.69%,31,47.69%,33,50.77%,2,3.08%,0,0.00%
314,,65,31,47.69%,31,47.69%,33,50.77%,2,3.08%,0,0.00%
315,964.0,45,25,55.56%,23,51.11%,25,55.56%,0,0.00%,2,4.44%
316,,45,25,55.56%,23,51.11%,25,55.56%,0,0.00%,2,4.44%
317,965.0,71,44,61.97%,44,61.97%,45,63.38%,1,1.41%,0,0.00%
318,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
319,,73,44,60.27%,44,60.27%,45,61.64%,1,1.37%,0,0.00%
320,5208.0,103,52,50.49%,46,44.66%,56,54.37%,4,3.88%,6,5.83%
321,,103,52,50.49%,46,44.66%,56,54.37%,4,3.88%,6,5.83%
322,1000.0,93,53,56.99%,53,56.99%,57,61.29%,4,4.30%,0,0.00%
323,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
