,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution,specialized associate degree granting institution %
69,8305.0,641,575,89.70%,570,88.92%,576,89.86%,1,0.16%,5,0.78%
70,53.0,61,44,72.13%,44,72.13%,47,77.05%,3,4.92%,0,0.00%
71,7101.0,348,277,79.60%,271,77.87%,297,85.34%,20,5.75%,6,1.72%
72,309.0,293,233,79.52%,229,78.16%,242,82.59%,9,3.07%,4,1.37%
73,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
74,435.0,300,231,77.00%,226,75.33%,241,80.33%,10,3.33%,5,1.67%
75,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
76,448.0,151,128,84.77%,126,83.44%,128,84.77%,0,0.00%,2,1.32%
77,9999.0,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%
78,6928.0,62,55,88.71%,55,88.71%,56,90.32%,1,1.61%,0,0.00%
79,460.0,375,271,72.27%,271,72.27%,294,78.40%,23,6.13%,0,0.00%
80,9999.0,7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
81,8392.0,5,1,20.00%,1,20.00%,2,40.00%,1,20.00%,0,0.00%
82,440.0,110,65,59.09%,60,54.55%,68,61.82%,3,2.73%,5,4.55%
83,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
84,470.0,189,170,89.95%,170,89.95%,170,89.95%,0,0.00%,0,0.00%
85,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
86,467.0,171,167,97.66%,167,97.66%,167,97.66%,0,0.00%,0,0.00%
87,9999.0,3,1,33.33%,1,33.33%,2,66.67%,1,33.33%,0,0.00%
88,196.0,114,70,61.40%,66,57.89%,76,66.67%,6,5.26%,4,3.51%
89,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
90,477.0,64,45,70.31%,44,68.75%,45,70.31%,0,0.00%,1,1.56%
91,9999.0,5,1,20.00%,0,0.00%,1,20.00%,0,0.00%,1,20.00%
92,492.0,336,311,92.56%,311,92.56%,311,92.56%,0,0.00%,0,0.00%
93,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
94,509.0,255,223,87.45%,220,86.27%,225,88.24%,2,0.78%,3,1.18%
95,523.0,206,173,83.98%,171,83.01%,174,84.47%,1,0.49%,2,0.97%
96,536.0,246,186,75.61%,174,70.73%,189,76.83%,3,1.22%,12,4.88%
97,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
98,107.0,255,188,73.73%,182,71.37%,197,77.25%,9,3.53%,6,2.35%
99,9999.0,7,1,14.29%,1,14.29%,4,57.14%,3,42.86%,0,0.00%
100,7821.0,93,56,60.22%,52,55.91%,60,64.52%,4,4.30%,4,4.30%
101,8129.0,50,44,88.00%,38,76.00%,45,90.00%,1,2.00%,6,12.00%
102,2320.0,67,39,58.21%,38,56.72%,41,61.19%,2,2.99%,1,1.49%
103,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
104,7640.0,66,39,59.09%,38,57.58%,40,60.61%,1,1.52%,1,1.52%
105,8342.0,220,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
106,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
107,594.0,160,133,83.13%,126,78.75%,134,83.75%,1,0.63%,7,4.38%
108,7923.0,55,34,61.82%,34,61.82%,38,69.09%,4,7.27%,0,0.00%
109,4807.0,166,71,42.77%,64,38.55%,83,50.00%,12,7.23%,7,4.22%
110,7859.0,129,108,83.72%,108,83.72%,111,86.05%,3,2.33%,0,0.00%
111,8086.0,57,33,57.89%,24,42.11%,34,59.65%,1,1.75%,9,15.79%
112,6555.0,164,114,69.51%,102,62.20%,123,75.00%,9,5.49%,12,7.32%
113,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
114,640.0,169,136,80.47%,131,77.51%,138,81.66%,2,1.18%,5,2.96%
115,649.0,81,40,49.38%,39,48.15%,45,55.56%,5,6.17%,1,1.23%
116,6707.0,207,177,85.51%,170,82.13%,181,87.44%,4,1.93%,7,3.38%
117,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
118,8044.0,160,113,70.63%,112,70.00%,113,70.63%,0,0.00%,1,0.63%
119,6563.0,110,61,55.45%,51,46.36%,69,62.73%,8,7.27%,10,9.09%
120,7650.0,"1,294",686,53.01%,576,44.51%,712,55.02%,26,2.01%,110,8.50%
121,675.0,153,112,73.20%,108,70.59%,117,76.47%,5,3.27%,4,2.61%
122,695.0,105,59,56.19%,56,53.33%,60,57.14%,1,0.95%,3,2.86%
123,9999.0,1,0,0.00%,0,0.00%,1,100.00%,1,100.00%,0,0.00%
124,700.0,102,68,66.67%,66,64.71%,68,66.67%,0,0.00%,2,1.96%
125,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
126,8000.0,52,28,53.85%,27,51.92%,33,63.46%,5,9.62%,1,1.92%
127,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
128,714.0,89,66,74.16%,65,73.03%,66,74.16%,0,0.00%,1,1.12%
129,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
130,719.0,56,32,57.14%,29,51.79%,34,60.71%,2,3.57%,3,5.36%
131,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
132,726.0,146,74,50.68%,73,50.00%,80,54.79%,6,4.11%,1,0.68%
133,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
134,732.0,114,66,57.89%,60,52.63%,78,68.42%,12,10.53%,6,5.26%
135,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
136,7897.0,98,53,54.08%,53,54.08%,55,56.12%,2,2.04%,0,0.00%
137,747.0,79,35,44.30%,33,41.77%,36,45.57%,1,1.27%,2,2.53%
138,8154.0,34,15,44.12%,14,41.18%,16,47.06%,1,2.94%,1,2.94%
139,753.0,74,37,50.00%,32,43.24%,37,50.00%,0,0.00%,5,6.76%
140,8155.0,71,32,45.07%,32,45.07%,39,54.93%,7,9.86%,0,0.00%
141,820.0,81,65,80.25%,65,80.25%,66,81.48%,1,1.23%,0,0.00%
142,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
143,6306.0,522,385,73.75%,376,72.03%,389,74.52%,4,0.77%,9,1.72%
144,9999.0,19,3,15.79%,2,10.53%,4,21.05%,1,5.26%,1,5.26%
145,6308.0,113,75,66.37%,72,63.72%,75,66.37%,0,0.00%,3,2.65%
146,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
147,777.0,242,174,71.90%,165,68.18%,181,74.79%,7,2.89%,9,3.72%
148,9999.0,2,1,50.00%,0,0.00%,1,50.00%,0,0.00%,1,50.00%
149,4810.0,287,219,76.31%,219,76.31%,224,78.05%,5,1.74%,0,0.00%
150,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
151,788.0,327,233,71.25%,231,70.64%,241,73.70%,8,2.45%,2,0.61%
152,9999.0,6,2,33.33%,2,33.33%,2,33.33%,0,0.00%,0,0.00%
153,5023.0,193,129,66.84%,121,62.69%,130,67.36%,1,0.52%,8,4.15%
154,802.0,327,230,70.34%,225,68.81%,236,72.17%,6,1.83%,5,1.53%
155,808.0,169,102,60.36%,92,54.44%,102,60.36%,0,0.00%,10,5.92%
156,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
157,816.0,113,77,68.14%,77,68.14%,87,76.99%,10,8.85%,0,0.00%
158,6610.0,265,179,67.55%,173,65.28%,179,67.55%,0,0.00%,6,2.26%
159,6318.0,135,101,74.81%,101,74.81%,111,82.22%,10,7.41%,0,0.00%
160,9999.0,8,2,25.00%,2,25.00%,3,37.50%,1,12.50%,0,0.00%
161,8116.0,795,478,60.13%,442,55.60%,483,60.75%,5,0.63%,36,4.53%
162,9999.0,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
163,864.0,144,110,76.39%,105,72.92%,114,79.17%,4,2.78%,5,3.47%
164,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
165,4670.0,111,58,52.25%,58,52.25%,62,55.86%,4,3.60%,0,0.00%
166,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
167,873.0,266,191,71.80%,180,67.67%,195,73.31%,4,1.50%,11,4.14%
168,9999.0,17,4,23.53%,4,23.53%,6,35.29%,2,11.76%,0,0.00%
169,6980.0,489,290,59.30%,290,59.30%,294,60.12%,4,0.82%,0,0.00%
170,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
171,887.0,166,134,80.72%,133,80.12%,136,81.93%,2,1.20%,1,0.60%
172,9999.0,5,1,20.00%,1,20.00%,1,20.00%,0,0.00%,0,0.00%
173,7720.0,16,4,25.00%,3,18.75%,4,25.00%,0,0.00%,1,6.25%
174,913.0,533,302,56.66%,294,55.16%,336,63.04%,34,6.38%,8,1.50%
175,7425.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
176,917.0,85,58,68.24%,58,68.24%,58,68.24%,0,0.00%,0,0.00%
177,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
178,921.0,53,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
179,5207.0,263,172,65.40%,168,63.88%,178,67.68%,6,2.28%,4,1.52%
180,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
181,941.0,138,88,63.77%,84,60.87%,92,66.67%,4,2.90%,4,2.90%
182,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
183,949.0,131,83,63.36%,79,60.31%,88,67.18%,5,3.82%,4,3.05%
184,951.0,29,13,44.83%,10,34.48%,15,51.72%,2,6.90%,3,10.34%
185,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
186,958.0,151,80,52.98%,77,50.99%,82,54.30%,2,1.32%,3,1.99%
187,988.0,69,40,57.97%,40,57.97%,40,57.97%,0,0.00%,0,0.00%
188,964.0,75,37,49.33%,34,45.33%,41,54.67%,4,5.33%,3,4.00%
189,965.0,62,36,58.06%,36,58.06%,42,67.74%,6,9.68%,0,0.00%
190,5208.0,111,72,64.86%,68,61.26%,78,70.27%,6,5.41%,4,3.60%
191,1000.0,97,57,58.76%,57,58.76%,60,61.86%,3,3.09%,0,0.00%
192,1005.0,88,50,56.82%,49,55.68%,50,56.82%,0,0.00%,1,1.14%
193,7726.0,26,14,53.85%,14,53.85%,16,61.54%,2,7.69%,0,0.00%
194,5116.0,396,320,80.81%,318,80.30%,326,82.32%,6,1.52%,2,0.51%
195,9999.0,20,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
196,1014.0,64,48,75.00%,48,75.00%,53,82.81%,5,7.81%,0,0.00%
197,9999.0,6,1,16.67%,1,16.67%,1,16.67%,0,0.00%,0,0.00%
198,1029.0,370,215,58.11%,215,58.11%,232,62.70%,17,4.59%,0,0.00%
199,9999.0,26,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
200,1030.0,298,214,71.81%,214,71.81%,245,82.21%,31,10.40%,0,0.00%
201,1040.0,408,326,79.90%,324,79.41%,336,82.35%,10,2.45%,2,0.49%
202,9999.0,17,5,29.41%,5,29.41%,5,29.41%,0,0.00%,0,0.00%
203,1043.0,477,434,90.99%,434,90.99%,434,90.99%,0,0.00%,0,0.00%
204,5133.0,504,472,93.65%,472,93.65%,472,93.65%,0,0.00%,0,0.00%
205,7790.0,549,511,93.08%,509,92.71%,512,93.26%,1,0.18%,2,0.36%
206,9999.0,17,1,5.88%,1,5.88%,1,5.88%,0,0.00%,0,0.00%
207,5096.0,421,380,90.26%,380,90.26%,381,90.50%,1,0.24%,0,0.00%
208,7749.0,522,473,90.61%,470,90.04%,480,91.95%,7,1.34%,3,0.57%
209,7568.0,59,51,86.44%,51,86.44%,52,88.14%,1,1.69%,0,0.00%
210,8381.0,54,43,79.63%,43,79.63%,46,85.19%,3,5.56%,0,0.00%
211,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
212,6455.0,626,560,89.46%,559,89.30%,574,91.69%,14,2.24%,1,0.16%
213,9999.0,10,1,10.00%,1,10.00%,1,10.00%,0,0.00%,0,0.00%
214,1084.0,128,123,96.09%,123,96.09%,123,96.09%,0,0.00%,0,0.00%
215,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
216,1094.0,139,109,78.42%,109,78.42%,112,80.58%,3,2.16%,0,0.00%
217,9999.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
218,1100.0,562,454,80.78%,453,80.60%,458,81.49%,4,0.71%,1,0.18%
219,9999.0,11,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
220,4682.0,805,666,82.73%,663,82.36%,679,84.35%,13,1.61%,3,0.37%
221,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
222,1128.0,381,296,77.69%,293,76.90%,299,78.48%,3,0.79%,3,0.79%
223,9999.0,7,1,14.29%,1,14.29%,1,14.29%,0,0.00%,0,0.00%
224,8344.0,518,402,77.61%,386,74.52%,435,83.98%,33,6.37%,16,3.09%
225,9999.0,28,3,10.71%,3,10.71%,4,14.29%,1,3.57%,0,0.00%
226,1154.0,135,78,57.78%,75,55.56%,84,62.22%,6,4.44%,3,2.22%
227,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
228,1159.0,278,241,86.69%,241,86.69%,245,88.13%,4,1.44%,0,0.00%
229,9999.0,6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
230,1164.0,96,50,52.08%,43,44.79%,50,52.08%,0,0.00%,7,7.29%
231,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
232,1172.0,138,90,65.22%,88,63.77%,90,65.22%,0,0.00%,2,1.45%
233,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
234,1177.0,208,145,69.71%,145,69.71%,158,75.96%,13,6.25%,0,0.00%
235,9999.0,1,0,0.00%,0,0.00%,1,100.00%,1,100.00%,0,0.00%
236,8318.0,542,453,83.58%,453,83.58%,470,86.72%,17,3.14%,0,0.00%
237,9999.0,6,2,33.33%,2,33.33%,2,33.33%,0,0.00%,0,0.00%
238,5135.0,47,28,59.57%,28,59.57%,30,63.83%,2,4.26%,0,0.00%
239,5212.0,115,68,59.13%,68,59.13%,76,66.09%,8,6.96%,0,0.00%
240,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
241,1208.0,137,99,72.26%,98,71.53%,106,77.37%,7,5.11%,1,0.73%
242,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
243,5136.0,73,41,56.16%,41,56.16%,41,56.16%,0,0.00%,0,0.00%
244,1225.0,54,37,68.52%,35,64.81%,39,72.22%,2,3.70%,2,3.70%
245,8382.0,145,91,62.76%,81,55.86%,102,70.34%,11,7.59%,10,6.90%
246,1251.0,181,126,69.61%,102,56.35%,126,69.61%,0,0.00%,24,13.26%
247,8314.0,8,1,12.50%,0,0.00%,1,12.50%,0,0.00%,1,12.50%
248,9999.0,12,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
249,6201.0,83,58,69.88%,58,69.88%,59,71.08%,1,1.20%,0,0.00%
250,1213.0,123,92,74.80%,85,69.11%,93,75.61%,1,0.81%,7,5.69%
251,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
252,1270.0,68,54,79.41%,48,70.59%,56,82.35%,2,2.94%,6,8.82%
253,7941.0,127,102,80.31%,100,78.74%,105,82.68%,3,2.36%,2,1.57%
254,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
255,8379.0,102,92,90.20%,92,90.20%,92,90.20%,0,0.00%,0,0.00%
256,1299.0,51,26,50.98%,21,41.18%,31,60.78%,5,9.80%,5,9.80%
257,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
258,4870.0,93,34,36.56%,32,34.41%,34,36.56%,0,0.00%,2,2.15%
259,1307.0,122,90,73.77%,88,72.13%,95,77.87%,5,4.10%,2,1.64%
260,9999.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
261,1315.0,163,109,66.87%,108,66.26%,120,73.62%,11,6.75%,1,0.61%
262,4734.0,114,89,78.07%,89,78.07%,92,80.70%,3,2.63%,0,0.00%
263,9999.0,8,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
264,8348.0,112,56,50.00%,53,47.32%,56,50.00%,0,0.00%,3,2.68%
265,9999.0,6,1,16.67%,1,16.67%,1,16.67%,0,0.00%,0,0.00%
266,1327.0,50,31,62.00%,31,62.00%,32,64.00%,1,2.00%,0,0.00%
267,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
268,1335.0,144,73,50.69%,68,47.22%,79,54.86%,6,4.17%,5,3.47%
269,1343.0,198,130,65.66%,127,64.14%,134,67.68%,4,2.02%,3,1.52%
270,6231.0,100,78,78.00%,75,75.00%,83,83.00%,5,5.00%,3,3.00%
271,1364.0,579,453,78.24%,447,77.20%,453,78.24%,0,0.00%,6,1.04%
272,7691.0,156,66,42.31%,66,42.31%,73,46.79%,7,4.49%,0,0.00%
273,7721.0,70,58,82.86%,54,77.14%,58,82.86%,0,0.00%,4,5.71%
274,7819.0,358,236,65.92%,234,65.36%,270,75.42%,34,9.50%,2,0.56%
275,1367.0,429,384,89.51%,375,87.41%,386,89.98%,2,0.47%,9,2.10%
276,9999.0,8,1,12.50%,1,12.50%,1,12.50%,0,0.00%,0,0.00%
277,5012.0,420,310,73.81%,281,66.90%,324,77.14%,14,3.33%,29,6.90%
278,8415.0,38,10,26.32%,8,21.05%,11,28.95%,1,2.63%,2,5.26%
279,9999.0,12,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
280,1387.0,358,304,84.92%,299,83.52%,307,85.75%,3,0.84%,5,1.40%
281,7759.0,452,410,90.71%,408,90.27%,415,91.81%,5,1.11%,2,0.44%
282,8174.0,194,194,100.00%,194,100.00%,194,100.00%,0,0.00%,0,0.00%
283,9999.0,12,2,16.67%,2,16.67%,2,16.67%,0,0.00%,0,0.00%
284,7628.0,74,63,85.14%,63,85.14%,66,89.19%,3,4.05%,0,0.00%
285,7636.0,72,66,91.67%,66,91.67%,70,97.22%,4,5.56%,0,0.00%
286,1424.0,312,289,92.63%,289,92.63%,289,92.63%,0,0.00%,0,0.00%
287,9999.0,18,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
288,6482.0,330,274,83.03%,273,82.73%,287,86.97%,13,3.94%,1,0.30%
289,9999.0,4,1,25.00%,1,25.00%,1,25.00%,0,0.00%,0,0.00%
290,1414.0,192,123,64.06%,108,56.25%,123,64.06%,0,0.00%,15,7.81%
291,9999.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
292,1406.0,395,341,86.33%,340,86.08%,348,88.10%,7,1.77%,1,0.25%
293,9999.0,23,6,26.09%,6,26.09%,8,34.78%,2,8.70%,0,0.00%
294,1420.0,329,226,68.69%,220,66.87%,234,71.12%,8,2.43%,6,1.82%
295,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
296,1426.0,279,238,85.30%,235,84.23%,245,87.81%,7,2.51%,3,1.08%
297,9999.0,6,2,33.33%,2,33.33%,3,50.00%,1,16.67%,0,0.00%
298,1423.0,536,522,97.39%,522,97.39%,522,97.39%,0,0.00%,0,0.00%
299,9999.0,20,7,35.00%,6,30.00%,7,35.00%,0,0.00%,1,5.00%
300,1443.0,355,341,96.06%,341,96.06%,342,96.34%,1,0.28%,0,0.00%
301,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
302,1453.0,285,262,91.93%,262,91.93%,264,92.63%,2,0.70%,0,0.00%
303,6734.0,303,275,90.76%,275,90.76%,283,93.40%,8,2.64%,0,0.00%
304,7894.0,306,283,92.48%,283,92.48%,287,93.79%,4,1.31%,0,0.00%
305,9999.0,31,1,3.23%,1,3.23%,1,3.23%,0,0.00%,0,0.00%
306,7824.0,93,35,37.63%,35,37.63%,44,47.31%,9,9.68%,0,0.00%
307,4664.0,56,35,62.50%,27,48.21%,37,66.07%,2,3.57%,8,14.29%
308,9999.0,18,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
309,1475.0,66,46,69.70%,46,69.70%,49,74.24%,3,4.55%,0,0.00%
310,1480.0,57,32,56.14%,31,54.39%,35,61.40%,3,5.26%,1,1.75%
311,9999.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
312,1486.0,69,49,71.01%,40,57.97%,52,75.36%,3,4.35%,9,13.04%
313,9999.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
