,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
745,7649.0,159,152,95.60%,152,95.60%,156,98.11%,4,2.52%,0
746,7665.0,174,105,60.34%,104,59.77%,115,66.09%,10,5.75%,1
747,7666.0,309,253,81.88%,249,80.58%,259,83.82%,6,1.94%,4
748,8205.0,440,280,63.64%,274,62.27%,330,75.00%,50,11.36%,6
749,7672.0,123,97,78.86%,85,69.11%,97,78.86%,0,0.00%,12
750,8207.0,222,154,69.37%,145,65.32%,170,76.58%,16,7.21%,9
751,8217.0,24,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
752,8358.0,115,98,85.22%,97,84.35%,109,94.78%,11,9.57%,1
753,3728.0,10,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
754,3808.0,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
755,3816.0,212,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
756,3818.0,149,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
757,3841.0,99,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
758,3842.0,108,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
759,3843.0,203,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
760,3844.0,118,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
761,3845.0,273,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
762,3847.0,145,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
763,3848.0,533,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
764,3849.0,188,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
765,3850.0,236,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
766,3851.0,72,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
767,3855.0,631,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
