,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
418,1915.0,253,215,85.0%,211,222,87.7%,7,2.8%,4
419,1100.0,589,496,84.2%,494,510,86.6%,14,2.4%,2
420,2345.0,77,47,61.0%,42,47,61.0%,0,0.0%,5
421,6231.0,127,87,68.5%,74,91,71.7%,4,3.1%,13
422,4682.0,831,751,90.4%,744,765,92.1%,14,1.7%,7
423,7650.0,1026,741,72.2%,698,757,73.8%,16,1.6%,43
424,7821.0,3,0,0.0%,0,0,0.0%,0,0.0%,0
425,7819.0,289,169,58.5%,158,190,65.7%,21,7.3%,11
426,7687.0,147,92,62.6%,84,106,72.1%,14,9.5%,8
427,6648.0,354,314,88.7%,304,318,89.8%,4,1.1%,10
428,2649.0,145,89,61.4%,81,92,63.4%,3,2.1%,8
429,3328.0,335,294,87.8%,294,303,90.4%,9,2.7%,0
430,7770.0,69,36,52.2%,34,41,59.4%,5,7.2%,2
431,5083.0,364,334,91.8%,334,335,92.0%,1,0.3%,0
432,7587.0,117,85,72.6%,85,93,79.5%,8,6.8%,0
433,7904.0,119,112,94.1%,111,119,100.0%,7,5.9%,1
434,3847.0,272,159,58.5%,118,164,60.3%,5,1.8%,41
435,7070.0,108,107,99.1%,106,107,99.1%,0,0.0%,1
436,3840.0,140,0,0.0%,0,0,0.0%,0,0.0%,0
437,4728.0,80,47,58.8%,47,50,62.5%,3,3.8%,0
438,7023.0,121,0,0.0%,0,0,0.0%,0,0.0%,0
439,3848.0,522,505,96.7%,504,507,97.1%,2,0.4%,1
440,7781.0,65,54,83.1%,41,54,83.1%,0,0.0%,13
441,7905.0,82,0,0.0%,0,0,0.0%,0,0.0%,0
442,6996.0,164,162,98.8%,161,162,98.8%,0,0.0%,1
443,3841.0,188,147,78.2%,134,148,78.7%,1,0.5%,13
444,3787.0,43,0,0.0%,0,0,0.0%,0,0.0%,0
445,3849.0,337,202,59.9%,188,227,67.4%,25,7.4%,14
446,3816.0,305,204,66.9%,194,210,68.9%,6,2.0%,10
447,7240.0,61,0,0.0%,0,0,0.0%,0,0.0%,0
448,3850.0,341,1,0.3%,1,1,0.3%,0,0.0%,0
449,3851.0,114,0,0.0%,0,0,0.0%,0,0.0%,0
450,6822.0,139,119,85.6%,115,125,89.9%,6,4.3%,4
451,3818.0,160,145,90.6%,145,152,95.0%,7,4.4%,0
452,7664.0,56,52,92.9%,52,53,94.6%,1,1.8%,0
453,3852.0,186,144,77.4%,130,148,79.6%,4,2.2%,14
454,3843.0,229,214,93.4%,214,216,94.3%,2,0.9%,0
455,3853.0,269,0,0.0%,0,0,0.0%,0,0.0%,0
456,7852.0,103,61,59.2%,61,68,66.0%,7,6.8%,0
457,7855.0,62,43,69.4%,30,44,71.0%,1,1.6%,13
458,7851.0,74,29,39.2%,29,34,45.9%,5,6.8%,0
459,6675.0,264,174,65.9%,174,200,75.8%,26,9.8%,0
460,7810.0,55,48,87.3%,37,50,90.9%,2,3.6%,11
461,7811.0,69,0,0.0%,0,0,0.0%,0,0.0%,0
462,3845.0,290,193,66.6%,185,218,75.2%,25,8.6%,8
463,3842.0,138,0,0.0%,0,0,0.0%,0,0.0%,0
464,3808.0,117,115,98.3%,115,115,98.3%,0,0.0%,0
465,7815.0,65,0,0.0%,0,0,0.0%,0,0.0%,0
466,3855.0,652,0,0.0%,0,0,0.0%,0,0.0%,0
467,7853.0,117,0,0.0%,0,0,0.0%,0,0.0%,0
468,7854.0,108,51,47.2%,42,56,51.9%,5,4.6%,9
469,3857.0,286,215,75.2%,201,239,83.6%,24,8.4%,14
470,6548.0,70,63,90.0%,63,66,94.3%,3,4.3%,0
471,7808.0,67,63,94.0%,47,66,98.5%,3,4.5%,16
472,7782.0,67,65,97.0%,65,66,98.5%,1,1.5%,0
473,7780.0,74,54,73.0%,54,56,75.7%,2,2.7%,0
474,8119.0,102,88,86.3%,88,89,87.3%,1,1.0%,0
475,7814.0,37,0,0.0%,0,0,0.0%,0,0.0%,0
476,8120.0,8,1,12.5%,1,1,12.5%,0,0.0%,0
477,8121.0,2,0,0.0%,0,0,0.0%,0,0.0%,0
478,7850.0,57,46,80.7%,45,47,82.5%,1,1.8%,1
479,7812.0,67,0,0.0%,0,0,0.0%,0,0.0%,0
480,7813.0,73,47,64.4%,46,56,76.7%,9,12.3%,1
481,6522.0,55,0,0.0%,0,0,0.0%,0,0.0%,0
482,3844.0,210,124,59.0%,112,124,59.0%,0,0.0%,12
483,3861.0,106,94,88.7%,92,94,88.7%,0,0.0%,2
484,7245.0,119,91,76.5%,81,96,80.7%,5,4.2%,10
485,7903.0,115,99,86.1%,96,108,93.9%,9,7.8%,3
486,7906.0,117,0,0.0%,0,0,0.0%,0,0.0%,0
487,3859.0,162,109,67.3%,109,116,71.6%,7,4.3%,0
488,7255.0,96,74,77.1%,74,77,80.2%,3,3.1%,0
489,7072.0,177,121,68.4%,104,135,76.3%,14,7.9%,17
490,6523.0,205,2,1.0%,2,2,1.0%,0,0.0%,0
491,7252.0,72,31,43.1%,30,38,52.8%,7,9.7%,1
492,6527.0,449,258,57.5%,238,275,61.2%,17,3.8%,20
493,3860.0,208,1,0.5%,1,1,0.5%,0,0.0%,0
494,3728.0,10,1,10.0%,1,8,80.0%,7,70.0%,0
495,7737.0,120,78,65.0%,71,86,71.7%,8,6.7%,7
496,1560.0,153,89,58.2%,75,98,64.1%,9,5.9%,14
497,1426.0,232,211,90.9%,200,211,90.9%,0,0.0%,11
498,3910.0,118,80,67.8%,70,88,74.6%,8,6.8%,10
499,315.0,333,302,90.7%,297,307,92.2%,5,1.5%,5
500,409.0,350,297,84.9%,294,300,85.7%,3,0.9%,3
501,6915.0,243,177,72.8%,169,178,73.3%,1,0.4%,8
502,8106.0,114,105,92.1%,105,106,93.0%,1,0.9%,0
503,412.0,183,129,70.5%,112,134,73.2%,5,2.7%,17
504,415.0,97,68,70.1%,68,69,71.1%,1,1.0%,0
505,6047.0,12,0,0.0%,0,0,0.0%,0,0.0%,0
506,422.0,99,51,51.5%,48,52,52.5%,1,1.0%,3
507,424.0,116,65,56.0%,64,67,57.8%,2,1.7%,1
508,416.0,190,179,94.2%,168,180,94.7%,1,0.5%,11
509,425.0,225,147,65.3%,142,147,65.3%,0,0.0%,5
510,420.0,79,46,58.2%,46,51,64.6%,5,6.3%,0
511,5058.0,284,253,89.1%,248,257,90.5%,4,1.4%,5
512,3210.0,437,0,0.0%,0,0,0.0%,0,0.0%,0
513,435.0,340,294,86.5%,284,298,87.6%,4,1.2%,10
514,7771.0,6,4,66.7%,3,4,66.7%,0,0.0%,1
515,3216.0,422,323,76.5%,311,325,77.0%,2,0.5%,12
516,7738.0,433,313,72.3%,308,320,73.9%,7,1.6%,5
517,3111.0,65,47,72.3%,42,47,72.3%,0,0.0%,5
518,1270.0,79,61,77.2%,57,64,81.0%,3,3.8%,4
519,3338.0,202,171,84.7%,169,178,88.1%,7,3.5%,2
520,3348.0,147,116,78.9%,101,121,82.3%,5,3.4%,15
521,3924.0,247,162,65.6%,132,167,67.6%,5,2.0%,30
522,7540.0,118,83,70.3%,83,84,71.2%,1,0.8%,0
523,6165.0,189,115,60.8%,102,128,67.7%,13,6.9%,13
524,2350.0,70,39,55.7%,31,45,64.3%,6,8.6%,8
525,448.0,153,135,88.2%,135,138,90.2%,3,2.0%,0
526,1128.0,354,308,87.0%,304,322,91.0%,14,4.0%,4
527,1921.0,330,310,93.9%,309,313,94.8%,3,0.9%,1
528,8116.0,857,467,54.5%,463,547,63.8%,80,9.3%,4
529,4598.0,389,258,66.3%,237,272,69.9%,14,3.6%,21
530,1495.0,100,68,68.0%,62,69,69.0%,1,1.0%,6
531,7636.0,36,32,88.9%,32,33,91.7%,1,2.8%,0
532,3165.0,95,57,60.0%,49,63,66.3%,6,6.3%,8
533,7941.0,134,113,84.3%,108,118,88.1%,5,3.7%,5
534,1989.0,63,45,71.4%,39,45,71.4%,0,0.0%,6
535,1934.0,445,350,78.7%,339,364,81.8%,14,3.1%,11
536,7019.0,283,212,74.9%,200,217,76.7%,5,1.8%,12
537,700.0,172,143,83.1%,132,144,83.7%,1,0.6%,11
538,2496.0,96,76,79.2%,69,78,81.3%,2,2.1%,7
539,6928.0,93,73,78.5%,71,80,86.0%,7,7.5%,2
540,7629.0,35,32,91.4%,28,34,97.1%,2,5.7%,4
541,8000.0,81,59,72.8%,53,59,72.8%,0,0.0%,6
542,6210.0,67,39,58.2%,36,39,58.2%,0,0.0%,3
543,1942.0,359,326,90.8%,326,342,95.3%,16,4.5%,0
544,5169.0,180,128,71.1%,112,137,76.1%,9,5.0%,16
545,2833.0,163,141,86.5%,141,143,87.7%,2,1.2%,0
546,4002.0,35,22,62.9%,20,24,68.6%,2,5.7%,2
547,5352.0,172,147,85.5%,144,149,86.6%,2,1.2%,3
548,965.0,68,56,82.4%,56,57,83.8%,1,1.5%,0
549,5264.0,92,78,84.8%,78,85,92.4%,7,7.6%,0
550,864.0,180,133,73.9%,123,139,77.2%,6,3.3%,10
551,6413.0,386,286,74.1%,279,293,75.9%,7,1.8%,7
552,2489.0,266,206,77.4%,199,210,78.9%,4,1.5%,7
553,3969.0,212,148,69.8%,148,149,70.3%,1,0.5%,0
554,1183.0,503,445,88.5%,436,450,89.5%,5,1.0%,9
555,4006.0,48,29,60.4%,28,31,64.6%,2,4.2%,1
