AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
103020005,391.037,8707.63,15940.79,0.0,148892.0,856933.0,3405005.0,6181228.0,0.5999,59151.0,0.0,63.0,72600.0,2769221.0,6233440.0,6402720.0
103020368,202.801,9371.67,14524.0,0.0,452391.0,1233307.0,1900585.0,3051900.0,0.7702,39489.0,6928.0,0.0,31708.0,1005407.0,2945481.0,3542927.0
103020407,373.176,12927.64,25610.95,0.0,267514.0,2577717.0,4824286.72,8350903.95,0.3528,367930.61,50185.7,1490451.0,1433097.19,2874723.89,9557392.22,10101700.84
103020603,912.563,12868.74,26206.66,0.0,303432.0,10312820.0,11743537.47,17341785.0,0.3151,656511.9,0.0,3836696.59,6270011.0,7678482.16,23915228.12,23915228.0
103020753,1845.791,9995.98,17663.75,0.0,121440.97,5021939.0,18450481.71,25380439.87,0.3524,1026355.7,0.0,3864097.96,7213877.71,9262649.4,32603584.77,32715758.55
103021003,4694.527,10240.47,20495.6,0.0,594759.04,25479215.0,48074175.12,68735281.28,0.3541,2035368.23,10118166.82,22810224.21,17977324.38,23297374.83,96217142.39,97425531.52
103021102,4495.711,8394.5,14974.64,376598.27,1948211.32,11590390.0,37739255.68,45003828.86,0.5591,1316714.89,0.0,8033376.1,23899782.61,19855687.61,67321632.55,70851822.79
103021252,4155.641,12605.58,20352.75,335287.0,336861.9,24022129.0,52384271.78,63965369.68,0.4549,1528964.65,6016.0,7662276.38,23689420.82,22667907.9,84578707.71,87997668.4
103021453,1257.843,11772.48,18799.43,109407.81,321306.57,4438186.0,14807937.42,13034080.89,0.679,761472.78,0.0,1753518.76,9814507.84,6214396.29,23646733.06,23169895.3
103021603,1428.897,13183.57,19870.21,0.0,1019440.95,2789433.0,18837966.38,18697094.65,0.4962,626968.91,0.0,194029.5,9049308.22,8733521.31,28392486.1,28765843.82
