AUN,AverageDailyMembership(ADM),BasedonInstruction,BasedonTotal,FacilitiesAcquisition&Construction,Federal Revenue,GeneralFundBalance,Instruction,Local Revenue,MV/PIAidRatio,Non-instructional,Other Revenue,OtherFinancingUses,RegularEducationStudent,SpecialEducationStudent,State Revenue,SupportServices,TotalExpenditures,TotalRevenues
126512840,1223.00,8557.55,13853.00,0.00,1113371.81,2660247.00,10465853.75,14553138.71,0.745,562518.02,131098.00,89614.00,,,318154.48,5824190.23,16942176.00,16115763.00
126512850,512.19,6164.51,21584.06,5249708.00,715766.00,-214206.00,3157412.00,5202417.00,0.745,352184.00,6670000.00,84620.00,,,93596.00,2211259.00,11055183.00,12681779.00
126512860,423.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.745,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
126512870,186.86,15529.13,35460.67,0.00,2375400.00,1506096.00,2901743.00,3903385.00,0.745,571137.00,0.00,0.00,,,59740.00,3153229.00,6626109.00,6338525.00
126512960,581.82,5790.40,10196.51,0.00,496659.00,140057.00,3368975.00,5764509.00,0.745,294559.00,0.00,0.00,,,206752.00,2269009.00,5932543.00,6467920.00
126512980,498.25,5754.13,15585.08,1136985.00,539854.00,389899.00,2866985.92,6678191.69,0.745,409362.00,0.00,0.00,,,202292.00,3351903.00,7765235.92,7420337.69
126512990,446.91,7123.81,11808.87,0.00,403080.00,653525.00,3183695.00,4687025.00,0.745,38914.00,0.00,62957.00,,,101633.00,1991926.00,5277492.00,5191738.00
126513000,260.23,6701.69,11812.88,17941.00,207761.00,349574.00,1743975.00,2806362.00,0.745,19446.00,0.00,91170.00,,,70543.00,1201521.00,3074053.00,3084666.00
126513020,1064.21,6062.55,11845.57,0.00,1558451.00,942992.00,6451831.00,10721887.00,0.745,726006.00,106449.00,1998.00,,,260924.00,5426349.00,12606184.00,12647711.00
126513070,183.74,8760.10,14237.20,0.00,163532.80,-109344.00,1609562.95,2280442.45,0.745,0.00,0.00,6548.00,,,10144.00,999804.19,2615915.14,2454119.25
126513100,508.4,9151.88,15028.69,0.00,1273621.62,-779801.00,4652826.58,6314372.87,0.745,862151.09,0.00,0.00,,,36912.86,2125624.45,7640602.12,7624907.35
126513110,603.04,7914.09,11891.70,0.00,621583.00,-210340.00,4772474.00,5980903.00,0.745,59042.00,13104.00,0.00,,,139731.00,2339597.00,7171113.00,6755321.00
126513117,399.96,5328.64,11820.92,0.00,289803.00,852130.00,2131254.00,5907791.00,0.745,91980.00,0.00,0.00,,,53406.00,2504684.00,4727918.00,6251000.00
126513150,1335.25,6541.77,12202.54,0.00,1085252.00,6556243.00,8734867.00,15614142.00,0.745,471398.00,0.00,0.00,,,323248.00,7087129.00,16293394.00,17022642.00
126513160,813.97,7154.28,11150.88,0.00,731649.87,4384903.00,5823386.71,8297598.98,0.745,188520.45,0.00,0.00,,,79246.40,3064599.46,9076506.62,9108495.25
126513190,572.48,7080.23,13461.30,0.00,239439.00,154118.00,4053298.00,6798520.00,0.745,58265.00,0.00,39882.00,,,143817.00,3554891.00,7706336.00,7181776.00
126513210,672.27,7165.43,14291.11,0.00,531680.00,-1344631.00,4817104.00,8119040.00,0.745,0.00,0.00,481930.00,,,145233.00,4308452.00,9607486.00,8795953.00
126513230,995.78,5803.67,9943.62,0.00,1293810.99,-738512.00,5779168.77,8904914.00,0.745,782767.01,0.00,0.00,,,100759.55,3339701.00,9901636.78,10299484.54
126513250,249.69,7298.70,14852.52,0.00,234054.00,112443.00,1822398.00,3556436.08,0.745,65644.00,0.00,0.00,,,90550.00,1820455.00,3708497.00,3881040.08
126513270,970.55,6441.54,13336.15,0.00,1318273.00,761511.00,6251859.00,11463267.00,0.745,653826.00,0.00,305198.00,,,255686.00,5732562.00,12943445.00,13037226.00
126513280,1149.02,8911.48,14485.17,0.00,1180083.00,201253.00,10239432.00,14669048.00,0.745,166452.00,0.00,0.00,,,274071.00,6237813.00,16643697.00,16123202.00
126513290,1208.11,9405.21,13865.54,0.00,3176300.00,1695632.00,11362510.00,13615868.00,0.745,200472.00,0.00,0.00,,,277010.00,5188086.00,16751068.00,17069178.00
126513380,689.97,6634.57,12874.78,0.00,526510.00,1757682.00,4577627.00,7965902.00,0.745,125498.00,0.00,1002290.00,,,67118.00,3177748.00,8883163.00,8559530.00
126513400,2526.69,5423.85,11599.43,1821997.00,1966219.00,5317744.00,13704363.00,26723775.00,0.745,391461.00,400749.00,279190.00,,,515994.00,13111118.00,29308129.00,29606737.00
126513415,380.03,9973.08,15914.77,0.00,693139.00,-1349737.00,3790041.00,4750429.00,0.745,211900.00,0.00,0.00,,,100310.00,2046102.00,6048043.00,5543878.00
126513420,1464.94,5700.45,10614.53,20235.00,1304321.00,5424922.00,8350800.00,14790139.00,0.745,697770.00,0.00,39576.00,,,338538.00,6441223.00,15549604.00,16432998.00
126513440,1431.83,6218.94,14406.52,631555.00,2482244.00,-1747337.00,8904456.00,16556962.00,0.745,1514182.00,150099.00,458934.00,,,402959.00,9118550.00,20627677.00,19592264.00
126513450,1182.49,6310.40,19307.41,7165335.00,1517722.00,719181.00,7461980.00,14490334.00,0.745,1381581.00,5587563.00,1174687.00,,,120437.00,5647216.00,22830799.00,21716056.00
126513452,1844.89,8389.05,15089.22,0.00,2961024.45,-984445.00,15476904.56,23452778.62,0.745,1578067.12,0.00,13277.07,,,68885.41,10769753.35,27838002.10,26482688.48
126513470,627.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.745,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00
126513480,1180.34,7361.92,13286.73,0.00,945035.00,1002944.00,8689563.00,14184614.00,0.745,145347.00,0.00,0.00,,,312606.00,6847947.00,15682857.00,15442255.00
126513510,797.14,7528.53,12563.97,44500.00,818413.00,5153018.00,6001254.00,8808632.00,0.745,197039.00,0.00,0.00,,,192319.00,3772387.00,10015180.00,9819364.00
126513734,1441.29,11087.51,16955.45,0.00,2963505.00,1042831.00,15980291.00,20046167.00,0.745,384918.00,51655.00,0.00,,,118786.00,8072467.00,24437676.00,23180113.00
126514368,126.98,6272.25,14416.06,0.00,192675.00,119322.00,796418.42,1586308.61,0.745,0.00,0.00,0.00,,,8307.00,1034060.42,1830478.84,1787290.61
126514864,522.84,8347.05,14731.05,0.00,459891.00,-57843.00,4364196.00,6781930.00,0.745,344213.00,0.00,6089.00,,,122152.00,2987526.00,7702024.00,7363973.00
126515001,203686.92,10362.55,19992.81,162516.28,240797382.86,14139255.00,2110715651.00,1303360171.40,0.745,16029172.02,999117285.34,1270549739.80,8139.29,24574.35,1565568388.80,674816114.25,4072273193.40,4108843228.30
126515492,99.09,10413.85,15812.24,6900.00,25606.00,-213268.00,1031929.00,1326621.00,0.745,220.00,0.00,2763.00,,,12290.00,525054.00,1566866.00,1364517.00
126515691,972.05,7334.77,12153.64,0.00,844727.00,4727446.00,7129775.00,11837576.00,0.745,44474.00,0.00,0.00,,,109551.00,4639720.00,11813969.00,12791854.00
126516457,847.56,8892.35,13596.36,0.00,1161736.00,2245880.00,7536818.00,10054942.00,0.745,552971.00,0.00,0.00,,,108562.00,3433968.00,11523757.00,11325240.00
126517286,758.08,9074.20,13388.49,0.00,1115554.00,1408367.00,6878926.00,9059773.00,0.745,572822.00,0.00,0.00,,,93107.00,2697728.00,10149476.00,10268434.00
126517442,765.06,8290.78,13249.19,0.00,1252807.00,-575418.00,6342916.00,7900350.00,0.745,345964.00,0.00,0.00,,,119458.00,3447507.00,10136387.00,9272615.00
126518004,555.36,7059.54,15917.40,0.00,0.00,-1824602.00,3920612.00,7018538.00,0.745,75868.00,0.00,1452.00,,,0.00,4842019.00,8839951.00,7018538.00
126518118,513.53,7732.62,13492.20,0.00,451327.00,-239508.00,3970900.00,6259356.00,0.745,44653.00,0.00,0.00,,,5198.00,2913045.00,6928598.00,6715881.00
126518547,760.38,9043.28,14264.31,0.00,1606174.00,1282989.00,6876320.00,10117948.00,0.745,805744.00,0.00,0.00,,,100006.00,3164215.00,10846279.00,11824128.00
126518795,570.56,8764.27,13188.81,0.00,771571.00,373049.00,5000542.00,7099268.00,0.745,331608.00,0.00,0.00,,,23615.00,2192857.00,7525007.00,7894454.00
126519392,849.52,6062.43,11998.76,90576.00,1624383.00,9570480.00,5150176.00,10695718.00,0.745,81457.00,0.00,19943.00,,,71023.00,4851070.00,10193222.00,12391124.00
126519433,551.21,8603.07,13194.06,0.00,677965.00,1942665.00,4742122.00,6359159.00,0.745,291828.00,0.00,0.00,,,69395.00,2238789.00,7272739.00,7106519.00
126519434,587.64,9620.84,18705.67,0.00,2260972.00,-1390929.00,5653550.00,7464256.00,0.745,253630.00,0.00,0.00,,,401749.00,5084947.00,10992127.00,10126977.00
126519476,728.51,6278.88,11558.53,492490.00,590647.00,-463465.00,4574240.00,7397253.00,0.745,156975.00,0.00,80000.00,,,62209.00,3116822.00,8420527.00,8050109.00
126519644,747.87,8784.88,13046.25,0.00,1139434.00,568795.00,6569969.00,8634013.00,0.745,459639.00,0.00,0.00,,,97618.00,2727315.00,9756923.00,9871065.00
127040002,708.25,6200.26,13066.51,0.00,113153.00,3761362.00,4391326.28,9769265.00,0.8213,145753.87,0.00,0.00,,,244775.00,4717265.84,9254345.99,10127193.00
127040503,1257.81,10594.61,18429.12,0.00,2408167.44,-1042703.00,13326021.98,6616842.37,0.7891,475899.07,0.00,3130153.64,10077.71,25004.96,14695188.83,6248280.77,23180355.46,23720198.64
127040703,2878.18,9461.07,15926.79,0.00,871490.33,4325652.00,27230656.92,25272886.06,0.6138,817348.75,1269.49,5990953.47,9613.33,22623.61,20727568.87,11801170.94,45840130.08,46873214.75
127041203,2092.03,7222.56,14322.68,3665.00,480281.47,4176725.00,15109811.26,19492407.63,0.5417,871715.13,431831.83,2763761.80,9628.15,17060.37,11254492.29,11214523.93,29963477.12,31659013.22
127041307,284.74,11285.29,19897.67,27953.39,294293.00,701234.00,3213385.10,4268109.19,0.6279,116401.55,0.00,0.00,,,1174048.72,2307941.06,5665681.10,5736450.91
127041503,1815.62,8742.67,15019.10,154881.00,1130189.00,4956312.00,15873323.00,8264808.00,0.7692,678772.00,188882.00,2034088.00,10411.68,20648.89,18442676.00,8527842.00,27268906.00,28026555.00
127041603,2494.87,8009.23,14245.09,439936.00,376453.00,3576447.00,19981956.00,18889414.00,0.5842,1180877.00,461046.00,3011710.00,9481.69,18175.99,18097410.00,10925097.00,35539576.00,37824323.00
127042003,2449.10,8642.33,14402.48,0.00,488030.71,2420387.00,21165955.35,18331577.72,0.5153,1004829.19,213146.00,1862415.92,10392.84,18729.42,15092457.18,11239950.25,35273150.71,34125211.61
