,school number,total enrollment,low income enrollment,percent of enrollment from low income families
282,7342,263,140,53.2%
283,0070,393,165,42.0%
284,0069,324,183,56.5%
285,0068,225,92,40.9%
286,1014,321,220,68.5%
287,1013,612,417,68.1%
288,7743,275,191,69.5%
289,5305,431,250,58.0%
290,1021,520,326,62.7%
291,1015,466,284,60.9%
292,1017,469,280,59.7%
293,1020,386,230,59.6%
294,1018,352,210,59.7%
295,1023,390,277,71.0%
296,1024,374,253,67.6%
297,1022,389,237,60.9%
298,1027,555,353,63.6%
299,1029,"1,581",933,59.0%
300,1025,388,208,53.6%
301,5148,560,268,47.9%
302,2362,442,186,42.1%
303,6162,725,319,44.0%
304,5231,488,240,49.2%
305,6163,107,54,50.5%
306,2368,246,131,53.3%
307,4818,510,305,59.8%
308,2154,393,269,68.4%
309,8221,346,255,73.7%
310,5145,411,289,70.3%
311,0000,787,83,10.5%
312,7670,196,0,0.0%
313,1030,"1,515",513,33.9%
314,0000,4,1,25.0%
315,7477,508,187,36.8%
316,4195,687,229,33.3%
317,4333,517,164,31.7%
318,4340,563,144,25.6%
319,4339,435,124,28.5%
320,4336,269,89,33.1%
321,1135,271,205,75.6%
322,6690,"1,218",382,31.4%
323,6119,"1,080",375,34.7%
324,1147,"1,112",274,24.6%
325,1137,165,99,60.0%
326,1148,627,140,22.3%
327,1149,215,88,40.9%
328,1150,258,72,27.9%
329,1134,396,210,53.0%
330,1138,458,131,28.6%
331,1143,421,106,25.2%
332,1142,418,172,41.1%
333,1165,271,95,35.1%
334,1184,194,73,37.6%
335,6999,817,304,37.2%
336,7221,336,155,46.1%
337,8051,140,66,47.1%
338,6939,136,65,47.8%
339,4203,311,112,36.0%
340,7347,630,278,44.1%
341,1199,336,124,36.9%
342,5212,453,143,31.6%
343,1299,299,152,50.8%
344,1298,298,179,60.1%
345,7509,303,33,10.9%
346,1682,402,49,12.2%
347,1678,307,35,11.4%
348,1680,288,31,10.8%
349,4211,310,45,14.5%
350,4217,"1,571",343,21.8%
351,7217,759,186,24.5%
352,4205,223,51,22.9%
353,7216,419,102,24.3%
354,4207,290,117,40.3%
355,4938,214,48,22.4%
356,4210,217,25,11.5%
357,7764,430,98,22.8%
358,4937,437,151,34.6%
359,4214,221,32,14.5%
360,5303,540,293,54.3%
361,0988,422,173,41.0%
362,0000,169,80,47.3%
363,8278,178,31,17.4%
364,4870,380,146,38.4%
365,2420,697,400,57.4%
366,7457,950,623,65.6%
367,0000,442,271,61.3%
368,5109,643,279,43.4%
369,1692,405,138,34.1%
370,1694,"1,522",425,27.9%
371,1689,528,145,27.5%
372,1691,354,234,66.1%
373,7011,563,183,32.5%
374,1683,287,166,57.8%
375,1690,318,88,27.7%
376,1686,226,134,59.3%
377,1687,198,39,19.7%
378,7010,543,192,35.4%
379,0079,624,270,43.3%
380,0077,424,278,65.6%
381,0078,322,137,42.5%
382,7315,576,270,46.9%
383,7112,493,230,46.7%
384,2797,439,210,47.8%
385,2798,485,203,41.9%
386,6593,579,309,53.4%
387,8222,719,156,21.7%
388,7271,623,210,33.7%
389,7274,690,243,35.2%
390,5007,888,437,49.2%
391,1040,"1,775",577,32.5%
392,8200,849,332,39.1%
393,9999,1,1,100.0%
394,7726,161,102,63.4%
395,4683,483,150,31.1%
396,7796,802,41,5.1%
397,1044,503,29,5.8%
398,1081,844,61,7.2%
399,5133,"1,623",61,3.8%
400,7790,"1,855",150,8.1%
401,1043,"1,466",127,8.7%
402,7435,603,14,2.3%
403,4852,485,58,12.0%
404,1048,478,23,4.8%
405,7653,892,137,15.4%
406,5307,"1,118",48,4.3%
407,7520,591,35,5.9%
408,1047,593,32,5.4%
409,1041,877,84,9.6%
410,1057,461,53,11.5%
411,7654,952,86,9.0%
412,5306,486,47,9.7%
413,1042,869,102,11.7%
414,1131,648,68,10.5%
415,7715,"1,003",90,9.0%
416,4678,892,59,6.6%
417,1132,546,62,11.4%
418,6646,511,197,38.6%
419,1208,549,196,35.7%
420,1202,376,147,39.1%
421,1205,231,102,44.2%
422,7201,691,257,37.2%
423,5390,574,173,30.1%
424,1619,477,78,16.4%
425,1744,653,413,63.2%
426,1746,"1,357",769,56.7%
427,7820,726,158,21.8%
428,1745,"1,672",336,20.1%
429,1812,225,102,45.3%
430,7306,235,133,56.6%
431,1777,386,104,26.9%
432,6783,701,201,28.7%
433,1791,306,70,22.9%
434,1782,377,96,25.5%
435,1781,599,205,34.2%
436,1795,243,145,59.7%
437,1778,643,149,23.2%
438,1779,338,188,55.6%
439,1811,422,247,58.5%
440,1780,635,409,64.4%
441,1742,565,356,63.0%
442,5320,397,275,69.3%
443,1817,470,81,17.2%
444,2248,528,261,49.4%
445,6252,265,91,34.3%
446,7734,220,106,48.2%
447,6010,425,167,39.3%
448,7476,866,374,43.2%
449,5118,539,206,38.2%
450,0000,22,22,100.0%
451,4967,561,301,53.7%
452,7720,181,67,37.0%
453,5094,360,165,45.8%
454,0000,271,97,35.8%
455,8045,521,93,17.9%
456,8044,739,260,35.2%
457,8043,519,196,37.8%
458,8046,598,214,35.8%
459,6172,"1,088",507,46.6%
460,4545,"1,754",508,29.0%
461,4544,"1,017",360,35.4%
462,4537,608,286,47.0%
463,4540,732,330,45.1%
464,4539,522,113,21.6%
465,7696,639,131,20.5%
466,5088,577,197,34.1%
467,7552,98,18,18.4%
468,8047,615,615,100.0%
469,2192,277,277,100.0%
470,8244,479,177,37.0%
471,2190,977,485,49.6%
472,6615,"1,015",570,56.2%
473,2191,"2,117","1,011",47.8%
474,4825,285,110,38.6%
475,6273,562,310,55.2%
476,2208,264,130,49.2%
477,2215,293,145,49.5%
478,6274,600,325,54.2%
479,2225,175,78,44.6%
480,8324,231,131,56.7%
481,2209,437,183,41.9%
482,2216,317,139,43.8%
483,2196,276,276,100.0%
484,7258,748,368,49.2%
485,4715,475,186,39.2%
486,7157,367,167,45.5%
487,7578,601,475,79.0%
488,6706,"1,086",249,22.9%
489,7415,752,209,27.8%
490,0094,721,200,27.7%
491,7445,750,166,22.1%
492,4234,600,267,44.5%
493,4235,513,192,37.4%
494,5250,687,175,25.5%
495,3250,464,107,23.1%
496,3260,"1,466",341,23.3%
497,3257,683,177,25.9%
498,3256,494,87,17.6%
499,3252,340,65,19.1%
500,3255,441,61,13.8%
501,7514,91,90,98.9%
502,7539,"2,911","2,911",100.0%
503,0000,774,406,52.5%
504,7860,761,303,39.8%
505,7292,776,230,29.6%
506,7293,358,102,28.5%
507,8258,424,319,75.2%
508,6492,937,769,82.1%
509,8020,468,395,84.4%
510,1958,442,351,79.4%
511,8303,732,605,82.7%
512,1829,301,243,80.7%
513,8302,463,380,82.1%
514,0730,382,173,45.3%
515,0729,577,300,52.0%
516,0732,639,270,42.3%
517,1843,367,176,48.0%
518,7276,"1,018",653,64.1%
519,1849,979,569,58.1%
520,5322,383,166,43.3%
521,1847,314,249,79.3%
522,1893,307,251,81.8%
523,7575,806,538,66.7%
524,8262,162,0,0.0%
525,7727,634,434,68.5%
526,7371,435,360,82.8%
527,8094,359,281,78.3%
528,5217,411,155,37.7%
529,1475,395,115,29.1%
530,6909,337,178,52.8%
531,1480,400,145,36.3%
532,1479,470,240,51.1%
533,7374,440,271,61.6%
534,0921,395,220,55.7%
535,8315,"1,179",712,60.4%
536,6236,"1,079",516,47.8%
537,5276,327,223,68.2%
538,1376,603,376,62.4%
539,5012,"2,128","1,041",48.9%
540,1374,343,155,45.2%
541,1377,405,234,57.8%
542,1375,561,254,45.3%
543,6473,486,246,50.6%
544,1370,849,535,63.0%
545,7334,496,324,65.3%
546,7767,501,357,71.3%
547,6474,643,353,54.9%
548,2510,431,104,24.1%
549,6289,679,209,30.8%
550,6290,"1,002",227,22.7%
551,2506,505,146,28.9%
552,5053,403,91,22.6%
553,7628,"2,428",581,23.9%
554,0000,"1,624",918,56.5%
555,7143,678,163,24.0%
556,5077,"1,098",223,20.3%
557,3261,187,83,44.4%
558,4711,517,141,27.3%
559,3333,"1,475",352,23.9%
560,3332,392,86,21.9%
561,3411,361,45,12.5%
562,2515,356,240,67.4%
563,8326,434,317,73.0%
564,7056,557,409,73.4%
565,5178,627,257,41.0%
566,6122,248,111,44.8%
567,7450,259,135,52.1%
568,7774,"8,768","4,615",52.6%
569,7510,"1,209","1,201",99.3%
570,3977,434,212,48.8%
571,3978,546,244,44.7%
572,5213,389,235,60.4%
573,5136,401,218,54.4%
574,2517,491,137,27.9%
575,2531,694,269,38.8%
576,2532,"1,368",463,33.8%
577,5113,622,207,33.3%
578,2522,474,232,48.9%
579,2521,660,271,41.1%
580,6268,523,218,41.7%
581,7822,837,341,40.7%
582,6267,606,277,45.7%
583,6898,594,213,35.9%
584,0017,"1,226",420,34.3%
585,8224,689,304,44.1%
586,8225,352,170,48.3%
587,6132,363,180,49.6%
588,6133,370,230,62.2%
589,8226,308,179,58.1%
590,6643,279,197,70.6%
591,2097,407,206,50.6%
592,5047,221,129,58.4%
593,2105,749,452,60.3%
594,5228,"1,174",621,52.9%
595,2103,132,85,64.4%
596,2107,193,136,70.5%
597,5048,531,321,60.5%
598,4819,302,145,48.0%
599,2172,247,160,64.8%
600,4939,364,320,87.9%
601,7284,470,98,20.9%
602,0777,937,334,35.6%
603,7651,817,269,32.9%
604,5203,466,185,39.7%
605,6944,365,243,66.6%
606,8087,284,177,62.3%
607,4800,"1,364",373,27.3%
608,6301,"1,125",377,33.5%
609,6302,577,122,21.1%
610,2728,599,241,40.2%
611,2729,517,154,29.8%
612,7300,434,209,48.2%
613,1998,711,393,55.3%
614,1997,462,308,66.7%
615,7793,478,291,60.9%
616,8311,525,347,66.1%
617,3868,412,184,44.7%
618,3869,384,157,40.9%
619,1088,655,69,10.5%
620,5096,"1,767",125,7.1%
621,7749,"2,079",232,11.2%
622,1086,770,48,6.2%
623,7208,516,63,12.2%
624,4680,340,29,8.5%
625,6833,495,58,11.7%
626,7657,629,31,4.9%
627,7432,665,65,9.8%
628,6453,823,56,6.8%
629,1087,429,42,9.8%
630,6454,489,52,10.6%
631,5308,417,63,15.1%
632,1130,679,12,1.8%
633,1133,325,25,7.7%
634,4098,525,192,36.6%
635,6595,541,254,47.0%
636,4095,92,32,34.8%
637,5037,435,171,39.3%
638,1632,450,189,42.0%
639,1651,397,250,63.0%
640,1654,849,388,45.7%
641,1653,490,281,57.3%
642,1650,348,197,56.6%
643,1645,381,300,78.7%
644,7194,463,200,43.2%
645,5179,530,258,48.7%
646,7526,21,0,0.0%
647,2860,915,85,9.3%
648,7655,445,56,12.6%
649,2858,691,99,14.3%
650,5341,810,84,10.4%
651,7624,64,53,82.8%
652,7290,573,253,44.2%
653,5277,"1,004",0,0.0%
654,1701,"2,570",392,15.3%
655,6714,936,220,23.5%
656,4849,"1,002",130,13.0%
657,1700,544,76,14.0%
658,5020,741,70,9.4%
659,1697,399,171,42.9%
660,1698,343,83,24.2%
661,1696,663,90,13.6%
662,1699,507,86,17.0%
663,1695,669,181,27.1%
664,6238,491,264,53.8%
665,1529,508,222,43.7%
666,0000,1,0,0.0%
667,6613,78,30,38.5%
668,2868,596,111,18.6%
669,5150,667,128,19.2%
670,2869,874,156,17.8%
671,7596,535,113,21.1%
672,8132,"1,434",464,32.4%
673,6598,"1,020",329,32.3%
674,4553,"1,838",457,24.9%
675,4546,184,93,50.5%
676,4701,172,39,22.7%
677,4547,449,95,21.2%
678,4551,568,213,37.5%
679,4549,489,187,38.2%
680,8285,697,81,11.6%
681,7272,388,156,40.2%
682,4810,"1,157",275,23.8%
683,7544,878,225,25.6%
684,8007,418,141,33.7%
685,3424,572,164,28.7%
686,3425,606,136,22.4%
687,8201,529,215,40.6%
688,4833,531,193,36.3%
689,7627,28,0,0.0%
690,5278,991,546,55.1%
691,0511,448,154,34.4%
692,0513,634,169,26.7%
693,7595,423,126,29.8%
694,6695,455,119,26.2%
695,0000,503,73,14.5%
696,7058,422,0,0.0%
697,7057,488,3,0.6%
698,6504,22,1,4.5%
699,7671,677,499,73.7%
700,7162,518,203,39.2%
701,5261,"1,594",512,32.1%
702,3865,525,152,29.0%
703,3864,550,233,42.4%
704,7408,620,231,37.3%
705,7625,522,173,33.1%
706,3866,413,103,24.9%
707,4351,472,216,45.8%
708,4352,699,278,39.8%
709,6927,948,480,50.6%
710,7731,384,73,19.0%
711,4801,"1,142",220,19.3%
712,7186,520,122,23.5%
713,6678,863,199,23.1%
714,1749,474,107,22.6%
715,7775,794,630,79.3%
716,2539,854,312,36.5%
717,8228,889,357,40.2%
718,7165,477,188,39.4%
719,7786,680,258,37.9%
720,8229,460,164,35.7%
721,4558,977,312,31.9%
722,6283,566,214,37.8%
723,4557,533,224,42.0%
724,7555,505,191,37.8%
725,4556,517,209,40.4%
726,1391,420,69,16.4%
727,7266,513,68,13.3%
728,1431,477,14,2.9%
729,7759,"1,676",203,12.1%
730,1387,"1,408",175,12.4%
731,7517,924,86,9.3%
732,8174,787,26,3.3%
733,5011,565,129,22.8%
734,6476,599,88,14.7%
735,7516,"1,066",90,8.4%
736,8309,"1,047",90,8.6%
737,1432,491,17,3.5%
738,7265,576,16,2.8%
739,7990,435,32,7.4%
740,6621,504,13,2.6%
741,6477,582,47,8.1%
742,7550,200,181,90.5%
743,2385,276,181,65.6%
744,1541,908,504,55.5%
745,6156,"1,063",463,43.6%
746,6157,391,185,47.3%
747,1530,106,52,49.1%
748,1532,359,153,42.6%
749,1540,81,64,79.0%
750,2389,81,55,67.9%
751,6918,408,303,74.3%
752,6591,808,313,38.7%
753,8312,733,196,26.7%
754,7908,345,278,80.6%
755,5193,536,337,62.9%
756,0542,446,289,64.8%
757,7926,653,440,67.4%
758,3021,224,98,43.8%
759,3018,151,43,28.5%
760,6364,748,207,27.7%
761,3019,508,186,36.6%
762,2799,328,101,30.8%
763,2809,"2,645",609,23.0%
764,7560,849,133,15.7%
765,2808,258,80,31.0%
766,2802,413,155,37.5%
767,7559,"1,134",342,30.2%
768,2804,457,105,23.0%
769,5239,714,132,18.5%
770,4827,562,119,21.2%
771,8133,711,116,16.3%
772,5220,820,222,27.1%
773,1707,825,182,22.1%
774,1705,529,157,29.7%
775,4850,521,160,30.7%
776,7536,441,294,66.7%
777,8016,642,298,46.4%
778,7641,"1,050",526,50.1%
779,6935,"1,372",565,41.2%
780,3204,429,266,62.0%
781,7366,939,440,46.9%
782,7642,720,408,56.7%
783,3201,508,284,55.9%
784,7411,539,247,45.8%
785,3202,339,170,50.1%
786,4822,456,166,36.4%
787,2552,634,264,41.6%
788,2500,464,201,43.3%
789,7209,513,210,40.9%
790,2554,988,341,34.5%
791,4707,574,255,44.4%
792,6612,555,208,37.5%
793,2740,722,234,32.4%
794,8137,570,214,37.5%
795,6611,325,89,27.4%
796,2735,247,58,23.5%
797,8127,330,327,99.1%
798,6174,520,117,22.5%
799,4559,459,205,44.7%
800,4564,696,242,34.8%
801,7439,610,263,43.1%
802,6285,362,163,45.0%
803,4563,387,168,43.4%
804,4915,562,434,77.2%
805,3482,"2,593","1,161",44.8%
806,7008,"1,392",668,48.0%
807,6925,"1,352",652,48.2%
808,3477,344,50,14.5%
809,3478,397,217,54.7%
810,3473,555,156,28.1%
811,5350,683,566,82.9%
812,8058,537,105,19.6%
813,5064,341,74,21.7%
814,8223,751,405,53.9%
815,0136,315,57,18.1%
816,4804,503,187,37.2%
817,0144,782,269,34.4%
818,8115,195,70,35.9%
819,0142,181,75,41.4%
820,0139,358,173,48.3%
821,2555,149,35,23.5%
822,8190,911,289,31.7%
823,2561,513,208,40.5%
824,6862,618,191,30.9%
825,2562,"1,231",306,24.9%
826,2558,217,51,23.5%
827,2559,276,48,17.4%
828,6417,671,346,51.6%
829,6418,560,244,43.6%
830,8166,284,122,43.0%
831,2675,823,326,39.6%
832,8167,400,199,49.8%
833,8165,240,125,52.1%
834,8028,628,184,29.3%
835,2564,346,172,49.7%
836,2568,485,175,36.1%
837,6712,"1,258",550,43.7%
838,6293,"1,239",471,38.0%
839,2563,383,197,51.4%
840,2570,456,235,51.5%
841,7294,975,777,79.7%
842,2003,545,506,92.8%
843,2026,991,835,84.3%
844,2004,529,462,87.3%
845,2022,620,526,84.8%
846,2001,606,458,75.6%
847,2009,601,437,72.7%
848,2011,524,439,83.8%
849,2021,585,446,76.2%
850,2013,441,375,85.0%
851,2016,581,500,86.1%
852,7515,789,319,40.4%
853,2018,502,410,81.7%
854,7035,781,707,90.5%
855,2024,633,489,77.3%
856,2027,685,549,80.1%
857,6959,629,552,87.8%
858,2025,737,651,88.3%
859,5045,770,381,49.5%
860,8163,308,308,100.0%
861,7665,"1,383","1,244",89.9%
862,8216,110,95,86.4%
863,7564,468,365,78.0%
864,0735,108,73,67.6%
865,7006,458,276,60.3%
866,7897,463,256,55.3%
867,7898,302,190,62.9%
868,7866,97,3,3.1%
869,8325,465,261,56.1%
870,0787,652,174,26.7%
871,0788,"1,388",327,23.6%
872,6731,338,108,32.0%
873,0786,459,147,32.0%
874,0783,573,130,22.7%
875,7755,637,171,26.8%
876,6270,346,92,26.6%
877,6269,369,87,23.6%
878,7322,338,75,22.2%
879,7466,599,127,21.2%
880,6737,497,79,15.9%
881,2032,510,96,18.8%
882,6826,228,104,45.6%
883,7508,111,39,35.1%
884,2201,160,52,32.5%
885,7119,407,407,100.0%
886,5248,318,318,100.0%
887,4842,583,411,70.5%
888,7746,164,122,74.4%
889,1225,318,209,65.7%
890,1223,361,260,72.0%
891,7744,"1,497","1,282",85.6%
892,0791,236,80,33.9%
893,6311,846,241,28.5%
894,5023,848,211,24.9%
895,0860,186,53,28.5%
896,8057,485,145,29.9%
897,7857,481,245,50.9%
898,5016,748,398,53.2%
899,6840,194,97,50.0%
900,2246,165,87,52.7%
901,6160,73,45,61.6%
902,6159,104,64,61.5%
903,6701,162,100,61.7%
904,6161,122,67,54.9%
905,6420,437,270,61.8%
906,6419,369,200,54.2%
907,6899,"1,017",515,50.6%
908,1191,455,244,53.6%
909,1287,425,231,54.4%
910,7187,576,230,39.9%
911,4242,491,179,36.5%
912,5328,499,237,47.5%
913,2037,661,299,45.2%
914,5226,138,66,47.8%
915,2036,422,180,42.7%
916,2035,393,210,53.4%
917,0147,990,188,19.0%
918,0149,355,13,3.7%
919,0156,"1,413",240,17.0%
920,6780,326,39,12.0%
921,0153,415,168,40.5%
922,0461,725,93,12.8%
923,4667,415,300,72.3%
924,4106,602,273,45.3%
925,6984,323,163,50.5%
926,4101,302,147,48.7%
927,4102,85,33,38.8%
928,6166,238,113,47.5%
929,5119,398,153,38.4%
930,7602,855,145,17.0%
931,4360,"1,220",189,15.5%
932,7163,611,111,18.2%
933,4354,240,34,14.2%
934,4357,602,75,12.5%
935,8123,910,481,52.9%
936,7666,"1,209",746,61.7%
937,6687,90,39,43.3%
938,6686,509,163,32.0%
939,2126,350,152,43.4%
940,7176,297,124,41.8%
941,8150,783,783,100.0%
942,7052,321,141,43.9%
943,7050,199,110,55.3%
944,7865,228,99,43.4%
945,6564,216,88,40.7%
946,6563,462,173,37.4%
947,0591,517,111,21.5%
948,0593,279,82,29.4%
949,0594,614,194,31.6%
950,0590,129,33,25.6%
951,0592,317,131,41.3%
952,7586,983,828,84.2%
953,7192,154,82,53.2%
954,6223,343,222,64.7%
955,7714,539,33,6.1%
956,6506,695,43,6.2%
957,7486,696,58,8.3%
958,1869,"1,567",116,7.4%
959,7313,"1,251",105,8.4%
960,0161,321,172,53.6%
961,0157,247,111,44.9%
962,0167,521,215,41.3%
963,0170,"1,208",449,37.2%
964,0169,506,226,44.7%
965,5191,338,131,38.8%
966,0165,289,87,30.1%
967,2038,402,136,33.8%
968,2040,743,208,28.0%
969,5225,679,242,35.6%
970,2039,349,144,41.3%
971,8176,394,189,48.0%
