,school number,total enrollment,low income enrollment,percent of enrollment from low income families
82,2725.0,798,122,15.3%
83,2724.0,371,77,20.8%
84,2723.0,188,36,19.1%
85,2722.0,208,59,28.4%
86,820.0,497,180,36.2%
87,5205.0,430,163,37.9%
88,7838.0,135,44,32.6%
89,8031.0,724,684,94.5%
90,7787.0,653,314,48.1%
91,2320.0,459,178,38.8%
92,6570.0,369,168,45.5%
93,9999.0,423,0,0.0%
94,569.0,240,125,52.1%
95,6574.0,284,98,34.5%
96,6575.0,763,265,34.7%
97,6572.0,391,179,45.8%
98,596.0,667,221,33.1%
99,580.0,178,81,45.5%
100,5002.0,764,374,49.0%
101,6577.0,368,150,40.8%
102,7896.0,522,249,47.7%
103,7895.0,669,324,48.4%
104,7640.0,769,298,38.8%
105,958.0,560,171,30.5%
106,4918.0,595,283,47.6%
107,972.0,161,81,50.3%
108,6732.0,333,124,37.2%
109,6362.0,109,50,45.9%
110,7211.0,351,152,43.3%
111,952.0,171,95,55.6%
112,6221.0,96,53,55.2%
113,6222.0,113,47,41.6%
114,4165.0,308,106,34.4%
115,7098.0,326,127,39.0%
116,7721.0,"1,353",129,9.5%
117,1367.0,"1,815",155,8.5%
118,1365.0,"1,645",217,13.2%
119,5216.0,915,105,11.5%
120,7323.0,"1,055",159,15.1%
121,34.0,704,59,8.4%
122,5199.0,395,50,12.7%
123,7669.0,308,39,12.7%
124,9999.0,336,17,5.1%
125,1335.0,805,203,25.2%
126,1333.0,127,25,19.7%
127,1334.0,239,58,24.3%
128,1331.0,184,37,20.1%
129,1330.0,519,131,25.2%
130,50.0,"1,483",357,24.1%
131,6787.0,966,331,34.3%
132,37.0,353,86,24.4%
133,5194.0,705,287,40.7%
134,48.0,684,209,30.6%
135,3434.0,"1,126",330,29.3%
136,5257.0,536,189,35.3%
137,7301.0,509,197,38.7%
138,5099.0,581,203,34.9%
139,3430.0,595,245,41.2%
140,7827.0,419,144,34.4%
141,7847.0,79,28,35.4%
142,7386.0,303,59,19.5%
143,640.0,665,85,12.8%
144,8065.0,409,66,16.1%
145,7823.0,614,125,20.4%
146,6985.0,605,270,44.6%
147,9999.0,181,45,24.9%
148,7545.0,799,342,42.8%
149,7021.0,447,176,39.4%
150,726.0,615,206,33.5%
151,742.0,226,99,43.8%
152,741.0,170,100,58.8%
153,7096.0,858,322,37.5%
154,4930.0,915,228,24.9%
155,4329.0,339,122,36.0%
156,4328.0,590,245,41.5%
157,4325.0,581,157,27.0%
158,4330.0,323,78,24.1%
159,1343.0,"1,004",249,24.8%
160,1342.0,610,164,26.9%
161,1341.0,414,180,43.5%
162,1339.0,241,47,19.5%
163,1340.0,376,100,26.6%
164,6229.0,267,108,40.4%
165,7144.0,405,132,32.6%
166,917.0,434,102,23.5%
167,914.0,476,171,35.9%
168,7557.0,122,113,92.6%
169,7750.0,419,353,84.2%
170,5211.0,529,185,35.0%
171,4675.0,391,245,62.7%
172,5116.0,"1,943",649,33.4%
173,6451.0,428,166,38.8%
174,1006.0,551,200,36.3%
175,7030.0,571,236,41.3%
176,6896.0,508,115,22.6%
177,1008.0,502,283,56.4%
178,6788.0,642,164,25.5%
179,1594.0,379,175,46.2%
180,1595.0,332,114,34.3%
181,7987.0,449,188,41.9%
182,7988.0,367,124,33.8%
183,4188.0,372,92,24.7%
184,6304.0,988,212,21.5%
185,7068.0,849,220,25.9%
186,9999.0,240,75,31.3%
187,6206.0,310,142,45.8%
188,7645.0,309,117,37.9%
189,6207.0,282,99,35.1%
190,7302.0,782,253,32.4%
191,3.0,624,109,17.5%
192,6921.0,665,191,28.7%
193,1605.0,969,360,37.2%
194,6808.0,795,345,43.4%
195,1602.0,239,115,48.1%
196,6349.0,257,87,33.9%
197,1604.0,390,220,56.4%
198,1597.0,434,213,49.1%
199,4802.0,344,32,9.3%
200,7326.0,420,35,8.3%
201,55.0,330,34,10.3%
202,62.0,"1,751",114,6.5%
203,4902.0,301,15,5.0%
204,61.0,760,71,9.3%
205,7327.0,682,91,13.3%
206,60.0,184,16,8.7%
207,5286.0,"1,227",511,41.6%
208,5063.0,429,45,10.5%
209,3464.0,573,457,79.8%
210,3436.0,293,143,48.8%
211,3453.0,381,193,50.7%
212,6722.0,451,379,84.0%
213,4956.0,"1,140",325,28.5%
214,3456.0,529,53,10.0%
215,6723.0,653,512,78.4%
216,4957.0,"1,993",696,34.9%
217,3458.0,394,299,75.9%
218,3449.0,430,147,34.2%
219,3459.0,263,9,3.4%
220,3442.0,271,119,43.9%
221,3465.0,"3,012","1,374",45.6%
222,3443.0,420,286,68.1%
223,3454.0,340,311,91.5%
224,3455.0,516,94,18.2%
225,3463.0,862,256,29.7%
226,3462.0,835,536,64.2%
227,3452.0,531,136,25.6%
228,6633.0,280,164,58.6%
229,6634.0,240,139,57.9%
230,6975.0,632,272,43.0%
231,5267.0,322,125,38.8%
232,4181.0,408,124,30.4%
233,649.0,562,331,58.9%
234,648.0,356,249,69.9%
235,650.0,343,223,65.0%
236,642.0,491,370,75.4%
237,1677.0,989,169,17.1%
238,6326.0,722,171,23.7%
239,7951.0,276,65,23.6%
240,1676.0,340,104,30.6%
241,7355.0,416,125,30.0%
242,1675.0,202,55,27.2%
243,6707.0,"1,073",221,20.6%
244,7127.0,565,159,28.1%
245,6558.0,388,88,22.7%
246,6559.0,331,83,25.1%
247,6560.0,200,18,9.0%
248,6828.0,341,189,55.4%
249,5135.0,326,158,48.5%
250,7418.0,458,224,48.9%
251,2317.0,275,120,43.6%
252,4706.0,418,154,36.8%
253,2352.0,356,176,49.4%
254,2353.0,369,152,41.2%
255,1610.0,117,48,41.0%
256,1612.0,477,160,33.5%
257,1611.0,404,165,40.8%
258,1606.0,435,239,54.9%
259,1608.0,254,97,38.2%
260,4659.0,709,137,19.3%
261,7419.0,252,67,26.6%
262,3891.0,977,145,14.8%
263,5263.0,683,127,18.6%
264,3887.0,311,67,21.5%
265,6891.0,511,303,59.3%
266,4034.0,377,165,43.8%
267,7400.0,257,145,56.4%
268,6804.0,864,88,10.2%
269,6305.0,802,144,18.0%
270,6306.0,"1,644",211,12.8%
271,6307.0,666,110,16.5%
272,762.0,342,87,25.4%
273,763.0,298,45,15.1%
274,754.0,693,74,10.7%
275,755.0,709,49,6.9%
276,761.0,310,71,22.9%
277,766.0,662,80,12.1%
278,7981.0,368,318,86.4%
279,4691.0,941,288,30.6%
280,3092.0,556,263,47.3%
281,7037.0,631,340,53.9%
282,7281.0,553,268,48.5%
283,6308.0,613,82,13.4%
284,6309.0,576,117,20.3%
285,768.0,372,68,18.3%
286,8111.0,211,51,24.2%
287,7342.0,284,105,37.0%
288,70.0,439,125,28.5%
289,69.0,311,127,40.8%
290,68.0,204,60,29.4%
291,1014.0,350,205,58.6%
292,1013.0,746,448,60.1%
293,7743.0,193,121,62.7%
294,5305.0,496,226,45.6%
295,1021.0,506,294,58.1%
296,1015.0,490,259,52.9%
297,1017.0,434,214,49.3%
298,1020.0,356,170,47.8%
299,1018.0,309,140,45.3%
300,1023.0,398,264,66.3%
301,1024.0,336,207,61.6%
302,1022.0,353,183,51.8%
303,1027.0,513,284,55.4%
304,1029.0,"1,673",791,47.3%
305,1025.0,349,150,43.0%
306,5148.0,565,268,47.4%
307,2362.0,490,186,38.0%
308,6162.0,760,271,35.7%
309,5231.0,483,235,48.7%
310,6163.0,124,62,50.0%
311,2368.0,239,113,47.3%
312,4818.0,600,330,55.0%
313,2154.0,467,303,64.9%
314,2153.0,269,138,51.3%
315,4725.0,211,97,46.0%
316,5145.0,387,228,58.9%
317,9999.0,"1,078",194,18.0%
318,7670.0,176,0,0.0%
319,1030.0,"1,359",176,13.0%
320,7477.0,580,228,39.3%
321,4195.0,835,267,32.0%
322,4333.0,467,130,27.8%
323,4340.0,627,145,23.1%
324,4339.0,463,122,26.3%
325,4336.0,368,85,23.1%
326,1135.0,267,210,78.7%
327,6690.0,"1,323",334,25.2%
328,6119.0,"1,208",360,29.8%
329,1147.0,"1,330",232,17.4%
330,1137.0,222,157,70.7%
331,1148.0,719,130,18.1%
332,1149.0,206,64,31.1%
333,1150.0,283,54,19.1%
334,1134.0,409,185,45.2%
335,1138.0,483,101,20.9%
336,1143.0,431,88,20.4%
337,1142.0,409,129,31.5%
338,1165.0,293,76,25.9%
339,1184.0,256,68,26.6%
340,6999.0,871,209,24.0%
341,7290.0,619,210,33.9%
342,7221.0,343,124,36.2%
343,8051.0,128,46,35.9%
344,6939.0,156,54,34.6%
345,4203.0,310,101,32.6%
346,7347.0,622,222,35.7%
347,1199.0,341,97,28.4%
348,5212.0,516,141,27.3%
349,1299.0,396,171,43.2%
350,1298.0,367,208,56.7%
351,7509.0,286,18,6.3%
352,1682.0,367,19,5.2%
353,1678.0,257,27,10.5%
354,1680.0,262,14,5.3%
355,4211.0,294,23,7.8%
356,4217.0,"1,484",316,21.3%
357,7217.0,738,156,21.1%
358,4205.0,246,46,18.7%
359,7216.0,381,78,20.5%
360,4207.0,264,98,37.1%
361,4938.0,209,43,20.6%
362,4210.0,225,24,10.7%
363,7764.0,346,63,18.2%
364,4937.0,453,128,28.3%
365,4214.0,198,38,19.2%
366,5303.0,545,285,52.3%
367,988.0,493,222,45.0%
368,9999.0,239,71,29.7%
369,4870.0,336,91,27.1%
370,9999.0,578,329,56.9%
371,2420.0,641,321,50.1%
372,7457.0,908,580,63.9%
373,7577.0,276,221,80.1%
374,5109.0,675,238,35.3%
375,1692.0,409,139,34.0%
376,1694.0,"1,493",346,23.2%
377,1689.0,487,100,20.5%
378,1691.0,342,192,56.1%
379,7011.0,524,134,25.6%
380,1683.0,243,140,57.6%
381,1690.0,300,61,20.3%
382,1686.0,253,106,41.9%
383,1687.0,202,14,6.9%
384,7010.0,529,175,33.1%
385,79.0,641,220,34.3%
386,77.0,449,262,58.4%
387,78.0,367,143,39.0%
388,7315.0,670,336,50.1%
389,7112.0,395,163,41.3%
390,2797.0,519,208,40.1%
391,2798.0,513,137,26.7%
392,6593.0,583,243,41.7%
393,1039.0,338,66,19.5%
394,7271.0,677,152,22.5%
395,1034.0,381,103,27.0%
396,7274.0,690,178,25.8%
397,1038.0,382,65,17.0%
398,5007.0,672,299,44.5%
399,4676.0,419,38,9.1%
400,1040.0,"1,919",398,20.7%
401,5210.0,485,158,32.6%
402,7292.0,597,140,23.5%
403,7293.0,564,126,22.3%
404,7860.0,600,108,18.0%
405,7726.0,139,71,51.1%
406,4683.0,539,101,18.7%
407,7796.0,903,44,4.9%
408,1044.0,545,16,2.9%
409,1081.0,789,60,7.6%
410,5133.0,"1,589",40,2.5%
411,7790.0,"1,801",92,5.1%
412,1043.0,"1,482",103,7.0%
413,7435.0,889,11,1.2%
414,4852.0,515,40,7.8%
415,1048.0,582,25,4.3%
416,7653.0,"1,079",114,10.6%
417,5307.0,"1,185",37,3.1%
418,7520.0,745,29,3.9%
419,1047.0,590,17,2.9%
420,1041.0,823,53,6.4%
421,1057.0,489,42,8.6%
422,7654.0,"1,169",42,3.6%
423,5306.0,559,50,8.9%
424,1042.0,"1,000",90,9.0%
425,1131.0,626,53,8.5%
426,7715.0,"1,111",73,6.6%
427,4678.0,935,51,5.5%
428,1132.0,491,33,6.7%
429,6646.0,539,177,32.8%
430,1208.0,595,174,29.2%
431,1202.0,392,129,32.9%
432,1205.0,268,110,41.0%
433,7201.0,734,143,19.5%
434,5390.0,628,153,24.4%
435,1619.0,624,90,14.4%
436,1744.0,613,312,50.9%
437,1746.0,"1,511",633,41.9%
438,7820.0,721,111,15.4%
439,1745.0,"1,831",215,11.7%
440,1812.0,189,42,22.2%
441,7306.0,228,70,30.7%
442,1777.0,382,58,15.2%
443,6783.0,656,136,20.7%
444,1791.0,298,46,15.4%
445,1782.0,351,51,14.5%
446,1781.0,573,128,22.3%
447,1795.0,237,111,46.8%
448,1778.0,664,85,12.8%
449,1779.0,316,152,48.1%
450,1811.0,309,140,45.3%
451,1780.0,561,308,54.9%
452,1742.0,499,229,45.9%
453,5320.0,367,215,58.6%
454,1817.0,395,37,9.4%
455,2248.0,508,205,40.4%
456,6252.0,244,71,29.1%
457,7734.0,202,77,38.1%
458,6010.0,490,205,41.8%
459,2269.0,106,34,32.1%
460,7476.0,809,378,46.7%
461,5118.0,681,239,35.1%
462,9999.0,63,43,68.3%
463,4967.0,639,266,41.6%
464,7720.0,134,52,38.8%
465,5094.0,505,177,35.0%
466,9999.0,334,0,0.0%
467,8043.0,423,79,18.7%
468,8044.0,622,88,14.1%
469,8045.0,457,99,21.7%
470,8042.0,324,131,40.4%
471,8046.0,507,144,28.4%
472,6172.0,"1,087",433,39.8%
473,4545.0,"1,667",308,18.5%
474,4544.0,882,179,20.3%
475,4537.0,649,195,30.0%
476,4540.0,565,156,27.6%
477,4539.0,521,49,9.4%
478,7696.0,748,125,16.7%
479,5088.0,555,156,28.1%
480,7552.0,102,31,30.4%
481,8047.0,510,358,70.2%
482,2192.0,265,170,64.2%
483,6615.0,"1,334",541,40.6%
484,2191.0,"1,767",444,25.1%
485,2193.0,122,38,31.1%
486,4825.0,268,70,26.1%
487,2190.0,"1,290",460,35.7%
488,6273.0,500,219,43.8%
489,2208.0,244,111,45.5%
490,2215.0,257,71,27.6%
491,6274.0,521,186,35.7%
492,2225.0,205,74,36.1%
493,6276.0,135,44,32.6%
494,2212.0,120,50,41.7%
495,2209.0,408,98,24.0%
496,2216.0,290,88,30.3%
497,2196.0,249,225,90.4%
498,7258.0,694,334,48.1%
499,4715.0,530,169,31.9%
500,7157.0,385,174,45.2%
501,7578.0,574,377,65.7%
502,6706.0,"1,132",221,19.5%
503,7415.0,767,211,27.5%
504,94.0,772,208,26.9%
505,7445.0,740,149,20.1%
506,4234.0,571,147,25.7%
507,4235.0,552,168,30.4%
508,5250.0,696,115,16.5%
509,3250.0,403,93,23.1%
510,3260.0,"1,458",153,10.5%
511,3257.0,660,109,16.5%
512,3256.0,342,62,18.1%
513,3252.0,395,48,12.2%
514,3255.0,387,49,12.7%
515,7514.0,58,53,91.4%
516,7539.0,"2,484","2,211",89.0%
517,9999.0,"1,903",275,14.5%
518,8022.0,141,102,72.3%
519,6492.0,"1,302",862,66.2%
520,8023.0,176,127,72.2%
521,8020.0,245,203,82.9%
522,6491.0,828,669,80.8%
523,1958.0,365,323,88.5%
524,1829.0,268,221,82.5%
525,8021.0,541,401,74.1%
526,1842.0,560,459,82.0%
527,730.0,436,175,40.1%
528,729.0,489,211,43.1%
529,732.0,494,172,34.8%
530,731.0,257,119,46.3%
531,1843.0,252,96,38.1%
532,7276.0,"1,001",521,52.0%
533,1849.0,"1,140",453,39.7%
534,5322.0,391,118,30.2%
535,1847.0,300,200,66.7%
536,1893.0,275,208,75.6%
537,7575.0,778,513,65.9%
538,7727.0,575,367,63.8%
539,7371.0,377,346,91.8%
540,8094.0,360,313,86.9%
541,5217.0,439,143,32.6%
542,1475.0,402,83,20.6%
543,6909.0,340,166,48.8%
544,1480.0,522,153,29.3%
545,1479.0,499,201,40.3%
546,7374.0,490,283,57.8%
547,921.0,418,219,52.4%
548,1507.0,145,81,55.9%
549,1521.0,133,82,61.7%
550,6236.0,891,390,43.8%
551,6649.0,806,442,54.8%
552,7537.0,461,268,58.1%
553,7761.0,78,55,70.5%
554,5276.0,352,165,46.9%
555,1376.0,594,248,41.8%
556,5012.0,"2,161",780,36.1%
557,1374.0,367,122,33.2%
558,1377.0,389,125,32.1%
559,7989.0,113,54,47.8%
560,1375.0,557,137,24.6%
561,6473.0,473,152,32.1%
562,1370.0,693,352,50.8%
563,7334.0,530,208,39.2%
564,7767.0,394,204,51.8%
565,6474.0,618,249,40.3%
566,2510.0,425,107,25.2%
567,6289.0,764,164,21.5%
568,6290.0,"1,143",187,16.4%
569,2506.0,464,126,27.2%
570,5053.0,440,123,28.0%
571,2508.0,103,15,14.6%
572,7628.0,"1,460",360,24.7%
573,9999.0,789,234,29.7%
574,7143.0,683,111,16.3%
575,5077.0,"1,026",178,17.3%
576,3261.0,152,66,43.4%
577,4711.0,462,56,12.1%
578,3333.0,"1,579",256,16.2%
579,3332.0,349,23,6.6%
580,3411.0,420,25,6.0%
581,2515.0,608,320,52.6%
582,7056.0,448,349,77.9%
583,2514.0,307,155,50.5%
584,5178.0,658,225,34.2%
585,6122.0,287,117,40.8%
586,7450.0,270,129,47.8%
587,7774.0,"3,652","1,760",48.2%
588,7510.0,"1,207",723,59.9%
589,3977.0,334,155,46.4%
590,3978.0,519,187,36.0%
591,3976.0,162,71,43.8%
592,5213.0,349,174,49.9%
593,5136.0,419,171,40.8%
594,1218.0,206,100,48.5%
595,2517.0,480,95,19.8%
596,2531.0,674,186,27.6%
597,2532.0,"1,253",353,28.2%
598,5113.0,582,166,28.5%
599,2522.0,442,143,32.4%
600,2521.0,643,221,34.4%
601,6268.0,561,175,31.2%
602,7822.0,909,340,37.4%
603,6267.0,586,243,41.5%
604,6898.0,613,203,33.1%
605,17.0,"1,355",337,24.9%
606,7110.0,437,259,59.3%
607,1637.0,454,169,37.2%
608,6132.0,468,232,49.6%
609,6133.0,359,193,53.8%
610,1639.0,371,193,52.0%
611,1644.0,457,245,53.6%
612,6643.0,529,355,67.1%
613,2097.0,455,227,49.9%
614,5047.0,253,142,56.1%
615,5228.0,978,401,41.0%
616,2105.0,722,386,53.5%
617,2113.0,498,271,54.4%
618,2103.0,131,83,63.4%
619,2107.0,237,141,59.5%
620,5048.0,657,334,50.8%
621,4819.0,288,153,53.1%
622,2172.0,306,200,65.4%
623,4939.0,371,303,81.7%
624,7284.0,572,101,17.7%
625,777.0,"1,025",238,23.2%
626,7651.0,875,252,28.8%
627,5203.0,426,119,27.9%
628,6944.0,352,232,65.9%
629,8087.0,340,191,56.2%
630,4800.0,"1,538",311,20.2%
631,6301.0,"1,137",295,25.9%
632,6302.0,511,69,13.5%
633,2728.0,621,151,24.3%
634,2729.0,476,137,28.8%
635,7300.0,391,152,38.9%
636,1997.0,241,119,49.4%
637,1994.0,218,87,39.9%
638,1998.0,834,430,51.6%
639,7793.0,381,219,57.5%
640,7935.0,514,343,66.7%
641,6141.0,140,78,55.7%
642,3868.0,488,210,43.0%
643,3869.0,390,111,28.5%
644,1088.0,673,20,3.0%
645,5096.0,"2,213",45,2.0%
646,7749.0,"2,088",54,2.6%
647,1086.0,824,26,3.2%
648,7208.0,536,22,4.1%
649,4680.0,464,19,4.1%
650,6833.0,708,35,4.9%
651,7657.0,680,14,2.1%
652,7432.0,650,20,3.1%
653,6453.0,840,11,1.3%
654,1087.0,491,13,2.6%
655,6454.0,453,12,2.6%
656,5308.0,404,21,5.2%
657,1130.0,784,7,0.9%
658,1133.0,344,4,1.2%
659,4098.0,604,207,34.3%
660,6595.0,449,177,39.4%
661,4095.0,79,30,38.0%
662,4094.0,69,33,47.8%
663,5037.0,466,146,31.3%
664,1632.0,409,129,31.5%
665,1645.0,236,145,61.4%
666,1651.0,323,168,52.0%
667,1654.0,"1,034",342,33.1%
668,1653.0,472,196,41.5%
669,1650.0,373,155,41.6%
670,6135.0,262,229,87.4%
671,7194.0,467,166,35.5%
672,5179.0,520,226,43.5%
673,2860.0,"1,064",194,18.2%
674,7655.0,469,102,21.7%
675,2858.0,708,137,19.4%
676,5341.0,797,112,14.1%
677,7624.0,101,95,94.1%
678,1701.0,"2,525",223,8.8%
679,6714.0,929,139,15.0%
680,4849.0,920,76,8.3%
681,1700.0,435,51,11.7%
682,5020.0,641,51,8.0%
683,1697.0,365,92,25.2%
684,1698.0,318,46,14.5%
685,1696.0,557,28,5.0%
686,1699.0,478,63,13.2%
687,1695.0,538,83,15.4%
688,5277.0,918,104,11.3%
689,6238.0,490,217,44.3%
690,1529.0,569,200,35.1%
691,6613.0,94,47,50.0%
692,2868.0,651,114,17.5%
693,5150.0,687,131,19.1%
694,2869.0,841,112,13.3%
695,7596.0,550,124,22.5%
696,6598.0,"1,380",285,20.7%
697,4553.0,"1,896",250,13.2%
698,4546.0,260,75,28.8%
699,4701.0,256,31,12.1%
700,4547.0,623,80,12.8%
701,4551.0,801,188,23.5%
702,4549.0,728,159,21.8%
703,7729.0,696,63,9.1%
704,7272.0,463,154,33.3%
705,4810.0,"1,251",176,14.1%
706,7544.0,897,154,17.2%
707,8007.0,671,100,14.9%
708,3424.0,505,125,24.8%
709,3425.0,720,121,16.8%
710,8059.0,228,91,39.9%
711,4833.0,516,152,29.5%
712,8060.0,198,58,29.3%
713,8061.0,154,65,42.2%
714,5278.0,814,218,26.8%
715,511.0,436,86,19.7%
716,513.0,641,152,23.7%
717,7595.0,442,96,21.7%
718,6695.0,447,110,24.6%
719,7058.0,383,63,16.4%
720,7057.0,627,162,25.8%
721,9999.0,741,88,11.9%
722,7671.0,637,593,93.1%
723,7162.0,589,171,29.0%
724,5261.0,"1,870",423,22.6%
725,3865.0,409,100,24.4%
726,3864.0,653,208,31.9%
727,7408.0,657,187,28.5%
728,7625.0,631,181,28.7%
729,3866.0,651,132,20.3%
730,4351.0,570,253,44.4%
731,4352.0,830,304,36.6%
732,6927.0,709,331,46.7%
733,4344.0,106,51,48.1%
734,4346.0,119,58,48.7%
735,7731.0,499,67,13.4%
736,4801.0,"1,161",115,9.9%
737,7186.0,540,85,15.7%
738,6678.0,829,108,13.0%
739,1749.0,522,84,16.1%
740,7775.0,562,359,63.9%
741,8011.0,171,1,0.6%
742,7165.0,581,208,35.8%
743,2539.0,881,211,24.0%
744,7786.0,659,255,38.7%
745,6291.0,237,61,25.7%
746,5234.0,307,102,33.2%
747,4554.0,329,106,32.2%
748,4558.0,"1,079",273,25.3%
749,6283.0,602,176,29.2%
750,4555.0,121,31,25.6%
751,4557.0,514,153,29.8%
752,7555.0,535,171,32.0%
753,4556.0,502,186,37.1%
754,1391.0,423,55,13.0%
755,7266.0,493,40,8.1%
756,1431.0,383,5,1.3%
757,7517.0,"1,346",79,5.9%
758,7759.0,"1,969",80,4.1%
759,1387.0,"1,661",72,4.3%
760,5011.0,636,86,13.5%
761,6476.0,613,32,5.2%
762,7516.0,"1,490",80,5.4%
763,1432.0,653,0,0.0%
764,7265.0,548,14,2.6%
765,7990.0,496,11,2.2%
766,6621.0,562,10,1.8%
767,6477.0,550,10,1.8%
768,7550.0,208,177,85.1%
769,2385.0,347,199,57.3%
770,1541.0,997,433,43.4%
771,6156.0,"1,246",419,33.6%
772,6919.0,128,85,66.4%
773,6157.0,378,146,38.6%
774,1530.0,146,79,54.1%
775,1532.0,372,138,37.1%
776,1540.0,91,57,62.6%
777,2389.0,75,36,48.0%
778,6918.0,334,213,63.8%
779,6591.0,869,226,26.0%
780,2429.0,502,75,14.9%
781,7712.0,252,52,20.6%
782,7908.0,436,436,100.0%
783,7109.0,1,1,100.0%
784,7991.0,159,93,58.5%
785,5193.0,683,292,42.8%
786,542.0,404,224,55.4%
787,7926.0,655,362,55.3%
788,3021.0,204,83,40.7%
789,3018.0,156,28,17.9%
790,6364.0,803,223,27.8%
791,3019.0,439,146,33.3%
792,2799.0,549,108,19.7%
793,2809.0,"2,634",360,13.7%
794,7560.0,791,67,8.5%
795,2808.0,283,72,25.4%
796,2802.0,430,112,26.0%
797,2803.0,366,13,3.6%
798,7559.0,"1,049",256,24.4%
799,2804.0,513,77,15.0%
800,5239.0,714,41,5.7%
801,4827.0,669,103,15.4%
802,5220.0,844,211,25.0%
803,1707.0,882,193,21.9%
804,1705.0,577,145,25.1%
805,4850.0,533,148,27.8%
806,7536.0,616,362,58.8%
807,8016.0,787,357,45.4%
808,7641.0,"1,315",667,50.7%
809,6935.0,"1,501",656,43.7%
810,3204.0,352,197,56.0%
811,7366.0,"1,036",492,47.5%
812,7642.0,874,488,55.8%
813,3201.0,615,334,54.3%
814,7411.0,590,289,49.0%
815,3202.0,331,139,42.0%
816,4822.0,472,60,12.7%
817,2552.0,601,166,27.6%
818,2500.0,465,111,23.9%
819,7209.0,468,125,26.7%
820,2554.0,"1,139",239,21.0%
821,4707.0,575,189,32.9%
822,6612.0,555,134,24.1%
823,2740.0,776,129,16.6%
824,6611.0,278,90,32.4%
825,2735.0,303,45,14.9%
826,2739.0,300,100,33.3%
827,2738.0,246,31,12.6%
828,8127.0,118,69,58.5%
829,6174.0,564,227,40.2%
830,4559.0,413,160,38.7%
831,4564.0,748,149,19.9%
832,7439.0,594,164,27.6%
833,6285.0,398,146,36.7%
834,4563.0,387,117,30.2%
835,4915.0,545,377,69.2%
836,3482.0,"2,927","1,049",35.8%
837,7008.0,"1,407",579,41.2%
838,6925.0,"1,359",510,37.5%
839,3477.0,419,50,11.9%
840,3478.0,316,171,54.1%
841,3473.0,563,115,20.4%
842,5350.0,674,485,72.0%
843,8058.0,582,78,13.4%
844,5064.0,401,50,12.5%
845,136.0,282,49,17.4%
846,4804.0,616,175,28.4%
847,144.0,971,237,24.4%
848,8115.0,176,53,30.1%
849,142.0,203,63,31.0%
850,139.0,340,154,45.3%
851,2555.0,288,49,17.0%
852,2561.0,593,137,23.1%
853,6862.0,890,174,19.6%
854,2562.0,"1,367",169,12.4%
855,2557.0,127,14,11.0%
856,2558.0,288,49,17.0%
