,aun,records,compensation,netprofits,miscellaneousincome,dividends&interest,outofstatetaxrecords,outofstatetaxcredit,outofstateincome(calculated),totalpersonalincome,adjustedpersonalincome
99,117083004.0,2584.0,89848277.0,15346288.0,17468111.0,4066194.0,430.0,625815.0,20384853.0,126728870.0,106344017.0
100,117086003.0,3738.0,163266779.0,7567908.0,6532283.0,5430168.0,821.0,1078191.0,35120228.0,182797138.0,147676910.0
101,117086503.0,4983.0,184293006.0,21249943.0,24772732.0,10551985.0,254.0,390577.0,12722378.0,240867666.0,228145288.0
102,117086653.0,4662.0,172372616.0,13841694.0,40891364.0,8890773.0,784.0,1136817.0,37029870.0,235996447.0,198966577.0
103,117089003.0,4323.0,159133802.0,19690358.0,78137232.0,8612681.0,97.0,119662.0,3897785.0,265574073.0,261676288.0
104,122091002.0,32822.0,1696833915.0,157867357.0,62478272.0,51770146.0,679.0,1095538.0,35685277.0,1968949690.0,1933264413.0
105,122091303.0,4871.0,205282301.0,10927440.0,5194043.0,4037006.0,61.0,66260.0,2158306.0,225440790.0,223282484.0
106,122091352.0,26204.0,1188069603.0,61508184.0,24670787.0,17779589.0,324.0,517619.0,16860554.0,1292028163.0,1275167609.0
107,122092002.0,26114.0,1351727460.0,134046498.0,66924277.0,94918233.0,366.0,591549.0,19268697.0,1647616468.0,1628347771.0
108,122092102.0,59116.0,5335250268.0,801415739.0,508530041.0,340105576.0,1954.0,6219845.0,202600814.0,6985301624.0,6782700810.0
109,122092353.0,36522.0,3837147786.0,926279493.0,743968324.0,345410104.0,2235.0,16392325.0,533951954.0,5852805707.0,5318853753.0
110,122097203.0,5354.0,265488010.0,20045385.0,5733512.0,7570575.0,206.0,342977.0,11171889.0,298837482.0,287665593.0
111,122097502.0,35276.0,2192587528.0,241510094.0,120207770.0,103296346.0,904.0,2344881.0,76380489.0,2657601738.0,2581221249.0
112,122097604.0,6334.0,776312193.0,286367606.0,245815597.0,128489379.0,602.0,4823868.0,157129251.0,1436984775.0,1279855524.0
113,122098003.0,7864.0,469222018.0,100256250.0,75365094.0,50776975.0,318.0,1097092.0,35735896.0,695620337.0,659884441.0
114,122098103.0,25506.0,1670773051.0,212360977.0,115011402.0,83427212.0,427.0,928274.0,30236938.0,2081572642.0,2051335704.0
115,122098202.0,34267.0,2833122265.0,349761764.0,222310797.0,186491728.0,1770.0,7690503.0,250504984.0,3591686554.0,3341181570.0
116,122098403.0,18303.0,1028372218.0,96811165.0,44126084.0,38199087.0,214.0,314784.0,10253550.0,1207508554.0,1197255004.0
117,104101252.0,27230.0,1151726741.0,96362358.0,71416997.0,51225410.0,122.0,225109.0,7332541.0,1370731506.0,1363398965.0
118,104103603.0,4512.0,190449309.0,11482146.0,12227988.0,6951357.0,16.0,18433.0,600423.0,221110800.0,220510377.0
119,104105003.0,11663.0,1076921009.0,156620956.0,82696986.0,73327002.0,247.0,688509.0,22427003.0,1389565953.0,1367138950.0
120,104105353.0,4225.0,176573595.0,13560242.0,9548104.0,5129253.0,20.0,13963.0,454821.0,204811194.0,204356373.0
121,104107903.0,25974.0,2053920944.0,187779986.0,115658196.0,90705565.0,394.0,1177351.0,38350195.0,2448064691.0,2409714496.0
122,104107503.0,8042.0,351872027.0,32851257.0,25266604.0,17822165.0,61.0,94610.0,3081759.0,427812053.0,424730294.0
123,104107803.0,9227.0,457966442.0,75643448.0,52228790.0,33927452.0,76.0,206069.0,6712345.0,619766132.0,613053787.0
124,108110603.0,2210.0,79069051.0,3150765.0,1157181.0,1163915.0,10.0,14384.0,468534.0,84540912.0,84072378.0
125,108111203.0,4755.0,184797557.0,13931813.0,7246202.0,6493708.0,14.0,17123.0,557752.0,212469280.0,211911528.0
126,108111303.0,6245.0,266486659.0,24627108.0,11816485.0,10785050.0,27.0,26195.0,853257.0,313715302.0,312862045.0
127,108111403.0,3072.0,113562544.0,4355859.0,1988190.0,2237156.0,11.0,4688.0,152704.0,122143749.0,121991045.0
128,108112003.0,2081.0,66024088.0,1998013.0,980986.0,1780246.0,7.0,2671.0,87003.0,70783333.0,70696330.0
129,108112203.0,5946.0,251715806.0,22549648.0,8715476.0,7811020.0,30.0,52173.0,1699446.0,290791950.0,289092504.0
130,108112502.0,9987.0,264374158.0,11588824.0,3854914.0,7761163.0,31.0,31269.0,1018534.0,287579059.0,286560525.0
131,108114503.0,3596.0,134872412.0,8604849.0,5609407.0,4317836.0,16.0,15263.0,497166.0,153404504.0,152907338.0
132,108116003.0,6005.0,250676457.0,17983116.0,8949961.0,7504652.0,39.0,50774.0,1653876.0,285114186.0,283460310.0
133,108116303.0,2852.0,107370415.0,4394758.0,1928617.0,3064100.0,18.0,4575.0,149023.0,116757890.0,116608867.0
134,108116503.0,6537.0,301946067.0,40476618.0,13522948.0,15951373.0,53.0,93603.0,3048958.0,371897006.0,368848048.0
135,108118503.0,6175.0,299712181.0,42177384.0,22996520.0,22843856.0,59.0,84388.0,2748795.0,387729941.0,384981146.0
136,109122703.0,2176.0,66655906.0,4092888.0,4312350.0,3760518.0,9.0,17518.0,570619.0,78821662.0,78251043.0
137,121135003.0,7280.0,301138963.0,26758701.0,27324338.0,12771073.0,239.0,563584.0,18357785.0,367993075.0,349635290.0
138,121135503.0,8553.0,358786820.0,24976919.0,15711930.0,11152266.0,72.0,104632.0,3408208.0,410627935.0,407219727.0
139,121136503.0,6638.0,302734278.0,25400827.0,23788078.0,12261853.0,71.0,169860.0,5532899.0,364185036.0,358652137.0
140,121136603.0,5538.0,190044462.0,6780960.0,5570122.0,5317361.0,27.0,25683.0,836580.0,207712905.0,206876325.0
141,121139004.0,2402.0,94321099.0,7499113.0,3070322.0,3782014.0,28.0,47983.0,1562964.0,108672548.0,107109584.0
142,110141003.0,6263.0,260865629.0,21927669.0,8931860.0,6440545.0,39.0,40627.0,1323355.0,298165703.0,296842348.0
143,110141103.0,11500.0,547967456.0,48408296.0,25471315.0,17619216.0,83.0,66506.0,2166319.0,639466283.0,637299964.0
144,110147003.0,5979.0,233645836.0,37136000.0,19585066.0,10853702.0,51.0,63318.0,2062476.0,301220604.0,299158128.0
145,110148002.0,31602.0,1831033204.0,246973165.0,227601068.0,160479762.0,717.0,1082444.0,35258762.0,2466087199.0,2430828437.0
146,124150503.0,14490.0,1131615616.0,130874104.0,94289107.0,67294791.0,3487.0,12057140.0,392740717.0,1424073618.0,1031332901.0
