,aun,marketvalue,personalincome,wadm,mvperwadm,market_value_aid_ratio,piperwadm,personal_income_aid_ratio,mvpi
198,115228003.0,"$254,654,520","$125,175,865","1,744.307","$145,991",0.8395,"$71,762",0.8243,0.8334
199,115228303.0,"$2,221,886,659","$736,240,476","3,755.531","$591,630",0.3495,"$196,041",0.52,0.4177
200,115229003.0,"$505,586,375","$203,784,944","1,359.342","$371,934",0.5911,"$149,914",0.633,0.6078
201,125231232.0,"$1,197,607,752","$457,672,929","7,773.301","$154,066",0.8306,"$58,877",0.8559,0.8406
202,125231303.0,"$1,566,350,014","$536,704,246","3,988.468","$392,719",0.5682,"$134,564",0.6706,0.6091
203,125234103.0,"$3,913,527,024","$1,387,037,752","5,451.276","$717,910",0.2106,"$254,442",0.3771,0.2771
204,125234502.0,"$4,943,251,939","$2,560,051,705","7,467.729","$661,948",0.2721,"$342,815",0.1607,0.2274
205,125235103.0,"$1,675,712,114","$535,520,752","3,987.960","$420,192",0.538,"$134,284",0.6713,0.5913
206,125235502.0,"$5,332,372,177","$2,457,752,533","4,019.207","$1,326,722",0.1,"$611,501",0.1,0.15
207,125236903.0,"$1,989,327,688","$811,437,779","3,963.487","$501,913",0.4481,"$204,728",0.4988,0.4683
208,125237603.0,"$5,343,455,134","$2,972,893,269","4,488.790","$1,190,399",0.1,"$662,292",0.1,0.15
209,125237702.0,"$2,627,938,179","$1,121,355,450","6,624.668","$396,689",0.5638,"$169,269",0.5856,0.5724
210,125237903.0,"$4,347,416,621","$2,204,111,413","4,557.014","$954,005",0.1,"$483,674",0.1,0.15
211,125238402.0,"$1,231,361,073","$504,823,977","5,533.771","$222,517",0.7554,"$91,226",0.7767,0.7638
212,125238502.0,"$2,673,249,648","$1,176,682,966","4,882.990","$547,461",0.398,"$240,975",0.41,0.4028
213,125239452.0,"$3,798,154,799","$2,055,167,087","15,385.379","$246,867",0.7286,"$133,579",0.673,0.7063
214,125239603.0,"$2,159,036,878","$1,172,535,609","4,271.965","$505,396",0.4443,"$274,472",0.328,0.3977
215,125239652.0,"$1,422,609,551","$855,271,789","6,618.333","$214,949",0.7637,"$129,227",0.6836,0.7316
216,109243503.0,"$159,583,838","$91,787,411",655.504,"$243,452",0.7323,"$140,025",0.6572,0.7021
217,109246003.0,"$242,233,300","$154,209,727",944.986,"$256,335",0.7182,"$163,187",0.6005,0.6711
218,109248003.0,"$972,822,873","$507,749,426","2,390.107","$407,020",0.5525,"$212,437",0.4799,0.5234
219,105251453.0,"$530,689,511","$243,674,258","2,346.751","$226,137",0.7514,"$103,834",0.7458,0.7491
220,105252602.0,"$2,828,432,393","$1,556,557,209","14,600.121","$193,726",0.787,"$106,612",0.739,0.7678
221,105253303.0,"$874,125,579","$480,912,450","2,098.271","$416,593",0.5419,"$229,194",0.4389,0.5006
222,105253553.0,"$1,336,690,908","$397,107,465","2,521.598","$530,096",0.4171,"$157,482",0.6145,0.496
223,105253903.0,"$952,031,319","$419,895,404","2,512.512","$378,916",0.5834,"$167,121",0.5909,0.5863
224,105254053.0,"$490,851,545","$230,544,616","1,911.823","$256,745",0.7177,"$120,588",0.7048,0.7125
225,105254353.0,"$976,259,365","$413,610,836","2,534.855","$385,134",0.5765,"$163,169",0.6005,0.5861
226,105256553.0,"$244,234,167","$127,954,459","1,451.208","$168,297",0.815,"$88,170",0.7842,0.8026
227,105257602.0,"$3,712,482,805","$2,003,268,608","7,784.620","$476,899",0.4756,"$257,336",0.37,0.4333
228,105258303.0,"$570,465,974","$258,625,808","1,974.109","$288,973",0.6823,"$131,008",0.6793,0.681
229,105258503.0,"$424,834,040","$192,568,137","1,625.300","$261,388",0.7126,"$118,481",0.71,0.7115
230,105259103.0,"$262,703,169","$113,265,712","1,210.818","$216,963",0.7615,"$93,544",0.771,0.7653
231,105259703.0,"$567,306,653","$245,363,096","1,557.395","$364,266",0.5995,"$157,547",0.6143,0.6054
232,101260303.0,"$973,134,803","$440,149,946","3,940.666","$246,946",0.7285,"$111,694",0.7266,0.7277
233,101260803.0,"$403,155,632","$221,314,329","1,961.886","$205,493",0.7741,"$112,806",0.7238,0.7539
234,101261302.0,"$1,476,575,185","$681,909,380","5,144.059","$287,044",0.6844,"$132,562",0.6755,0.6808
235,101262903.0,"$405,794,775","$183,582,025","1,334.099","$304,171",0.6656,"$137,607",0.6631,0.6645
236,101264003.0,"$1,374,005,658","$500,677,614","3,467.969","$396,198",0.5644,"$144,371",0.6466,0.5972
237,101268003.0,"$1,317,862,976","$476,316,416","3,293.103","$400,188",0.56,"$144,640",0.6459,0.5943
238,106272003.0,"$464,662,996","$78,519,406",521.478,"$891,050",0.1,"$150,570",0.6314,0.3125
239,112281302.0,"$5,051,716,814","$1,739,616,388","11,437.822","$441,667",0.5144,"$152,093",0.6277,0.5596
240,112282004.0,"$325,254,490","$97,303,717",548.943,"$592,510",0.3485,"$177,256",0.566,0.4355
241,112283003.0,"$1,641,627,634","$584,194,448","3,595.112","$456,627",0.4979,"$162,496",0.6022,0.5395
242,112286003.0,"$1,275,999,460","$436,501,196","2,843.814","$448,693",0.5066,"$153,491",0.6242,0.5535
243,112289003.0,"$1,858,717,578","$742,408,909","5,394.217","$344,575",0.6211,"$137,630",0.6631,0.6378
244,111291304.0,"$409,735,420","$142,094,382","1,173.201","$349,245",0.616,"$121,116",0.7035,0.651
245,111292304.0,"$171,155,410","$59,412,849",437.353,"$391,343",0.5697,"$135,846",0.6674,0.6087
246,111297504.0,"$349,591,301","$125,722,164",863.097,"$405,042",0.5546,"$145,664",0.6434,0.59
247,101301303.0,"$257,167,517","$149,807,372","1,284.645","$200,185",0.7799,"$116,613",0.7145,0.7537
248,101301403.0,"$812,220,234","$348,872,563","1,974.410","$411,373",0.5477,"$176,697",0.5674,0.5555
249,101303503.0,"$224,629,423","$130,980,135",903.906,"$248,509",0.7268,"$144,904",0.6453,0.6941
250,101306503.0,"$172,906,975","$99,632,594",699.073,"$247,337",0.7281,"$142,521",0.6511,0.6972
251,101308503.0,"$890,383,506","$181,284,667",776.186,"$1,147,126",0.1,"$233,558",0.4282,0.2312
252,111312503.0,"$1,000,184,879","$331,713,219","2,293.541","$436,087",0.5205,"$144,629",0.6459,0.5706
253,111312804.0,"$283,784,108","$108,800,118",877.993,"$323,219",0.6446,"$123,919",0.6966,0.6653
254,111316003.0,"$417,408,895","$163,901,096","1,591.786","$262,226",0.7117,"$102,966",0.7479,0.7261
255,111317503.0,"$502,087,151","$155,788,572","1,320.981","$380,086",0.5821,"$117,933",0.7113,0.6337
256,128321103.0,"$565,472,205","$292,924,404","1,767.460","$319,934",0.6482,"$165,731",0.5943,0.6266
257,128323303.0,"$271,676,951","$130,162,835","1,006.507","$269,920",0.7032,"$129,321",0.6834,0.6952
258,128323703.0,"$1,572,101,251","$621,033,383","3,371.205","$466,332",0.4872,"$184,217",0.549,0.5119
259,128325203.0,"$466,710,201","$220,178,206","1,489.270","$313,381",0.6554,"$147,843",0.6381,0.6484
260,128326303.0,"$223,504,583","$120,623,817",935.997,"$238,787",0.7375,"$128,872",0.6845,0.7163
261,128327303.0,"$250,129,364","$121,036,546","1,021.039","$244,975",0.7307,"$118,542",0.7098,0.7223
262,128328003.0,"$343,893,911","$156,891,002","1,192.533","$288,372",0.6829,"$131,561",0.6779,0.6808
263,106330703.0,"$325,657,438","$171,668,933","1,198.677","$271,680",0.7013,"$143,215",0.6494,0.6804
264,106330803.0,"$634,714,631","$245,316,797","1,803.718","$351,892",0.6131,"$136,006",0.667,0.6346
265,106338003.0,"$852,960,289","$409,362,189","2,539.450","$335,883",0.6307,"$161,201",0.6054,0.6205
266,111343603.0,"$1,534,893,412","$519,477,680","3,270.951","$469,249",0.484,"$158,815",0.6112,0.5348
267,119350303.0,"$1,983,732,170","$1,124,323,106","3,979.340","$498,507",0.4519,"$282,540",0.3083,0.3944
268,119351303.0,"$344,896,934","$193,045,038","1,915.107","$180,092",0.802,"$100,801",0.7532,0.7824
269,119352203.0,"$681,801,421","$392,613,218","1,811.893","$376,292",0.5863,"$216,686",0.4695,0.5395
270,119354603.0,"$725,819,624","$320,863,061","1,783.710","$406,915",0.5526,"$179,885",0.5596,0.5553
271,119355503.0,"$985,027,654","$336,452,085","2,250.852","$437,624",0.5188,"$149,477",0.6341,0.5648
272,119356503.0,"$1,686,143,409","$622,886,317","3,588.357","$469,892",0.4833,"$173,585",0.575,0.5199
273,119356603.0,"$416,794,200","$219,625,306","1,146.866","$363,420",0.6004,"$191,500",0.5312,0.5726
274,119357003.0,"$820,518,158","$336,742,517","1,846.869","$444,275",0.5115,"$182,331",0.5536,0.5283
275,119357402.0,"$2,365,107,735","$1,174,104,978","11,637.073","$203,239",0.7766,"$100,893",0.753,0.7671
276,119358403.0,"$1,219,598,628","$477,084,066","2,916.601","$418,157",0.5402,"$163,575",0.5995,0.5639
