,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
798,3861.0,111,46,41.44%,45,40.54%,48,43.24%,2,1.80%,1
799,6527.0,258,127,49.22%,119,46.12%,135,52.33%,8,3.10%,8
800,6548.0,68,33,48.53%,29,42.65%,33,48.53%,0,0.00%,4
801,6675.0,95,46,48.42%,40,42.11%,51,53.68%,5,5.26%,6
802,6822.0,192,98,51.04%,95,49.48%,101,52.60%,3,1.56%,3
803,6996.0,168,85,50.60%,84,50.00%,85,50.60%,0,0.00%,1
804,7023.0,186,123,66.13%,122,65.59%,124,66.67%,1,0.54%,1
805,7070.0,139,111,79.86%,110,79.14%,113,81.29%,2,1.44%,1
806,7072.0,133,65,48.87%,59,44.36%,68,51.13%,3,2.26%,6
807,7229.0,77,39,50.65%,39,50.65%,39,50.65%,0,0.00%,0
808,7245.0,75,17,22.67%,17,22.67%,19,25.33%,2,2.67%,0
809,7255.0,42,6,14.29%,6,14.29%,6,14.29%,0,0.00%,0
810,7664.0,64,38,59.38%,38,59.38%,39,60.94%,1,1.56%,0
811,7780.0,69,56,81.16%,51,73.91%,60,86.96%,4,5.80%,5
812,7782.0,115,92,80.00%,86,74.78%,95,82.61%,3,2.61%,6
813,7808.0,50,33,66.00%,31,62.00%,37,74.00%,4,8.00%,2
814,7811.0,103,84,81.55%,81,78.64%,86,83.50%,2,1.94%,3
815,7813.0,65,18,27.69%,18,27.69%,22,33.85%,4,6.15%,0
816,7815.0,93,44,47.31%,43,46.24%,49,52.69%,5,5.38%,1
817,7850.0,35,13,37.14%,11,31.43%,14,40.00%,1,2.86%,2
818,7852.0,104,8,7.69%,7,6.73%,9,8.65%,1,0.96%,1
819,7855.0,112,8,7.14%,7,6.25%,8,7.14%,0,0.00%,1
820,7903.0,95,39,41.05%,38,40.00%,42,44.21%,3,3.16%,1
