,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
81,440.0,117,91,77.78%,91,77.78%,96,82.05%,5,4.27%,0
83,470.0,145,126,86.90%,126,86.90%,132,91.03%,6,4.14%,0
85,467.0,164,154,93.90%,154,93.90%,154,93.90%,0,0.00%,0
87,196.0,132,82,62.12%,75,56.82%,82,62.12%,0,0.00%,7
89,477.0,83,57,68.67%,57,68.67%,57,68.67%,0,0.00%,0
91,492.0,344,323,93.90%,322,93.60%,323,93.90%,0,0.00%,1
92,509.0,216,181,83.80%,178,82.41%,183,84.72%,2,0.93%,3
93,523.0,199,164,82.41%,162,81.41%,169,84.92%,5,2.51%,2
95,536.0,232,176,75.86%,160,68.97%,183,78.88%,7,3.02%,16
97,555.0,33,4,12.12%,4,12.12%,7,21.21%,3,9.09%,0
99,107.0,232,192,82.76%,183,78.88%,199,85.78%,7,3.02%,9
101,7821.0,37,29,78.38%,25,67.57%,29,78.38%,0,0.00%,4
102,8129.0,83,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
103,2320.0,81,40,49.38%,39,48.15%,46,56.79%,6,7.41%,1
105,596.0,121,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
106,6575.0,89,64,71.91%,64,71.91%,65,73.03%,1,1.12%,0
107,7640.0,77,61,79.22%,52,67.53%,64,83.12%,3,3.90%,9
109,594.0,136,120,88.24%,120,88.24%,120,88.24%,0,0.00%,0
110,7923.0,43,33,76.74%,31,72.09%,33,76.74%,0,0.00%,2
111,4807.0,196,57,29.08%,56,28.57%,77,39.29%,20,10.20%,1
112,7847.0,19,13,68.42%,13,68.42%,14,73.68%,1,5.26%,0
113,7859.0,130,107,82.31%,107,82.31%,115,88.46%,8,6.15%,0
114,8086.0,62,27,43.55%,27,43.55%,27,43.55%,0,0.00%,0
116,6555.0,186,121,65.05%,111,59.68%,121,65.05%,0,0.00%,10
117,640.0,143,111,77.62%,107,74.83%,113,79.02%,2,1.40%,4
118,649.0,96,51,53.13%,47,48.96%,52,54.17%,1,1.04%,4
119,6707.0,163,142,87.12%,135,82.82%,144,88.34%,2,1.23%,7
121,8044.0,169,115,68.05%,115,68.05%,125,73.96%,10,5.92%,0
123,6563.0,110,81,73.64%,81,73.64%,83,75.45%,2,1.82%,0
125,7650.0,"1,367",815,59.62%,723,52.89%,859,62.84%,44,3.22%,92
126,675.0,175,123,70.29%,123,70.29%,123,70.29%,0,0.00%,0
128,695.0,109,82,75.23%,75,68.81%,84,77.06%,2,1.83%,7
130,700.0,120,78,65.00%,77,64.17%,89,74.17%,11,9.17%,1
132,8000.0,59,42,71.19%,39,66.10%,42,71.19%,0,0.00%,3
134,714.0,80,70,87.50%,70,87.50%,70,87.50%,0,0.00%,0
135,719.0,43,28,65.12%,28,65.12%,32,74.42%,4,9.30%,0
137,726.0,142,66,46.48%,63,44.37%,70,49.30%,4,2.82%,3
139,732.0,122,72,59.02%,56,45.90%,74,60.66%,2,1.64%,16
141,7897.0,96,48,50.00%,45,46.88%,52,54.17%,4,4.17%,3
143,747.0,84,48,57.14%,45,53.57%,56,66.67%,8,9.52%,3
144,8154.0,19,7,36.84%,7,36.84%,8,42.11%,1,5.26%,0
145,753.0,76,44,57.89%,37,48.68%,50,65.79%,6,7.89%,7
146,8155.0,65,56,86.15%,56,86.15%,60,92.31%,4,6.15%,0
147,820.0,68,47,69.12%,44,64.71%,47,69.12%,0,0.00%,3
149,6306.0,474,357,75.32%,339,71.52%,373,78.69%,16,3.38%,18
151,6308.0,110,77,70.00%,74,67.27%,77,70.00%,0,0.00%,3
152,777.0,208,153,73.56%,151,72.60%,162,77.88%,9,4.33%,2
154,4810.0,276,219,79.35%,219,79.35%,219,79.35%,0,0.00%,0
156,788.0,331,269,81.27%,265,80.06%,278,83.99%,9,2.72%,4
158,5023.0,178,132,74.16%,129,72.47%,135,75.84%,3,1.69%,3
160,802.0,299,216,72.24%,211,70.57%,218,72.91%,2,0.67%,5
161,808.0,155,113,72.90%,99,63.87%,115,74.19%,2,1.29%,14
162,816.0,112,73,65.18%,69,61.61%,75,66.96%,2,1.79%,4
163,6610.0,271,199,73.43%,189,69.74%,210,77.49%,11,4.06%,10
165,6318.0,164,122,74.39%,118,71.95%,130,79.27%,8,4.88%,4
167,8116.0,726,426,58.68%,425,58.54%,467,64.33%,41,5.65%,1
169,864.0,150,117,78.00%,112,74.67%,124,82.67%,7,4.67%,5
171,4670.0,89,47,52.81%,47,52.81%,51,57.30%,4,4.49%,0
173,873.0,209,153,73.21%,146,69.86%,157,75.12%,4,1.91%,7
174,6980.0,461,347,75.27%,331,71.80%,358,77.66%,11,2.39%,16
176,887.0,149,127,85.23%,123,82.55%,129,86.58%,2,1.34%,4
177,7720.0,12,7,58.33%,7,58.33%,7,58.33%,0,0.00%,0
178,913.0,501,310,61.88%,300,59.88%,321,64.07%,11,2.20%,10
179,7425.0,3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
180,917.0,107,62,57.94%,62,57.94%,63,58.88%,1,0.93%,0
181,921.0,68,39,57.35%,26,38.24%,41,60.29%,2,2.94%,13
183,5207.0,234,153,65.38%,147,62.82%,165,70.51%,12,5.13%,6
184,941.0,130,82,63.08%,75,57.69%,87,66.92%,5,3.85%,7
185,949.0,125,83,66.40%,71,56.80%,85,68.00%,2,1.60%,12
186,951.0,48,26,54.17%,23,47.92%,29,60.42%,3,6.25%,3
187,958.0,139,74,53.24%,74,53.24%,78,56.12%,4,2.88%,0
188,988.0,58,26,44.83%,26,44.83%,30,51.72%,4,6.90%,0
189,964.0,68,41,60.29%,41,60.29%,42,61.76%,1,1.47%,0
190,965.0,72,49,68.06%,49,68.06%,51,70.83%,2,2.78%,0
191,5208.0,106,60,56.60%,58,54.72%,61,57.55%,1,0.94%,2
192,1000.0,112,64,57.14%,63,56.25%,64,57.14%,0,0.00%,1
193,1005.0,93,58,62.37%,58,62.37%,59,63.44%,1,1.08%,0
194,7726.0,36,18,50.00%,18,50.00%,21,58.33%,3,8.33%,0
196,5116.0,400,334,83.50%,330,82.50%,346,86.50%,12,3.00%,4
197,1014.0,72,53,73.61%,46,63.89%,53,73.61%,0,0.00%,7
199,1029.0,323,254,78.64%,222,68.73%,255,78.95%,1,0.31%,32
201,1030.0,349,208,59.60%,179,51.29%,211,60.46%,3,0.86%,29
202,1040.0,451,375,83.15%,374,82.93%,388,86.03%,13,2.88%,1
204,1043.0,495,452,91.31%,452,91.31%,452,91.31%,0,0.00%,0
205,5133.0,504,471,93.45%,471,93.45%,473,93.85%,2,0.40%,0
206,7790.0,612,561,91.67%,558,91.18%,565,92.32%,4,0.65%,3
208,5096.0,448,429,95.76%,427,95.31%,430,95.98%,1,0.22%,2
209,7749.0,476,431,90.55%,429,90.13%,439,92.23%,8,1.68%,2
211,8114.0,65,47,72.31%,47,72.31%,48,73.85%,1,1.54%,0
213,6455.0,644,537,83.39%,537,83.39%,561,87.11%,24,3.73%,0
215,1084.0,120,111,92.50%,111,92.50%,114,95.00%,3,2.50%,0
217,1094.0,163,124,76.07%,120,73.62%,126,77.30%,2,1.23%,4
219,1100.0,545,465,85.32%,465,85.32%,468,85.87%,3,0.55%,0
221,4682.0,772,632,81.87%,630,81.61%,657,85.10%,25,3.24%,2
222,1128.0,379,308,81.27%,306,80.74%,308,81.27%,0,0.00%,2
224,1147.0,539,462,85.71%,450,83.49%,487,90.35%,25,4.64%,12
226,1154.0,119,78,65.55%,71,59.66%,81,68.07%,3,2.52%,7
228,1159.0,246,224,91.06%,223,90.65%,227,92.28%,3,1.22%,1
230,1164.0,85,60,70.59%,56,65.88%,65,76.47%,5,5.88%,4
232,1172.0,144,103,71.53%,102,70.83%,105,72.92%,2,1.39%,1
233,1177.0,237,178,75.11%,178,75.11%,185,78.06%,7,2.95%,0
234,8318.0,559,493,88.19%,480,85.87%,500,89.45%,7,1.25%,13
235,5135.0,33,18,54.55%,17,51.52%,20,60.61%,2,6.06%,1
236,5212.0,101,71,70.30%,60,59.41%,71,70.30%,0,0.00%,11
237,1208.0,115,85,73.91%,80,69.57%,92,80.00%,7,6.09%,5
238,5136.0,59,38,64.41%,36,61.02%,41,69.49%,3,5.08%,2
240,1225.0,36,26,72.22%,26,72.22%,28,77.78%,2,5.56%,0
241,1191.0,139,92,66.19%,83,59.71%,99,71.22%,7,5.04%,9
242,1251.0,148,83,56.08%,78,52.70%,86,58.11%,3,2.03%,5
243,8314.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
244,6201.0,96,63,65.63%,53,55.21%,63,65.63%,0,0.00%,10
245,1213.0,107,88,82.24%,87,81.31%,88,82.24%,0,0.00%,1
246,1270.0,63,44,69.84%,44,69.84%,50,79.37%,6,9.52%,0
248,7941.0,135,106,78.52%,101,74.81%,109,80.74%,3,2.22%,5
249,1293.0,122,106,86.89%,106,86.89%,106,86.89%,0,0.00%,0
250,1299.0,49,30,61.22%,29,59.18%,31,63.27%,1,2.04%,1
251,4870.0,79,35,44.30%,35,44.30%,43,54.43%,8,10.13%,0
252,1307.0,115,89,77.39%,86,74.78%,93,80.87%,4,3.48%,3
254,1315.0,163,125,76.69%,118,72.39%,127,77.91%,2,1.23%,7
255,4734.0,149,106,71.14%,106,71.14%,119,79.87%,13,8.72%,0
257,6693.0,87,60,68.97%,60,68.97%,62,71.26%,2,2.30%,0
258,1327.0,47,32,68.09%,30,63.83%,33,70.21%,1,2.13%,2
260,1335.0,108,64,59.26%,57,52.78%,65,60.19%,1,0.93%,7
261,1343.0,184,105,57.07%,102,55.43%,110,59.78%,5,2.72%,3
263,6231.0,109,84,77.06%,72,66.06%,84,77.06%,0,0.00%,12
264,1364.0,568,464,81.69%,459,80.81%,467,82.22%,3,0.53%,5
265,7691.0,116,57,49.14%,57,49.14%,61,52.59%,4,3.45%,0
266,7721.0,69,48,69.57%,47,68.12%,53,76.81%,5,7.25%,1
267,7819.0,268,184,68.66%,166,61.94%,196,73.13%,12,4.48%,18
268,1367.0,411,356,86.62%,350,85.16%,364,88.56%,8,1.95%,6
270,7293.0,179,132,73.74%,128,71.51%,136,75.98%,4,2.23%,4
271,5012.0,512,339,66.21%,339,66.21%,387,75.59%,48,9.38%,0
272,1387.0,348,309,88.79%,306,87.93%,313,89.94%,4,1.15%,3
273,7759.0,384,367,95.57%,367,95.57%,370,96.35%,3,0.78%,0
274,8174.0,170,169,99.41%,169,99.41%,170,100.00%,1,0.59%,0
276,7628.0,40,37,92.50%,37,92.50%,38,95.00%,1,2.50%,0
277,7636.0,73,64,87.67%,64,87.67%,66,90.41%,2,2.74%,0
278,1424.0,289,275,95.16%,275,95.16%,276,95.50%,1,0.35%,0
280,6482.0,297,226,76.09%,223,75.08%,232,78.11%,6,2.02%,3
282,1414.0,192,143,74.48%,124,64.58%,145,75.52%,2,1.04%,19
284,1406.0,342,315,92.11%,310,90.64%,317,92.69%,2,0.58%,5
286,1420.0,304,215,70.72%,208,68.42%,225,74.01%,10,3.29%,7
287,1426.0,247,217,87.85%,217,87.85%,229,92.71%,12,4.86%,0
289,1423.0,497,489,98.39%,489,98.39%,491,98.79%,2,0.40%,0
291,1443.0,327,309,94.50%,308,94.19%,310,94.80%,1,0.31%,1
293,1453.0,272,253,93.01%,253,93.01%,258,94.85%,5,1.84%,0
294,6734.0,358,324,90.50%,323,90.22%,336,93.85%,12,3.35%,1
295,7894.0,318,299,94.03%,299,94.03%,305,95.91%,6,1.89%,0
297,7824.0,113,45,39.82%,44,38.94%,52,46.02%,7,6.19%,1
298,7858.0,906,406,44.81%,381,42.05%,481,53.09%,75,8.28%,25
299,4664.0,55,32,58.18%,32,58.18%,38,69.09%,6,10.91%,0
301,1475.0,57,44,77.19%,42,73.68%,45,78.95%,1,1.75%,2
302,1480.0,65,42,64.62%,40,61.54%,43,66.15%,1,1.54%,2
304,1486.0,75,54,72.00%,51,68.00%,57,76.00%,3,4.00%,3
306,1489.0,59,40,67.80%,40,67.80%,41,69.49%,1,1.69%,0
307,1495.0,77,50,64.94%,46,59.74%,50,64.94%,0,0.00%,4
308,1501.0,44,33,75.00%,28,63.64%,33,75.00%,0,0.00%,5
309,6156.0,254,146,57.48%,127,50.00%,160,62.99%,14,5.51%,19
311,6236.0,164,94,57.32%,78,47.56%,102,62.20%,8,4.88%,16
312,1529.0,75,55,73.33%,55,73.33%,55,73.33%,0,0.00%,0
313,5219.0,65,36,55.38%,35,53.85%,40,61.54%,4,6.15%,1
314,8316.0,23,11,47.83%,10,43.48%,11,47.83%,0,0.00%,1
315,1550.0,54,31,57.41%,26,48.15%,34,62.96%,3,5.56%,5
317,1560.0,119,75,63.03%,71,59.66%,82,68.91%,7,5.88%,4
318,1566.0,73,49,67.12%,45,61.64%,49,67.12%,0,0.00%,4
319,7635.0,26,9,34.62%,9,34.62%,9,34.62%,0,0.00%,0
320,6241.0,28,15,53.57%,15,53.57%,19,67.86%,4,14.29%,0
321,7589.0,266,164,61.65%,146,54.89%,168,63.16%,4,1.50%,18
323,1595.0,49,36,73.47%,36,73.47%,38,77.55%,2,4.08%,0
324,1605.0,210,158,75.24%,156,74.29%,168,80.00%,10,4.76%,2
325,1612.0,97,71,73.20%,70,72.16%,71,73.20%,0,0.00%,1
327,1619.0,124,90,72.58%,89,71.77%,91,73.39%,1,0.81%,1
329,5178.0,128,45,35.16%,43,33.59%,48,37.50%,3,2.34%,2
330,1623.0,35,18,51.43%,18,51.43%,21,60.00%,3,8.57%,0
331,1627.0,98,77,78.57%,77,78.57%,78,79.59%,1,1.02%,0
333,7567.0,22,5,22.73%,5,22.73%,6,27.27%,1,4.55%,0
334,8224.0,145,58,40.00%,54,37.24%,74,51.03%,16,11.03%,4
336,1632.0,66,37,56.06%,33,50.00%,38,57.58%,1,1.52%,4
337,1654.0,200,118,59.00%,110,55.00%,119,59.50%,1,0.50%,8
339,1629.0,98,64,65.31%,58,59.18%,65,66.33%,1,1.02%,6
340,6136.0,101,66,65.35%,64,63.37%,69,68.32%,3,2.97%,2
341,6942.0,84,47,55.95%,46,54.76%,47,55.95%,0,0.00%,1
343,1677.0,169,93,55.03%,88,52.07%,96,56.80%,3,1.78%,5
345,1682.0,88,72,81.82%,72,81.82%,72,81.82%,0,0.00%,0
346,1694.0,334,241,72.16%,239,71.56%,242,72.46%,1,0.30%,2
348,1701.0,620,503,81.13%,500,80.65%,508,81.94%,5,0.81%,3
350,1707.0,180,135,75.00%,133,73.89%,135,75.00%,0,0.00%,2
352,5098.0,266,224,84.21%,212,79.70%,224,84.21%,0,0.00%,12
354,5221.0,229,143,62.45%,138,60.26%,144,62.88%,1,0.44%,5
355,6328.0,154,115,74.68%,112,72.73%,117,75.97%,2,1.30%,3
356,7774.0,768,311,40.49%,311,40.49%,419,54.56%,108,14.06%,0
357,1745.0,374,297,79.41%,294,78.61%,301,80.48%,4,1.07%,3
358,1746.0,294,199,67.69%,196,66.67%,203,69.05%,4,1.36%,3
360,5278.0,218,88,40.37%,76,34.86%,96,44.04%,8,3.67%,12
361,4801.0,280,235,83.93%,233,83.21%,237,84.64%,2,0.71%,2
363,6330.0,72,49,68.06%,49,68.06%,49,68.06%,0,0.00%,0
364,6333.0,188,78,41.49%,71,37.77%,78,41.49%,0,0.00%,7
365,7902.0,81,75,92.59%,75,92.59%,78,96.30%,3,3.70%,0
367,1776.0,283,219,77.39%,213,75.27%,219,77.39%,0,0.00%,6
368,7844.0,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
370,1790.0,133,100,75.19%,93,69.92%,102,76.69%,2,1.50%,7
372,1794.0,65,46,70.77%,42,64.62%,47,72.31%,1,1.54%,4
373,8278.0,42,31,73.81%,29,69.05%,33,78.57%,2,4.76%,2
374,1801.0,64,40,62.50%,40,62.50%,42,65.63%,2,3.13%,0
376,1806.0,202,174,86.14%,171,84.65%,175,86.63%,1,0.50%,3
378,6340.0,77,51,66.23%,50,64.94%,51,66.23%,0,0.00%,1
380,6492.0,106,66,62.26%,65,61.32%,66,62.26%,0,0.00%,1
381,8303.0,98,74,75.51%,66,67.35%,76,77.55%,2,2.04%,8
382,1849.0,222,167,75.23%,164,73.87%,180,81.08%,13,5.86%,3
384,0.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
385,1869.0,351,328,93.45%,328,93.45%,330,94.02%,2,0.57%,0
386,1879.0,427,391,91.57%,388,90.87%,392,91.80%,1,0.23%,3
388,1885.0,269,214,79.55%,211,78.44%,222,82.53%,8,2.97%,3
390,1902.0,285,244,85.61%,240,84.21%,250,87.72%,6,2.11%,4
392,1915.0,253,217,85.77%,215,84.98%,221,87.35%,4,1.58%,2
394,1921.0,273,260,95.24%,260,95.24%,260,95.24%,0,0.00%,0
396,1934.0,441,356,80.73%,349,79.14%,369,83.67%,13,2.95%,7
397,1942.0,333,309,92.79%,306,91.89%,320,96.10%,11,3.30%,3
399,6516.0,247,179,72.47%,178,72.06%,189,76.52%,10,4.05%,1
401,1950.0,285,263,92.28%,263,92.28%,266,93.33%,3,1.05%,0
403,1972.0,837,617,73.72%,599,71.57%,632,75.51%,15,1.79%,18
405,5287.0,293,263,89.76%,263,89.76%,264,90.10%,1,0.34%,0
406,8231.0,306,211,68.95%,192,62.75%,214,69.93%,3,0.98%,19
408,6218.0,41,24,58.54%,23,56.10%,25,60.98%,1,2.44%,1
409,1989.0,64,45,70.31%,45,70.31%,45,70.31%,0,0.00%,0
410,5169.0,137,86,62.77%,83,60.58%,93,67.88%,7,5.11%,3
412,7770.0,61,42,68.85%,26,42.62%,42,68.85%,0,0.00%,16
413,1998.0,173,81,46.82%,72,41.62%,92,53.18%,11,6.36%,9
414,2026.0,173,84,48.55%,84,48.55%,87,50.29%,3,1.73%,0
415,2027.0,138,79,57.25%,74,53.62%,79,57.25%,0,0.00%,5
416,7294.0,204,117,57.35%,101,49.51%,120,58.82%,3,1.47%,16
417,7515.0,179,178,99.44%,178,99.44%,178,99.44%,0,0.00%,0
419,6737.0,130,109,83.85%,109,83.85%,110,84.62%,1,0.77%,0
421,2037.0,140,83,59.29%,79,56.43%,90,64.29%,7,5.00%,4
423,2040.0,182,131,71.98%,125,68.68%,133,73.08%,2,1.10%,6
425,2043.0,135,80,59.26%,74,54.81%,82,60.74%,2,1.48%,6
427,7948.0,129,82,63.57%,82,63.57%,86,66.67%,4,3.10%,0
429,4817.0,85,55,64.71%,49,57.65%,57,67.06%,2,2.35%,6
430,8071.0,556,373,67.09%,369,66.37%,408,73.38%,35,6.29%,4
432,6145.0,116,76,65.52%,75,64.66%,79,68.10%,3,2.59%,1
434,6745.0,116,60,51.72%,46,39.66%,67,57.76%,7,6.03%,14
436,2075.0,65,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
437,6148.0,104,63,60.58%,59,56.73%,66,63.46%,3,2.88%,4
439,6001.0,265,153,57.74%,139,52.45%,167,63.02%,14,5.28%,14
440,4818.0,117,78,66.67%,68,58.12%,82,70.09%,4,3.42%,10
441,5228.0,200,128,64.00%,128,64.00%,143,71.50%,15,7.50%,0
443,2126.0,77,48,62.34%,48,62.34%,52,67.53%,4,5.19%,0
444,6600.0,264,202,76.52%,190,71.97%,216,81.82%,14,5.30%,12
446,6643.0,141,34,24.11%,34,24.11%,49,34.75%,15,10.64%,0
447,2184.0,178,112,62.92%,108,60.67%,116,65.17%,4,2.25%,4
449,6159.0,19,10,52.63%,9,47.37%,10,52.63%,0,0.00%,1
450,6161.0,32,26,81.25%,26,81.25%,26,81.25%,0,0.00%,0
451,2191.0,461,244,52.93%,237,51.41%,251,54.45%,7,1.52%,7
452,8244.0,107,57,53.27%,55,51.40%,58,54.21%,1,0.93%,2
454,2201.0,30,16,53.33%,14,46.67%,16,53.33%,0,0.00%,2
455,2206.0,211,155,73.46%,148,70.14%,158,74.88%,3,1.42%,7
456,6280.0,166,89,53.61%,89,53.61%,92,55.42%,3,1.81%,0
458,2243.0,280,180,64.29%,178,63.57%,190,67.86%,10,3.57%,2
459,6252.0,58,33,56.90%,30,51.72%,34,58.62%,1,1.72%,3
460,2246.0,27,16,59.26%,14,51.85%,16,59.26%,0,0.00%,2
461,2253.0,49,27,55.10%,27,55.10%,30,61.22%,3,6.12%,0
462,7112.0,62,42,67.74%,40,64.52%,42,67.74%,0,0.00%,2
463,5118.0,126,86,68.25%,72,57.14%,87,69.05%,1,0.79%,14
465,2280.0,59,34,57.63%,33,55.93%,36,61.02%,2,3.39%,1
466,2284.0,30,20,66.67%,20,66.67%,24,80.00%,4,13.33%,0
467,7136.0,60,23,38.33%,23,38.33%,23,38.33%,0,0.00%,0
468,2305.0,137,74,54.01%,70,51.09%,90,65.69%,16,11.68%,4
469,2308.0,58,25,43.10%,23,39.66%,27,46.55%,2,3.45%,2
470,7944.0,119,56,47.06%,49,41.18%,62,52.10%,6,5.04%,7
471,2313.0,85,43,50.59%,41,48.24%,46,54.12%,3,3.53%,2
472,7762.0,27,2,7.41%,2,7.41%,2,7.41%,0,0.00%,0
473,2353.0,51,38,74.51%,36,70.59%,45,88.24%,7,13.73%,2
474,4706.0,80,53,66.25%,47,58.75%,56,70.00%,3,3.75%,6
476,2331.0,72,47,65.28%,43,59.72%,48,66.67%,1,1.39%,4
477,2325.0,179,130,72.63%,128,71.51%,136,75.98%,6,3.35%,2
478,2339.0,108,58,53.70%,49,45.37%,63,58.33%,5,4.63%,9
480,2345.0,49,35,71.43%,34,69.39%,37,75.51%,2,4.08%,1
482,2350.0,64,42,65.63%,38,59.38%,44,68.75%,2,3.13%,4
483,2358.0,71,50,70.42%,48,67.61%,52,73.24%,2,2.82%,2
485,2362.0,60,29,48.33%,28,46.67%,32,53.33%,3,5.00%,1
486,6162.0,122,58,47.54%,57,46.72%,70,57.38%,12,9.84%,1
488,5180.0,85,22,25.88%,17,20.00%,28,32.94%,6,7.06%,5
489,6165.0,165,123,74.55%,107,64.85%,129,78.18%,6,3.64%,16
490,2394.0,81,31,38.27%,31,38.27%,44,54.32%,13,16.05%,0
491,6255.0,127,83,65.35%,75,59.06%,86,67.72%,3,2.36%,8
492,5091.0,253,231,91.30%,231,91.30%,235,92.89%,4,1.58%,0
493,2420.0,96,76,79.17%,72,75.00%,78,81.25%,2,2.08%,4
494,8312.0,115,100,86.96%,98,85.22%,100,86.96%,0,0.00%,2
495,6404.0,115,84,73.04%,84,73.04%,85,73.91%,1,0.87%,0
496,8304.0,105,76,72.38%,73,69.52%,76,72.38%,0,0.00%,3
497,2446.0,216,166,76.85%,158,73.15%,170,78.70%,4,1.85%,8
498,2449.0,59,45,76.27%,41,69.49%,45,76.27%,0,0.00%,4
500,2496.0,101,70,69.31%,70,69.31%,73,72.28%,3,2.97%,0
502,2489.0,189,129,68.25%,127,67.20%,133,70.37%,4,2.12%,2
503,6413.0,358,252,70.39%,252,70.39%,273,76.26%,21,5.87%,0
505,6775.0,182,156,85.71%,138,75.82%,158,86.81%,2,1.10%,18
506,6290.0,253,163,64.43%,159,62.85%,166,65.61%,3,1.19%,4
508,2515.0,64,30,46.88%,28,43.75%,30,46.88%,0,0.00%,2
510,2532.0,318,213,66.98%,195,61.32%,224,70.44%,11,3.46%,18
