,school number,graduate count,college bound,total college bound %,2- or 4-year college or university,2- or 4-year university %,total postsecondary bound,total postsecondary bound %,non-degree-granting postsecondary school,non-degree-granting postsecondary school %,specialized associate degree granting institution
147,8344.0,499,394,78.96%,385,77.15%,412,82.57%,18,3.61%,9
148,1154.0,120,75,62.50%,70,58.33%,86,71.67%,11,9.17%,5
149,1159.0,247,211,85.43%,210,85.02%,212,85.83%,1,0.40%,1
150,1164.0,92,59,64.13%,52,56.52%,59,64.13%,0,0.00%,7
151,1172.0,148,70,47.30%,68,45.95%,70,47.30%,0,0.00%,2
152,1177.0,249,192,77.11%,191,76.71%,196,78.71%,4,1.61%,1
153,8318.0,548,472,86.13%,472,86.13%,473,86.31%,1,0.18%,0
154,5135.0,49,28,57.14%,23,46.94%,30,61.22%,2,4.08%,5
155,5212.0,115,72,62.61%,68,59.13%,73,63.48%,1,0.87%,4
156,1208.0,144,94,65.28%,89,61.81%,97,67.36%,3,2.08%,5
157,5136.0,56,29,51.79%,28,50.00%,35,62.50%,6,10.71%,1
158,1225.0,50,27,54.00%,27,54.00%,29,58.00%,2,4.00%,0
159,1191.0,145,95,65.52%,91,62.76%,100,68.97%,5,3.45%,4
160,1251.0,177,102,57.63%,92,51.98%,102,57.63%,0,0.00%,10
161,8314.0,8,3,37.50%,2,25.00%,3,37.50%,0,0.00%,1
162,6201.0,84,57,67.86%,54,64.29%,58,69.05%,1,1.19%,3
163,0.0,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
164,1213.0,113,88,77.88%,88,77.88%,94,83.19%,6,5.31%,0
165,1270.0,61,36,59.02%,28,45.90%,42,68.85%,6,9.84%,8
166,7941.0,117,89,76.07%,87,74.36%,91,77.78%,2,1.71%,2
167,1293.0,138,109,78.99%,103,74.64%,109,78.99%,0,0.00%,6
168,1299.0,39,22,56.41%,20,51.28%,22,56.41%,0,0.00%,2
169,4870.0,88,45,51.14%,42,47.73%,45,51.14%,0,0.00%,3
170,1307.0,119,100,84.03%,98,82.35%,103,86.55%,3,2.52%,2
171,1315.0,164,128,78.05%,127,77.44%,128,78.05%,0,0.00%,1
172,4734.0,111,90,81.08%,87,78.38%,98,88.29%,8,7.21%,3
173,8348.0,84,49,58.33%,46,54.76%,49,58.33%,0,0.00%,3
174,1327.0,57,47,82.46%,47,82.46%,47,82.46%,0,0.00%,0
175,1335.0,135,64,47.41%,55,40.74%,72,53.33%,8,5.93%,9
176,1343.0,183,123,67.21%,123,67.21%,125,68.31%,2,1.09%,0
177,6231.0,84,55,65.48%,51,60.71%,57,67.86%,2,2.38%,4
178,1364.0,541,440,81.33%,432,79.85%,441,81.52%,1,0.18%,8
179,7691.0,127,65,51.18%,65,51.18%,67,52.76%,2,1.57%,0
180,7721.0,68,55,80.88%,55,80.88%,58,85.29%,3,4.41%,0
181,7819.0,294,203,69.05%,200,68.03%,227,77.21%,24,8.16%,3
182,1367.0,419,352,84.01%,351,83.77%,369,88.07%,17,4.06%,1
183,5012.0,427,300,70.26%,282,66.04%,303,70.96%,3,0.70%,18
184,1387.0,364,306,84.07%,306,84.07%,325,89.29%,19,5.22%,0
185,7759.0,381,347,91.08%,347,91.08%,361,94.75%,14,3.67%,0
186,8174.0,189,187,98.94%,187,98.94%,187,98.94%,0,0.00%,0
187,7628.0,63,57,90.48%,57,90.48%,58,92.06%,1,1.59%,0
188,7636.0,62,57,91.94%,56,90.32%,58,93.55%,1,1.61%,1
189,1424.0,278,261,93.88%,261,93.88%,262,94.24%,1,0.36%,0
190,0.0,10,1,10.00%,1,10.00%,2,20.00%,1,10.00%,0
191,6482.0,287,225,78.40%,224,78.05%,231,80.49%,6,2.09%,1
192,1414.0,149,119,79.87%,101,67.79%,122,81.88%,3,2.01%,18
193,1406.0,375,326,86.93%,326,86.93%,327,87.20%,1,0.27%,0
194,1420.0,286,203,70.98%,198,69.23%,214,74.83%,11,3.85%,5
195,1426.0,235,203,86.38%,203,86.38%,209,88.94%,6,2.55%,0
196,1423.0,493,484,98.17%,482,97.77%,485,98.38%,1,0.20%,2
197,1443.0,306,295,96.41%,295,96.41%,301,98.37%,6,1.96%,0
198,1453.0,312,281,90.06%,281,90.06%,289,92.63%,8,2.56%,0
199,6734.0,305,277,90.82%,277,90.82%,287,94.10%,10,3.28%,0
200,7894.0,307,286,93.16%,286,93.16%,292,95.11%,6,1.95%,0
201,7824.0,113,50,44.25%,48,42.48%,61,53.98%,11,9.73%,2
202,7858.0,873,399,45.70%,375,42.96%,445,50.97%,46,5.27%,24
203,4664.0,55,30,54.55%,27,49.09%,32,58.18%,2,3.64%,3
204,1475.0,70,54,77.14%,49,70.00%,59,84.29%,5,7.14%,5
205,1480.0,58,41,70.69%,39,67.24%,43,74.14%,2,3.45%,2
206,1486.0,78,45,57.69%,44,56.41%,52,66.67%,7,8.97%,1
207,1489.0,45,27,60.00%,27,60.00%,28,62.22%,1,2.22%,0
208,1495.0,80,53,66.25%,51,63.75%,53,66.25%,0,0.00%,2
209,1501.0,48,30,62.50%,28,58.33%,34,70.83%,4,8.33%,2
210,6156.0,246,143,58.13%,130,52.85%,151,61.38%,8,3.25%,13
211,6236.0,181,96,53.04%,90,49.72%,110,60.77%,14,7.73%,6
212,1529.0,97,65,67.01%,51,52.58%,67,69.07%,2,2.06%,14
213,5219.0,52,34,65.38%,29,55.77%,38,73.08%,4,7.69%,5
214,8316.0,29,13,44.83%,10,34.48%,16,55.17%,3,10.34%,3
215,1550.0,64,40,62.50%,36,56.25%,45,70.31%,5,7.81%,4
216,1560.0,122,73,59.84%,64,52.46%,77,63.11%,4,3.28%,9
217,1566.0,89,58,65.17%,48,53.93%,58,65.17%,0,0.00%,10
218,7635.0,15,9,60.00%,9,60.00%,9,60.00%,0,0.00%,0
219,6241.0,40,20,50.00%,20,50.00%,30,75.00%,10,25.00%,0
220,7589.0,279,161,57.71%,159,56.99%,168,60.22%,7,2.51%,2
221,1595.0,57,35,61.40%,33,57.89%,35,61.40%,0,0.00%,2
222,1605.0,194,144,74.23%,142,73.20%,146,75.26%,2,1.03%,2
223,1612.0,97,83,85.57%,82,84.54%,83,85.57%,0,0.00%,1
224,1619.0,113,93,82.30%,91,80.53%,94,83.19%,1,0.88%,2
225,5178.0,135,43,31.85%,41,30.37%,47,34.81%,4,2.96%,2
226,1623.0,43,32,74.42%,30,69.77%,32,74.42%,0,0.00%,2
227,1627.0,121,95,78.51%,95,78.51%,95,78.51%,0,0.00%,0
228,7567.0,28,12,42.86%,12,42.86%,13,46.43%,1,3.57%,0
229,8224.0,152,57,37.50%,57,37.50%,70,46.05%,13,8.55%,0
230,1632.0,62,34,54.84%,31,50.00%,34,54.84%,0,0.00%,3
231,1654.0,179,100,55.87%,86,48.04%,106,59.22%,6,3.35%,14
232,1629.0,77,50,64.94%,42,54.55%,50,64.94%,0,0.00%,8
233,6136.0,78,46,58.97%,43,55.13%,52,66.67%,6,7.69%,3
234,6942.0,82,40,48.78%,40,48.78%,43,52.44%,3,3.66%,0
235,1677.0,197,111,56.35%,108,54.82%,112,56.85%,1,0.51%,3
236,1682.0,97,90,92.78%,90,92.78%,90,92.78%,0,0.00%,0
237,1694.0,319,220,68.97%,218,68.34%,220,68.97%,0,0.00%,2
238,1701.0,594,467,78.62%,464,78.11%,471,79.29%,4,0.67%,3
239,1707.0,198,144,72.73%,144,72.73%,144,72.73%,0,0.00%,0
240,5098.0,238,198,83.19%,192,80.67%,198,83.19%,0,0.00%,6
241,5221.0,244,148,60.66%,146,59.84%,150,61.48%,2,0.82%,2
242,6328.0,157,116,73.89%,112,71.34%,119,75.80%,3,1.91%,4
243,7774.0,875,199,22.74%,177,20.23%,207,23.66%,8,0.91%,22
244,1745.0,406,316,77.83%,316,77.83%,318,78.33%,2,0.49%,0
245,1746.0,323,164,50.77%,163,50.46%,165,51.08%,1,0.31%,1
246,5278.0,210,108,51.43%,99,47.14%,124,59.05%,16,7.62%,9
247,4801.0,277,247,89.17%,246,88.81%,249,89.89%,2,0.72%,1
248,6330.0,74,61,82.43%,61,82.43%,61,82.43%,0,0.00%,0
249,6333.0,152,72,47.37%,72,47.37%,74,48.68%,2,1.32%,0
250,7902.0,73,67,91.78%,67,91.78%,67,91.78%,0,0.00%,0
251,1776.0,274,197,71.90%,184,67.15%,199,72.63%,2,0.73%,13
252,7844.0,5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
253,1790.0,154,100,64.94%,92,59.74%,102,66.23%,2,1.30%,8
254,1794.0,63,51,80.95%,49,77.78%,53,84.13%,2,3.17%,2
255,8278.0,51,32,62.75%,32,62.75%,32,62.75%,0,0.00%,0
256,1801.0,77,47,61.04%,47,61.04%,49,63.64%,2,2.60%,0
257,1806.0,217,182,83.87%,178,82.03%,183,84.33%,1,0.46%,4
258,6340.0,101,76,75.25%,68,67.33%,76,75.25%,0,0.00%,8
259,6492.0,186,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
260,8303.0,97,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
261,1849.0,202,155,76.73%,150,74.26%,167,82.67%,12,5.94%,5
262,1869.0,381,346,90.81%,344,90.29%,349,91.60%,3,0.79%,2
263,1879.0,421,394,93.59%,393,93.35%,396,94.06%,2,0.48%,1
264,1885.0,273,205,75.09%,195,71.43%,209,76.56%,4,1.47%,10
265,1902.0,310,267,86.13%,259,83.55%,270,87.10%,3,0.97%,8
266,0.0,1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
267,1915.0,264,228,86.36%,225,85.23%,228,86.36%,0,0.00%,3
268,1921.0,296,273,92.23%,273,92.23%,274,92.57%,1,0.34%,0
269,1934.0,404,309,76.49%,307,75.99%,314,77.72%,5,1.24%,2
270,1942.0,312,280,89.74%,279,89.42%,286,91.67%,6,1.92%,1
271,6516.0,267,168,62.92%,168,62.92%,183,68.54%,15,5.62%,0
272,1950.0,280,252,90.00%,252,90.00%,258,92.14%,6,2.14%,0
273,1972.0,847,477,56.32%,466,55.02%,477,56.32%,0,0.00%,11
274,5287.0,251,223,88.84%,222,88.45%,225,89.64%,2,0.80%,1
275,8231.0,339,140,41.30%,140,41.30%,144,42.48%,4,1.18%,0
276,6218.0,40,26,65.00%,24,60.00%,28,70.00%,2,5.00%,2
277,1989.0,84,62,73.81%,61,72.62%,62,73.81%,0,0.00%,1
278,5169.0,176,111,63.07%,110,62.50%,120,68.18%,9,5.11%,1
279,7770.0,66,31,46.97%,28,42.42%,31,46.97%,0,0.00%,3
280,1998.0,159,69,43.40%,65,40.88%,81,50.94%,12,7.55%,4
281,2026.0,170,83,48.82%,83,48.82%,83,48.82%,0,0.00%,0
282,2027.0,106,64,60.38%,59,55.66%,64,60.38%,0,0.00%,5
283,7294.0,228,132,57.89%,126,55.26%,132,57.89%,0,0.00%,6
284,7515.0,167,165,98.80%,164,98.20%,165,98.80%,0,0.00%,1
285,6737.0,118,95,80.51%,95,80.51%,95,80.51%,0,0.00%,0
286,2037.0,164,115,70.12%,93,56.71%,121,73.78%,6,3.66%,22
287,2040.0,197,152,77.16%,152,77.16%,153,77.66%,1,0.51%,0
288,2043.0,133,77,57.89%,71,53.38%,84,63.16%,7,5.26%,6
289,7948.0,147,95,64.63%,95,64.63%,95,64.63%,0,0.00%,0
290,4817.0,67,42,62.69%,38,56.72%,45,67.16%,3,4.48%,4
291,8071.0,502,338,67.33%,331,65.94%,347,69.12%,9,1.79%,7
292,6145.0,103,53,51.46%,53,51.46%,55,53.40%,2,1.94%,0
293,6745.0,117,67,57.26%,59,50.43%,67,57.26%,0,0.00%,8
294,2075.0,86,38,44.19%,38,44.19%,41,47.67%,3,3.49%,0
295,6148.0,101,56,55.45%,48,47.52%,56,55.45%,0,0.00%,8
296,6001.0,265,146,55.09%,120,45.28%,149,56.23%,3,1.13%,26
297,4818.0,116,75,64.66%,64,55.17%,75,64.66%,0,0.00%,11
298,5228.0,218,141,64.68%,134,61.47%,152,69.72%,11,5.05%,7
299,2126.0,77,48,62.34%,45,58.44%,52,67.53%,4,5.19%,3
300,6600.0,193,139,72.02%,136,70.47%,149,77.20%,10,5.18%,3
301,6643.0,108,24,22.22%,20,18.52%,36,33.33%,12,11.11%,4
302,2184.0,166,99,59.64%,89,53.61%,106,63.86%,7,4.22%,10
303,6159.0,9,5,55.56%,4,44.44%,5,55.56%,0,0.00%,1
304,6161.0,19,8,42.11%,8,42.11%,8,42.11%,0,0.00%,0
305,2191.0,471,256,54.35%,253,53.72%,263,55.84%,7,1.49%,3
306,8244.0,180,81,45.00%,74,41.11%,83,46.11%,2,1.11%,7
307,2201.0,52,23,44.23%,23,44.23%,28,53.85%,5,9.62%,0
308,2206.0,242,166,68.60%,163,67.36%,169,69.83%,3,1.24%,3
309,6280.0,181,103,56.91%,103,56.91%,106,58.56%,3,1.66%,0
310,2243.0,297,207,69.70%,206,69.36%,219,73.74%,12,4.04%,1
311,6252.0,46,31,67.39%,29,63.04%,31,67.39%,0,0.00%,2
312,2246.0,31,16,51.61%,13,41.94%,16,51.61%,0,0.00%,3
313,2253.0,61,34,55.74%,31,50.82%,34,55.74%,0,0.00%,3
314,7112.0,86,61,70.93%,57,66.28%,64,74.42%,3,3.49%,4
315,5118.0,143,104,72.73%,92,64.34%,104,72.73%,0,0.00%,12
316,2280.0,67,44,65.67%,43,64.18%,45,67.16%,1,1.49%,1
317,2284.0,40,20,50.00%,17,42.50%,21,52.50%,1,2.50%,3
318,7136.0,49,23,46.94%,23,46.94%,23,46.94%,0,0.00%,0
319,2305.0,136,92,67.65%,88,64.71%,97,71.32%,5,3.68%,4
320,2308.0,62,42,67.74%,40,64.52%,50,80.65%,8,12.90%,2
321,7944.0,102,59,57.84%,56,54.90%,63,61.76%,4,3.92%,3
322,2313.0,76,37,48.68%,37,48.68%,39,51.32%,2,2.63%,0
323,7762.0,29,7,24.14%,4,13.79%,8,27.59%,1,3.45%,3
324,2353.0,65,48,73.85%,47,72.31%,53,81.54%,5,7.69%,1
325,4706.0,64,46,71.88%,44,68.75%,47,73.44%,1,1.56%,2
326,2331.0,53,40,75.47%,34,64.15%,42,79.25%,2,3.77%,6
327,2325.0,184,138,75.00%,134,72.83%,138,75.00%,0,0.00%,4
328,2339.0,93,56,60.22%,48,51.61%,60,64.52%,4,4.30%,8
329,2345.0,73,36,49.32%,31,42.47%,40,54.79%,4,5.48%,5
330,2350.0,63,37,58.73%,35,55.56%,40,63.49%,3,4.76%,2
331,2358.0,77,53,68.83%,53,68.83%,54,70.13%,1,1.30%,0
332,2362.0,85,54,63.53%,50,58.82%,54,63.53%,0,0.00%,4
333,6162.0,108,55,50.93%,54,50.00%,57,52.78%,2,1.85%,1
334,5180.0,75,14,18.67%,10,13.33%,15,20.00%,1,1.33%,4
335,6165.0,146,102,69.86%,94,64.38%,111,76.03%,9,6.16%,8
336,2394.0,81,42,51.85%,38,46.91%,42,51.85%,0,0.00%,4
337,6255.0,127,70,55.12%,69,54.33%,70,55.12%,0,0.00%,1
338,5091.0,237,206,86.92%,203,85.65%,208,87.76%,2,0.84%,3
339,2420.0,91,72,79.12%,66,72.53%,72,79.12%,0,0.00%,6
340,8312.0,106,86,81.13%,86,81.13%,92,86.79%,6,5.66%,0
341,6404.0,100,71,71.00%,70,70.00%,74,74.00%,3,3.00%,1
342,8304.0,100,68,68.00%,68,68.00%,70,70.00%,2,2.00%,0
343,2446.0,249,186,74.70%,177,71.08%,189,75.90%,3,1.20%,9
344,2449.0,66,53,80.30%,51,77.27%,55,83.33%,2,3.03%,2
345,2496.0,107,91,85.05%,86,80.37%,92,85.98%,1,0.93%,5
346,2489.0,188,135,71.81%,120,63.83%,136,72.34%,1,0.53%,15
347,6413.0,316,235,74.37%,235,74.37%,252,79.75%,17,5.38%,0
348,6775.0,184,149,80.98%,146,79.35%,151,82.07%,2,1.09%,3
349,6290.0,259,176,67.95%,162,62.55%,177,68.34%,1,0.39%,14
350,2515.0,67,30,44.78%,25,37.31%,34,50.75%,4,5.97%,5
351,2532.0,306,221,72.22%,192,62.75%,223,72.88%,2,0.65%,29
352,2539.0,219,140,63.93%,132,60.27%,146,66.67%,6,2.74%,8
353,2554.0,238,129,54.20%,123,51.68%,132,55.46%,3,1.26%,6
354,2562.0,287,204,71.08%,191,66.55%,207,72.13%,3,1.05%,13
