Schl,Federal - Non-Personnel,Federal - Personnel,Local - Non-Personnel,Local - Personnel,State - Non-Personnel,State - Personnel
949,30.57,375.11,3346.64,0,942.43,7802.91
950,259.26,715.57,945.31,1547.22,959.48,6622.12
951,106.97,0,1772.69,2385.87,1229.25,9629.9
958,0,0,1431.64,5022.43,2333.65,8186.86
964,6.11,0,1276.33,5131.41,2358.76,9483.26
965,0,62.32,1525.23,4811.54,767.76,8923.43
988,0,465.27,448.86,3847.67,1074.91,9214.23
996,9.71,483.32,913.32,3911.97,1552.21,6648.48
1000,11.02,548.63,995.81,4593.14,1692.4,7806.14
1005,14.89,590.89,1215.33,5124.09,1731.98,7302.39
1006,33.16,456.24,3133.31,13912.34,0,0
1008,21.72,660.04,2910.39,14060,0,0
1013,0,770.34,423.58,5028.39,0,0
1014,0,685.37,155.06,8488.36,0,0
1027,49.41,262.59,1592.39,8809.32,842.52,4660.59
1029,65.99,43.19,1655.63,9159.13,875.98,4845.66
1040,132.82,29.19,1373.22,12534.32,482.48,4403.95
1041,21.26,24.81,1328.69,10993.14,352.59,2917.2
1042,21.25,24.8,1314.1,11172.2,348.72,2964.72
1043,21.26,24.8,1490.82,11532.47,395.61,3060.32
1044,21.27,31.62,1256.57,11416.3,333.45,3029.49
1047,21.26,31.62,1279.04,11184.35,339.41,2967.94
1048,21.24,31.58,1258.61,11704.95,333.99,3106.09
1052,20.08,18.57,1244.37,11292.7,412.32,3734.18
1053,21.62,18.62,1163.02,9156.01,384.58,3027.64
1054,21.08,18.58,1201.46,10024.52,397.29,3314.83
1055,19.8,232.94,1162.71,10546.93,384.47,3487.57
1057,21.28,31.65,1295.74,11882.42,343.84,3153.18
1069,607.7,56.02,2862.63,9193.13,918.42,2949.43
1071,604.38,56.08,2889.2,9450.44,926.94,3031.98
1072,601.07,55.67,2885.14,10422.81,925.64,3343.95
1076,285.79,36.26,2918.58,10962.58,936.37,3517.12
1077,287.87,36.52,2925.91,10955.27,938.72,3514.77
1081,21.27,31.63,1237.11,10425.78,328.29,2766.64
1082,4.35,183.57,365.06,15420.11,65.19,2753.59
1084,5.06,178.29,424.67,14976.28,75.83,2674.33
1086,0,114.36,1868.82,14425.63,10.74,0.45
1087,0,0,2025.87,16603.54,2.52,101.85
1088,0,14.93,1908.83,15002.49,149.29,3.64
1091,34.51,263.82,3193.75,18148.06,2.45,39.09
1094,0.43,5.99,4039.54,19007.75,45.84,8.02
1097,20.39,369.08,1230.21,8579.02,406.8,2836.84
1098,20.9,481.81,1296.77,11260.55,428.81,3723.55
1099,0,16.99,1378.34,12159.95,460,4020.95
1100,0,17.88,1593.44,10071.1,509.03,3328.38
1101,107.54,312.56,1728.04,15232.81,0,0
1102,74.66,51.29,1681.44,14957.89,0,0
1106,108.99,313.74,1732.46,15286.45,0,0
1107,106.59,308.42,1692.18,15006.34,0,0
1109,76.33,52.44,1775.8,15400.16,0,0
1111,108.82,310.85,1698.1,15110.75,0,0
1112,111.65,315.82,1758.43,15415.1,0,0
1113,66.16,50.62,1770.11,15011.9,0,0
1116,67.29,51.48,2001.45,15670.38,0,0
1121,61.84,334.85,1711.57,10044.64,625.66,3563.12
1122,62.32,428.21,1599.16,10053.36,503.26,3615.13
1128,66.13,85.33,2346.98,9767.67,739.31,3103.28
1130,0,0,1902.57,14455.19,0,0.38
1131,22.73,59.97,1230.01,10600.56,326.4,2813.02
1132,24.85,157.9,1231.69,10569.32,326.85,2804.73
1133,0,0,1862.56,19350.45,0,0
1134,91.02,692.14,954.77,5814.08,883.24,5378.52
1138,89.07,677.35,934.36,5689.83,864.37,5263.58
1142,89.24,678.61,936.09,5700.36,865.97,5273.32
1148,85.16,647.57,893.28,5439.67,826.36,5032.16
1150,89.89,683.56,942.93,5742,872.29,5311.84
1153,74.52,387.56,791.25,2757.78,1912.43,6665.45
1154,89.82,467.14,1365.84,4590.58,3301.18,11095.29
1155,0,0,2594.19,6888.57,1025.05,2721.88
1158,21.36,366.43,2599.56,6902.83,1027.17,2727.52
1159,0,0,2538.81,6741.49,1003.16,2663.77
1164,29.03,25.11,1665.75,4302.75,2681.2,8982.76
1169,0,546.05,2375.57,6827.44,0,0
1171,0,259.93,2428.88,5921.5,0,0
1172,0,69.97,3322.25,6786.33,0,0
1177,0,0,4037.97,12423.77,0,0
1178,7.17,353.51,1828.96,8107.92,722.25,3201.78
1179,7.17,177.32,1942.62,8576.92,767.13,3386.98
1180,7.17,366.45,1777.25,8024.12,701.83,3168.68
1184,91.16,693.21,956.24,5823.04,884.6,5386.81
1213,11.16,115.05,702.09,3570.25,1570.82,7987.86
1223,138.27,131.84,509.13,2027.44,1857.57,7397.09
1225,119.82,757.01,819.53,3553.85,2990.03,12966.17
1251,91.56,87.26,688.21,2181.41,2214.92,7020.65
1252,81.47,80.06,629.22,1992.3,2025.07,6416.53
1255,32.75,1223.19,603.4,2944.5,1350.02,6587.85
1270,7.51,564.12,602.41,2207.9,2202.09,8070.95
1278,77.7,473.76,1849.78,5953.62,835.94,2690.51
1290,116.27,318.95,1079.61,5355.5,692.67,3436.03
1298,289.18,464.96,882.11,3956.67,1961.75,8799.36
1299,10.25,0,1241.41,5744.67,2760.81,12775.74
1307,0,0,8482.79,10553.46,159.99,5.84
1314,61.59,0,3881.49,3668.92,3312.04,3188.88
1315,59.02,0,3719.64,3700.26,3173.94,3216.12
1319,449.3,2.97,9829.08,5921.83,5557.6,3348.34
1327,4.38,0,2406.86,8704.62,1717.35,11561.65
1330,55.08,1232.5,1309.86,6131.45,1377.03,6445.88
1331,46.15,0,1384.64,7432.12,1455.65,7813.26
1333,50.69,0,1756.98,7482.36,1847.08,7866.07
1334,45.05,0,1882.12,6983.32,1978.64,7341.44
1335,27.63,206.01,1676.76,6202.1,1762.75,6520.16
1339,0,0,3769.73,16904.86,92.76,72.8
1340,0,0,3752.71,15545.18,93.32,73.24
1341,119.41,1149.18,4082.29,18070.46,94.59,74.24
1342,0,0,3323.49,8308.35,92.5,72.6
1343,0,0,7302.62,9919.61,104.75,82.21
1346,96.26,473.95,1358.14,5833.88,899.68,3864.54
1347,105.44,104.69,1550.12,5729.67,1026.84,3795.51
1350,29.36,70.93,2071.15,11192.38,263.35,3528.82
1354,29.15,398.05,2253.95,11259.04,286.6,3549.84
1356,29.31,731.08,2081.65,13088.77,264.69,4126.73
1357,29.52,71.26,2029.85,12458.35,258.1,3927.97
1358,29.73,695.41,2096.24,13242.01,266.55,4175.05
1359,29.33,70.83,2014.9,11159.64,256.2,3518.5
1364,23.77,13.93,2213.66,12464.05,281.48,3929.77
1365,4.3,5.07,1816.3,6510.31,964.09,3455.68
1367,33.59,65.13,2054.41,7709.91,1090.48,4092.42
1368,16.73,1.28,3616.48,13127.19,564.43,2048.77
1370,13.76,359.85,100.32,8365.93,0,548.2
1374,15.01,5.46,95.04,8429.97,0,599.32
1375,14.28,593.61,84.96,9043.76,0,570.06
1376,15.46,518.73,107.49,9575.95,0,211.26
1387,8.69,59.71,1909.06,9809.91,564.01,2898.22
1391,62.41,199.01,1580.04,9596.27,466.8,2835.1
1392,117.74,170.23,1833.27,10459.8,510.36,2911.85
1395,117.74,277.82,1841.72,10673.7,512.71,2971.4
1400,40.46,442.08,2709.56,9937.36,708.73,2608.63
1401,40.8,283.39,2706.43,10143.85,703.78,2662.84
1406,0.09,0.11,1.3,6.96,0.33,1.78
1413,45.9,241.06,2001.01,10508.79,778.74,4089.74
1414,54.88,231.48,2392.58,10091,931.13,3927.15
1418,175.65,0,4811.41,5796.88,3089.1,3721.8
1420,214.46,0,6898.76,6201.25,4429.25,3981.43
1421,17.04,77.17,2563.45,11609.19,484,2191.92
1422,8.65,2.57,3242.06,12891.46,505.99,2011.98
1423,23.46,76.41,3530.01,11495.66,666.5,2170.48
1424,9.73,3.43,3425.74,12751.1,534.66,1990.07
1425,48.69,29.66,1930.28,11856.38,456.32,2802.85
1426,49.82,30.35,2073.69,12226.54,490.22,2890.36
1430,48.48,29.54,1919.49,15384.63,453.77,3636.94
1431,62.41,55.15,1557.16,8565.45,460.04,2530.56
1432,62.41,55.15,1575.72,9608.86,465.53,2838.82
1434,15.15,71.92,2279.74,10820.14,430.43,2042.94
1438,15.49,65.04,2331,9784.24,440.11,1847.35
1439,16.45,75.74,2474.18,11394.85,467.15,2151.45
1440,15.51,73,2334,10981.93,440.68,2073.49
1441,134.12,299.15,1690.19,12984.24,378.59,2908.34
1442,136.38,308.12,1695.39,14174.48,379.75,3174.94
1443,143.99,213.73,1678.36,12508.78,375.94,2801.84
